Polish	Lower Sorbian	probability
a	a	1.0
b	b	1.0
d	d	1.0
f	v	1.0
i	i	1.0
l	l	1.0
m	m	1.0
n	n	1.0
p	p	1.0
s	s	1.0
t	t	1.0
x	x	1.0
z	z	1.0
ɕ	s	1.0
ɡ	ɡ	1.0
ɨ	ɨ	1.0
ɲ	ɲ	1.0
ʈ͡ʂ	ʦ	1.0
ʑ	z	1.0
ʥ	ʑ	1.0
ʦ	ʦ	1.0
ˈi	ˈi	1.0
ˈɨ	ˈɨ	1.0
w	-	0.081
ɛ	ɨ	0.101
ɛ	-	0.112
ʂ	ɕ	0.542
ˈɛ	ˈe	0.382
j	j	0.473
k	kʲ	0.123
r	ʂ	0.113
v	v	0.753
ʨ	ʨ	0.133
ˈa	ˈɪ	0.473
ˈu	ˈu	0.383
ˈɛ	ˈa	0.223
ɛ	e	0.374
ʐ	ʐ	0.194
ˈɔ	ˈu	0.14
ɔ	ɔ	0.965
ʐ	rʲ	0.806
ˈɔ	v_ˈɛ	0.086
j	-	0.527
k	k	0.877
r	r	0.887
v	vʲ	0.247
ɛ	ɛ	0.367
ʨ	ɕ	0.867
ˈu	ˈɔ	0.617
ˈɔ	ˈɛ	0.217
ˈɛ	ˈɔ	0.057
ʂ	-	0.458
ˈa	ˈa	0.458
w	w	0.919
ˈa	ˈɛ	0.069
ˈɔ	ˈɔ	0.529
ˈɛ	ˈɛ	0.079
ˈɛ	ˈɪ	0.259
