Catalan	Spanish	probability
b	b	1.0
f	f	1.0
z	s	1.0
ð	ð	1.0
ʃ	-	1.0
β	β	1.0
l	l	0.701
s	θ	0.241
u	o	0.921
ŋ	ŋ	0.631
ɣ	ɣ	0.891
ɾ	ɾ	0.841
ˈa	ˈa	0.661
ˈe	ˈi	0.091
ˈi	ˈe_j	0.061
ˈi	ˈi_ɾ	0.11
ˈu	ˈu	0.71
i	e	0.152
j	-	0.482
l	ʝ	0.092
m	m	0.922
n	n	0.72
t	ð_o	0.082
ə	e	0.2
ˈi	ˈe	0.162
ˈi	ˈi	0.542
k	ɣ_o	0.093
p	p	0.983
w	θ	0.373
ə	o	0.053
ʎ	ʝ_o	0.13
ˈa	ˈa_ɾ	0.173
ˈe	j_ˈe	0.383
ˈɔ	o	0.063
d	θ	0.104
ŋ	ŋ_ɡ	0.234
ɡ	-	0.064
ɲ	ɲ	0.864
ʎ	x_o	0.104
ˈo	ˈo	0.594
k	k	0.805
ŋ	ŋ_k	0.135
ˈi	θ_ˈi	0.095
ˈɛ	j_ˈe	0.285
ˈɛ	ˈe	0.635
d	d	0.896
n	n_t	0.216
r	ɾ_o	0.056
r	r	0.316
r	ɾ	0.596
s	-	0.056
s	s	0.66
t	ʧ_e	0.06
t	ʧ_o	0.096
t	ð	0.106
ɲ	ɲ_o	0.136
ɾ	-	0.06
ʎ	l	0.596
ʒ	ɟ͡ʝ	0.186
t	t	0.527
ə	-	0.07
ə	a	0.677
ɡ	ɡ	0.837
ʒ	ʝ	0.107
ʒ	x	0.707
ˈe	ˈe	0.527
ˈo	ˈu	0.107
i	i	0.848
j	j	0.518
k	k_o	0.058
l	l_o	0.128
w	o	0.068
w	β	0.28
ɾ	l	0.078
ˈa	ˈa_n	0.08
ˈo	ˈo_n	0.118
ˈo	ˈo_ɾ	0.138
ˈu	ˈo	0.238
ˈɔ	ˈo	0.358
ˈɛ	ˈe_ɾ	0.08
m	m_b	0.069
w	w	0.279
ɡ	ɣ	0.099
ɣ	-	0.109
ʎ	x	0.139
ˈɔ	w_ˈe	0.579
