Icelandic	Icelandic	probability
θ	d	1.0
ˈʏː	-	1.0
ˈɛː	-	1.0
ˈɛi̯	ˈɪə̯	1.0
ˈɑu̯	ˈɑ	1.0
ˈœːy̯	ˈʊə̯	1.0
ˈœː	-	1.0
ˈuː	ˈyː	1.0
ˈou̯	-	1.0
ˈaːu̯	-	1.0
ˈaːi̯	-	1.0
ˈau̯_l	ɫ_ə	1.0
ʰt͡n̥	t	1.0
ʰt	t	1.0
ʰp	-	1.0
ʰk	k	1.0
ʏ_r̥_#>	#>	1.0
ɲ	ŋ	1.0
ɣ	x	1.0
ɡ̊ː	-	1.0
ɟ̊ː	x	1.0
ɟ̊	x	1.0
ɛ	-	1.0
ɑu̯	i	1.0
v_ʏ	v̥	1.0
v_a	v_ə	1.0
u	-	1.0
t͡l̥	ɫ	1.0
t	t	1.0
s_k_ʏ_r̥_#>	s_#>	1.0
s_k	s	1.0
s_j	z	1.0
s_#>	z̥_#>	1.0
r̥_#>	#>	1.0
r_ˈai̯	ɾ	1.0
pʰ	p	1.0
p	p	1.0
n̥	-	1.0
n	n	1.0
m	m	1.0
l̥	ɫ	1.0
kʰ_v	ʋ	1.0
k	k	1.0
j_ˈuː	ˈiː	1.0
j_ˈoːu̯	ˈiː	1.0
i	ˈiː	1.0
f_#>	v̥_#>	1.0
f	v	1.0
d̥_ʏ	d̥	1.0
cʰ	k	1.0
b̥	b	1.0
aːu̯	iː	1.0
<#_ˈɛ	<#_ˈɑ	1.0
<#_ɡ̊	<#_x	1.0
<#_ç	<#	1.0
<#_v	<#_ʋ	1.0
<#_tʰ	<#_t	1.0
<#_r̥	<#_ɾ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_kʰ	<#_k	1.0
<#_h	<#	1.0
ʏ	ə	0.875
ˈɑːu̯	ˈɛː	0.833
a	ə	0.825
ŋ	ŋ	0.818
d̥	d	0.789
r̥	ɾ	0.783
l	ɫ	0.765
r	ɾ	0.759
nː	n	0.75
ɪ_r̥	ə_ɾ	0.714
ˈoːu̯	-	0.7
ˈʏ	ˈɔ	0.692
ˈi	ˈi	0.667
ɡ̊_ʏ	k	0.667
ð	d̥	0.667
t͡n̥	n	0.667
<#	<#_ʋ	0.667
ɪ	-	0.636
s	z	0.605
ˈœ	ˈɑ	0.6
ˈɪ	ˈɪ	0.583
#>	n_#>	0.583
ˈɛ	ˈæ	0.5
ˈɛ	-	0.5
ˈɔː	ˈøː	0.5
ˈɔː	-	0.5
ˈɔu̯	x	0.5
ˈɔu̯	-	0.5
ˈu	ˈu	0.5
ˈu	-	0.5
c	x	0.5
c	k	0.5
ˈiː	ˈi	0.471
v	ʋ	0.455
ˈɪː	ˈeː	0.429
ˈɛːi̯	ˈʊə̯	0.429
ˈaː	ˈɑ	0.417
ˈa	ˈɑ	0.412
ˈœ	-	0.4
s	s	0.395
ˈɔ	ˈʏ	0.333
ˈɔ	ˈɔ	0.333
ˈɔ	-	0.333
ˈi	-	0.333
ˈaː	ˈɛː	0.333
ɡ̊_ʏ	ə	0.333
ð	-	0.333
t͡n̥	-	0.333
<#	<#_j	0.333
ˈʏ	-	0.308
ˈoːu̯	ˈuː	0.3
ɡ̊	x	0.3
ɡ̊	k	0.3
ˈiː	-	0.294
ˈɪː	ˈɪ	0.286
ˈɪː	-	0.286
ˈɛːi̯	ˈɪə̯	0.286
ˈɛːi̯	-	0.286
ɪ_r̥	ɾ	0.286
j	ˈɪə̯	0.267
ˈɪ	-	0.25
ˈaː	-	0.25
nː	n_d	0.25
#>	d̥_#>	0.25
ˈiː	ˈiː	0.235
ˈa	ˈæ	0.235
d̥	d̥	0.211
ɡ̊	x_ˈɔ	0.2
ɡ̊	-	0.2
j	ˈæ	0.2
j	x	0.2
j	-	0.2
ɪ	ɾ	0.182
ɪ	ə	0.182
ŋ	-	0.182
v	ʋ_ˈɪ	0.182
v	v	0.182
v	-	0.182
ˈa	ˈɛː	0.176
ˈa	-	0.176
ˈɪ	ˈʏ	0.167
ˈɑːu̯	ˈiːə̯	0.167
#>	t_#>	0.167
j	ˈiː	0.133
r̥	-	0.13
ʏ	-	0.125
l	ɫ_ə	0.118
l	-	0.118
r	-	0.103
a	-	0.1
r̥	ə	0.087
a	x_ə	0.075
r	ˈʊə̯_ɾ	0.069
r	ˈʊə̯	0.069
