Gascon	Logudorese	probability
b	b	1.0
h	f	1.0
m	m	1.0
nː	i	1.0
p	p	1.0
ʤ	ð	1.0
ʦ	ɣ_e	1.0
ˈo	ˈo	1.0
ˈy	ˈu	1.0
e	a	0.1
i	i_n	0.631
l	ɖː	0.051
l	l	0.671
r	-	0.11
w	l_e	0.061
z	-	0.191
ŋ	n	0.101
ɡ	b	0.111
ɾ	-	0.101
ˈɛ	ˈi	0.061
d	d	0.892
k	ɣ_u	0.12
l	-	0.052
n	n	0.702
r	r_e	0.092
u	o	0.542
ð	ð	0.702
ɔ	e	0.072
ɣ	-	0.452
ʒ	e_#>	0.092
s	z	0.103
t	ɖː_u	0.113
t	t	0.43
w	β_u	0.133
w	u	0.153
ŋ	n_e	0.183
ɾ	e_r	0.093
ʎ	u	0.213
ˈe	ˈe	0.693
ˈɛ	ˈe	0.893
β	β	0.523
e	e	0.134
r	rː	0.104
s	k	0.174
s	s	0.574
w	-	0.164
w	e	0.364
ŋ	n_u	0.484
ɲ	n_ʣ	0.504
ʎ	l	0.164
ʒ	ɡ	0.404
ˈi	ˈi_n	0.074
a	o	0.055
e	e_r	0.135
j	u	0.735
t	t_u	0.125
w	l_u	0.125
ʃ	s	0.05
ʃ	s_k	0.95
ʒ	j	0.25
a	a	0.886
e	r_e	0.106
e	u	0.116
j	j	0.226
k	-	0.06
k	k	0.76
l	r	0.226
t	ð	0.06
t	t_e	0.106
t	ð_u	0.136
u	ˈo	0.36
ŋ	m	0.186
ɲ	ɲː	0.496
ɾ	r	0.806
ʒ	ɣ	0.186
ˈi	e	0.06
ˈɔ	ˈo	0.966
e	i	0.297
n	nː	0.067
n	n_t	0.207
s	-	0.057
ʎ	ʣ_u	0.247
ʎ	r	0.337
ˈe	ˈi	0.307
ˈu	ˈu	0.327
ˈu	ˈo	0.607
β	b	0.07
β	-	0.407
d	-	0.108
r	r	0.658
u	u	0.098
ð	-	0.298
ɔ	a	0.888
ɣ	ɣ	0.548
ˈa	ˈa_r	0.148
ˈa	ˈa	0.798
i	i	0.369
z	ɣ	0.329
z	z	0.479
ɡ	ɡ	0.889
ˈi	ˈi	0.819
