Gothic	Bokmål Norwegian	probability
a	-	0.646
a	ə	0.282
a	i	0.062
a_n	ə	1.0
aː	-	1.0
b	b	0.873
b	-	0.123
d	d	0.753
d	-	0.16
d	ɡː	0.075
e	-	0.232
f	f	0.606
f	-	0.39
h	h	0.499
h	-	0.399
h	ŋː	0.079
h_t	tː	0.482
i	-	0.687
i	ə	0.309
iː	-	1.0
j	-	0.678
j	ɾ	0.158
j	ˈɛ	0.158
k	kʰ	0.474
k	k	0.209
k	kː	0.085
k	sː	0.085
k	-	0.065
k_s	k	1.0
kʷ	kʰ	1.0
l	l	0.784
l	lː	0.203
l_s	l	1.0
lː	lː	1.0
m	m	0.871
m	mː	0.062
m	-	0.052
m_s	m	1.0
n	n	0.505
n	-	0.353
n	nː	0.087
n_d	nː	1.0
n_s	n	1.0
n_θ	nː	1.0
nː	nː	1.0
oː	ə	0.656
oː	-	0.194
oː	ʋ	0.094
p	p	0.871
p_s	p	1.0
r	ɾ	0.833
r	-	0.055
r_n	ɳ	1.0
s	-	0.642
s	s	0.336
t	t	0.417
t	tʰ	0.162
t	-	0.123
t	d	0.055
t	nː	0.055
t	tː	0.055
t	ʈ	0.055
t_s	t	0.583
t_s	tː	0.367
t_w	tʰ	0.482
u	-	0.812
u	ə	0.132
w	ʋ	0.646
w	-	0.288
w	ˈœ	0.056
w_ˈu	ˈʉ	0.482
x	-	0.5
x	ɡ	0.5
z	ɾ	0.66
z	s	0.153
ð	-	0.776
ð	ɾ	0.116
ŋ	-	0.378
ŋ	ˈʏ	0.12
ŋ_ɡ	ŋː	1.0
ɔː	ə	0.232
ɡ	ɡ	0.582
ɡ	-	0.177
ɡ	j	0.154
ɡ	k	0.064
ɡʷ	ŋː	0.232
ɡːʷ	ɡ	0.482
ɣ	j	0.318
ɣ	-	0.153
ʍ	-	0.415
ʍ	ʋ	0.348
ˈa	ˈɑ	0.522
ˈa	ˈɑː	0.13
ˈa	ˈɛ	0.107
ˈa	ˈoː	0.075
ˈa	ˈeː	0.065
ˈeː	ˈoː	0.725
ˈeː	ˈæː	0.268
ˈi	ˈɪ	0.398
ˈi	-	0.184
ˈi	ˈiː	0.154
ˈi	ˈɛ	0.125
ˈi	ˈeː	0.053
ˈi_ɡ	ˈæɪ̯	1.0
ˈiu̯	ˈyː	0.504
ˈiu̯	ˈeː	0.267
ˈiu̯	ˈʏ	0.109
ˈiu̯	ˈiː	0.075
ˈiː	ˈiː	0.711
ˈiː	ˈeː	0.158
ˈiː	ˈɪ	0.109
ˈoː	ˈuː	0.944
ˈoː_θ	ˈuː	1.0
ˈu	ˈʉ	0.375
ˈu	ˈʊ	0.175
ˈu	ˈʉː	0.12
ˈu	ˈœ	0.079
ˈu	ˈɑ	0.064
ˈu	ˈɔ	0.063
ˈu	ˈʏ	0.06
ˈuː	ˈʉː	0.752
ˈuː	ˈʉ	0.242
ˈɔ	ˈuː	0.556
ˈɔ	ˈøː	0.181
ˈɔ	ˈʊ	0.179
ˈɔː	ˈøː	0.728
ˈɔː	ˈoː	0.096
ˈɔː	ˈɔ	0.07
ˈɔː	ˈɑ	0.068
ˈɛ	j	0.429
ˈɛ	ˈeː	0.15
ˈɛ	ˈæ	0.15
ˈɛ	ˈɛ	0.136
ˈɛ	ˈiː	0.071
ˈɛː	ˈɛ	0.408
ˈɛː	ˈæɪ̯	0.32
ˈɛː	ˈeː	0.106
ˈɛː	ˈʉː	0.073
ˈɛː_w	ˈøː	1.0
β	-	0.488
β	d	0.205
β	ʋ	0.12
θ	-	0.441
θ	tʰ	0.385
θ	d	0.153
