Aragonese	Aragonese	probability
θ_#>	w_#>	1.0
ˈo_n_#>	ˈo_#>	1.0
ˈi_n_o_#>	ˈi_#>	1.0
ˈi	ˈi	1.0
ˈe_θ	w	1.0
ˈe_ʎ	ʎ	1.0
ˈe_j	ˈi	1.0
ˈa_n_o_#>	ˈa_#>	1.0
ˈa_n_#>	ˈa_#>	1.0
ˈa_j	ˈa_ɾ	1.0
ʧ	ʤ	1.0
ʎ_o_#>	ʎ_#>	1.0
ʃ	ʃ	1.0
ɾ_o	ɾ_e	1.0
ɾ_m	r_m	1.0
ɾ_#>	r_#>	1.0
ɲ	ɲ	1.0
ɣ_o_#>	k_#>	1.0
ɣ	ɣ	1.0
ŋ	ŋ	1.0
ð_ˈe	ð_ˈæ	1.0
ð_o	t	1.0
z	-	1.0
w_ˈa	w_ˈa	1.0
w_#>	w_#>	1.0
s_a	ɾ_ɜ	1.0
s_#>	s_#>	1.0
r	r	1.0
o_#>	#>	1.0
n_o_#>	#>	1.0
n_a	n_e	1.0
n_#>	#>	1.0
l_o_#>	l_#>	1.0
k_ˈo	k_ˈɒ	1.0
k_ɾ	k_ɾ	1.0
k	k	1.0
j_#>	j_#>	1.0
f	f	1.0
e_ʝ	ˈæ	1.0
e_#>	#>	1.0
b_ˈa	b_ˈa	1.0
b_ɾ_e_#>	#>	1.0
a_m	a_m	1.0
<#_θ	<#_s	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ˈu	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
m	m	0.966
ˈa	ˈa	0.964
p	p	0.923
w_ˈe	ˈɒ	0.917
t	t	0.905
s	s	0.84
d	d	0.824
n	n	0.821
l	l	0.812
ʎ	ʎ	0.75
ˈu	ˈu	0.741
ɡ	ɡ	0.714
u	o	0.714
i	i	0.667
b	v	0.656
j_ˈe	ˈe	0.632
o	o	0.579
ɾ_ˈe	ɾ_ˈæ	0.571
ð	ð	0.533
e	e	0.517
θ	s	0.5
θ	-	0.5
ˈo	ˈo	0.5
a	ɐ	0.452
β	β	0.44
ʝ	ʧ	0.429
ɾ_ˈe	ɾ_ˈe	0.429
ɾ	ɾ	0.417
ɾ	r	0.396
ˈo	ˈɒ	0.393
j_ˈe	ˈæ	0.368
w	ˈɒ	0.364
#>	t_#>	0.364
#>	e_#>	0.364
j	j	0.357
b	b	0.344
ˈe	ˈæ	0.333
i	e	0.333
o	-	0.316
ˈe	ˈe	0.31
ʝ	ð	0.286
ʝ	-	0.286
ɡ	k	0.286
u	u	0.286
β	v	0.28
w	-	0.273
#>	w_#>	0.273
ˈu	ˈo	0.259
e	-	0.241
a	ɜ	0.226
j	ˈæ	0.214
ð	-	0.2
w	ˈu	0.182
w	w	0.182
d	-	0.176
ʎ	l	0.167
a	a	0.167
β	w	0.16
s	z	0.16
a	ɞ	0.155
j	ˈe	0.143
j	l	0.143
j	i	0.143
e	ɞ	0.138
ð	ʤ	0.133
ð	t	0.133
l	ʎ	0.125
β	-	0.12
ˈe	w	0.119
ˈo	-	0.107
o	s	0.105
ɾ	ɾ_ɜ	0.104
n	-	0.103
e	ˈæ	0.103
ˈe	e	0.095
t	-	0.095
ʎ	ɫː	0.083
ɾ	-	0.083
w_ˈe	ˈo	0.083
p	-	0.077
n	ɲ	0.077
ˈe	ˈi	0.071
l	-	0.062
