Auvergnat	Auvergnat	probability
ˈɪ̃	ˈɛ	1.0
ˈɪ_ʀ	ˈɛ_r	1.0
ˈɪ_j	i_d	1.0
ˈɛ	-	1.0
ˈɔ̃	n	1.0
ˈɔ_ʀ	l_t	1.0
ˈɔ_s	sː	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ	ˈɛ	1.0
ˈe_ʀ	ˈa_rː	1.0
ˈe_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa_l	ˈe_l	1.0
ˈa_#>	ˈa_#>	1.0
ʤ_ə	j_u	1.0
ʤ_ɒ	ɟ	1.0
ʒ	ʧ	1.0
ʎ_ɔ	u	1.0
ʃ	ʧ	1.0
ʀ_ə_#>	#>	1.0
ʀ_ə	ˈe	1.0
ɲ	ɲː	1.0
ɪ	s	1.0
ɥ	ʦː_i	1.0
ɡʲ	ˈa_k	1.0
ə_#>	#>	1.0
y	-	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
w_#>	u_#>	1.0
vʲ	v	1.0
ũ	u	1.0
u	u	1.0
s_ə	s_i	1.0
s_ɔ	ʦ_a	1.0
pʲ	p	1.0
p	p	1.0
mʲ	m	1.0
lː	z_u	1.0
k_l	c	1.0
j_ˈɔ	ˈo	1.0
j_#>	#>	1.0
ĩ	i	1.0
i	-	1.0
fʲ	f	1.0
e	-	1.0
dʲ	d	1.0
d_ɔ	t_a	1.0
ã	a	1.0
a	a	1.0
<#_ˈœ	<#_ˈo	1.0
<#_ˈa	<#	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#	1.0
<#_œ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
f	f	0.947
ɔ	a	0.893
k	k	0.88
n	n	0.875
m	m	0.864
ˈa	ˈa	0.853
ɒ	a	0.846
ɡ	ɡ	0.8
v	v	0.786
ˈy	ˈu	0.75
ʀ	r	0.738
ˈi_#>	ˈi_#>	0.667
b	b	0.667
#>	u_#>	0.614
ˈu	ˈu	0.6
ʧ	k	0.6
d	t	0.6
ˈɪ	ˈi	0.5
ˈɔ	l	0.5
ˈɔ	-	0.5
ʎ	cː	0.5
z	ʧ	0.5
z	d	0.5
w	ˈɔ	0.5
t	t	0.5
ŋ	n	0.486
ˈe	ˈe	0.452
ʤ	ɟ	0.444
ə	u	0.444
ˈũ	ˈo	0.4
ˈũ	-	0.4
d	d	0.4
l	ɖː	0.379
ə	i	0.37
#>	i_#>	0.364
l	l	0.345
s	ʧ	0.343
ˈi_#>	#>	0.333
ʤ	-	0.333
ˈe	ˈɛ	0.323
s	s	0.314
ʎ	ɖː	0.3
t	tː	0.3
ˈɪ	ˈɛ	0.286
j	tː_u	0.273
ˈy	-	0.25
ʤ	ɟː	0.222
ˈɪ	ˈe	0.214
v	b	0.214
l	j	0.207
ˈũ	ɔ	0.2
ˈu	ˈɔ	0.2
ʎ	-	0.2
ɡ	-	0.2
t	s_t	0.2
w	ˈo	0.192
j	ɟː	0.182
j	tː_i	0.182
j	-	0.182
ŋ	ŋ	0.162
ŋ	n_t	0.162
ʧ	t	0.16
ɒ	-	0.154
w	i	0.154
b	p	0.143
m	mː	0.136
ŋ	u	0.135
n	-	0.125
ə	ˈi	0.111
ɔ	u	0.107
ˈu	ˈɔ_r	0.1
ˈu	ˈo	0.1
ˈe	i	0.097
ʀ	l	0.095
ʀ	a_r	0.095
b	a	0.095
b	-	0.095
j	ʤ	0.091
j	ʣ	0.091
ˈa	ˈi	0.088
s	ʧː	0.086
s	u	0.086
ʧ	ʧ	0.08
ʧ	s_k	0.08
ʧ	-	0.08
k	ɡ_u	0.08
w	ˈu	0.077
w	-	0.077
ə	o	0.074
ʀ	rː	0.071
l	u	0.069
ˈe	ˈa	0.065
ˈe	-	0.065
ˈa	-	0.059
s	ʦː	0.057
s	ʃː	0.057
s	sː	0.057
ŋ	-	0.054
f	fː	0.053
