Western Lombard	Friulian	probability
b	b	1.0
f	f	1.0
i	i	1.0
ĩ	i	1.0
o	u	1.0
p	p	1.0
w	w	1.0
y	u	1.0
z	z	1.0
ɛ	-	1.0
ɲ	ɲ	1.0
ˈiː	ˈi	1.0
ˈĩ	ˈi_ŋ	1.0
ˈy	ˈu	1.0
ˈỹ	ˈu_ŋ	1.0
ˈœ	ˈɔ	1.0
a	-	0.081
ɡ	ɡ	0.741
ʒ	z	0.11
ʒ	-	0.741
ˈuː	ˈo	0.521
ˈɛ	ˈeː	0.11
m	m	0.922
s	ʧ	0.142
u	u	0.092
v	v	0.892
ʧ	-	0.402
ˈe	ˈiː	0.742
ˈi	ˈiː	0.202
ˈɛ	ˈɛ	0.122
ˈɛ	ˈe	0.2
d	d	0.93
j	l	0.283
j	-	0.453
t	n_t	0.143
t	t	0.743
ˈa	ˈa	0.633
ˈeː	ˈe	0.703
a	e	0.744
e	e	0.434
j	j	0.264
k	-	0.094
r	r	0.994
ʤ	-	0.694
ˈã	ˈa_ŋ	0.904
ˈẽ	ˈe_ŋ	0.424
ˈu	ˈoː	0.084
ˈũ	ˈo	0.334
ˈyː	ˈuː	0.414
ˈøː	ˈuː	0.84
ˈɔ	ˈa_w	0.064
a	a	0.175
n	ɲ	0.065
ˈeː	ˈɛ	0.155
ʤ	ɟ	0.306
ˈã	ˈa_n	0.096
ˈeː	ˈiː	0.066
ˈeː	ˈeː	0.076
ˈu	ˈo	0.916
ˈũ	ˈo_ŋ	0.666
ˈyː	ˈu	0.586
ˈøː	ˈi	0.16
ˈɛ	j_ˈɛ	0.526
d	-	0.07
e	i	0.367
k	c	0.447
l	-	0.077
n	n	0.897
ˈa	ˈaː	0.367
ˈẽ	ˈɛ	0.197
ˈɔ	w_ˈa	0.67
l	l	0.908
m	m_j	0.078
s	s	0.858
t	d	0.078
u	o	0.908
v	-	0.108
ˈe	ˈe	0.258
ˈi	ˈi	0.798
ˈɑː	ˈa	0.598
ˈɔ	w_ˈɛ	0.138
e	-	0.199
k	k	0.459
ɡ	-	0.259
ʒ	ʤ	0.149
ʧ	t	0.139
ʧ	ʧ	0.459
ˈẽ	ˈi	0.379
ˈuː	ˈoː	0.479
ˈɑː	ˈaː	0.39
ˈɔ	ˈɔ	0.129
