Bavarian	Proto-Germanic	probability
a	ɑ	0.362
a	ɛː	0.168
a	r	0.074
a	r_ɔː	0.074
a	ɔ̃ː	0.074
b̥	b	0.724
b̥	β	0.182
b̥	β_ɑ	0.063
b̥	z	0.036
d̥	d	0.258
d̥	θ	0.205
d̥	d_ɑ	0.114
d̥	ð	0.114
d̥	θ_ɑ̃	0.103
f	ɸ	0.771
f	p	0.152
f	p_ɑ̃	0.048
f	x	0.031
h	x	0.964
h	k	0.044
i	i	0.45
i	ɑ	0.222
i	l	0.126
j	l	0.556
j	l_i	0.146
j	lː	0.124
j	j	0.094
j	-	0.061
k	x	0.261
k	k	0.195
k	kʷ	0.079
kʰ	k	0.902
kʰ	x	0.091
l	l	0.877
l	w	0.056
l	ɑ̃	0.049
l	θ	0.037
m	m	0.612
m	m_ɑ	0.226
m	β	0.103
m	mː	0.044
m	-	0.032
n	n	0.809
n	-	0.052
n	nː	0.043
n	u_n	0.04
p	pː	0.184
p	β	0.184
p͡f	pː	0.379
p͡f	β	0.215
p͡f	p	0.16
r	r	0.971
r	-	0.039
s	s	0.582
s	t_ɑ	0.147
s	t	0.131
s	s_ɑ̃	0.081
s	t_i	0.053
t	t	0.46
t	ð_ɑ̃	0.184
t	ð	0.103
t	ð_i	0.103
t	θ	0.059
x	x	0.625
x	k_s	0.182
x	ɣ	0.105
x	k	0.08
ç	k	1.0
ŋ	ŋ	0.711
ŋ	ɣ	0.284
ɐ	r	0.818
ɐ	i	0.165
ə	i	0.217
ə	u_z	0.217
ə	ɔːː	0.165
ə	ɔ̃ː	0.165
ə	ɔː	0.107
ɡ̊	ɣ	0.705
ɡ̊	ɣ_j	0.124
ɡ̊	x	0.078
ɡ̊	ɣ_i	0.051
ɡ̊	ɡ	0.043
ʃ	s_k	0.504
ʃ	s	0.459
ʃ	-	0.042
ʋ	w	0.834
ʋ	xʷ	0.162
ʦ	t	1.0
ˈa	ˈɑ	0.796
ˈa	ˈɑu̯	0.148
ˈa	ɑi̯	0.054
ˈai̯	ˈiː	0.404
ˈai̯	ˈiu̯	0.185
ˈai̯	ˈɑi̯	0.11
ˈai̯	ˈi_j	0.093
ˈai̯	ˈɔː	0.058
ˈau̯	ˈuː	0.741
ˈau̯	ˈɑu̯	0.129
ˈau̯	ɔ̃ː	0.072
ˈau̯	ˈu	0.051
ˈaː	ˈɑu̯	0.739
ˈaː	ˈɑ	0.131
ˈaː	ˈu	0.08
ˈe	ˈe	0.572
ˈe	ˈɑ	0.089
ˈe	ˈɑu̯	0.089
ˈe	ˈɔː	0.089
ˈe	ˈɑi̯	0.067
ˈeɐ̯	ˈi	0.53
ˈeɐ̯	ˈɔː	0.461
ˈeː	ˈe	0.601
ˈeː	ˈi	0.169
ˈeː	ˈɑ	0.115
ˈeː	ˈɑu̯	0.055
ˈeː	ˈɑi̯	0.043
ˈi	ˈi	0.727
ˈi	ˈe	0.125
ˈi	ˈu	0.056
ˈi	ˈɑi̯	0.056
ˈi	ˈeː	0.037
ˈiɐ̯	ˈeu̯	0.579
ˈiɐ̯	ˈɔː	0.267
ˈiɐ̯	w	0.115
ˈiː	ˈi	0.45
ˈiː	ˈeu̯	0.222
ˈiː	ˈe	0.126
ˈo	ˈɑ	0.629
ˈo	ˈu	0.335
ˈou̯	ˈɑu̯	1.0
ˈoɐ̯	ˈɑi̯	0.372
ˈoɐ̯	ˈu_r	0.2
ˈoɐ̯	ˈɑ	0.112
ˈoɐ̯	ˈɑi̯_n	0.098
ˈoɐ̯	ˈɑu̯	0.085
ˈoː	ˈɑ	0.494
ˈoː	ˈu	0.305
ˈoː	ˈɛː	0.12
ˈoː	-	0.068
ˈu	ˈu	0.684
ˈu	ˈeu̯	0.15
ˈu	ˈe	0.099
ˈu	ˈɔ	0.06
ˈuɐ̯	ˈɔː	0.844
ˈuɐ̯	ˈuː	0.128
ˈy	ˈu	1.0
ˈɒ	ˈɑ	1.0
ˈɒː	nː	0.392
ˈɒː	ˈɑ	0.222
ˈɒː	ˈɛː	0.222
ˈɔ	ˈɑ	0.347
ˈɔ	ˈu	0.248
ˈɔ	ˈɛː	0.149
ˈɔ	ˈe	0.112
ˈɔ	ˈɑu̯	0.084
ˈɛ	ˈe	0.437
ˈɛ	ˈɑ	0.418
ˈɛ	ˈu	0.116
ˈɛː	ˈɑi̯	0.644
ˈɛː	ˈɑ	0.241
ˈʏ	ˈu	0.243
