Bavarian	Proto-Germanic	probability
a	ɑ	0.288
a	ɛː	0.173
a	ɔ̃ː	0.074
a	r	0.072
a	r_ɔː	0.063
a	ɔː	0.059
a	e	0.055
a	ɔːː	0.055
a	r_ɑ	0.05
b̥	b	0.69
b̥	β	0.252
d̥	θ	0.417
d̥	d	0.33
d̥	ð	0.193
eɐ̯	e	1.0
f	ɸ	0.759
f	p	0.175
h	x	0.931
i	l	0.483
i	ŋ	0.259
i	ɑ	0.259
j	l	0.78
j	j	0.098
j	lː	0.074
k	k	0.388
k	ɣ	0.291
k	kʷ	0.176
k	xʷ	0.085
kʰ	k	0.898
kʰ	kʷ	0.071
l	l	0.954
m	m	0.798
m	β	0.084
m	-	0.072
n	n	0.871
n	nː	0.053
n	-	0.053
p	β	0.67
p	pː	0.33
p͡f	p	0.871
p͡f	pː	0.064
p͡f	β	0.064
r	r	0.878
r	x_r	0.054
s	s	0.686
s	t	0.281
t	t	0.462
t	ð	0.347
t	θ	0.13
t	d	0.059
x	x	0.534
x	k	0.44
ç	k	1.0
ŋ	ŋ	0.734
ŋ	ɣ	0.195
ŋ	-	0.072
ɐ	r	0.703
ɐ	i	0.168
ɐ	j	0.088
ə	ɔː	0.329
ə	u	0.278
ə	ɔːː	0.16
ə	ɑ	0.104
ə	-	0.073
ə	i	0.056
ɡ̊	ɣ	0.949
ʃ	s	0.932
ʃ	i_s	0.068
ʋ	w	0.905
ʋ	xʷ	0.095
ʦ	t	0.942
ʦ	tː	0.058
ˈa	ˈɑ	0.793
ˈa	ɑi̯	0.167
ˈai̯	ˈiː	0.453
ˈai̯	ˈi	0.21
ˈai̯	ˈiu̯	0.132
ˈai̯	ˈɑi̯	0.077
ˈai̯	w	0.052
ˈau̯	ˈuː	0.743
ˈau̯	ˈɑu̯	0.099
ˈau̯	ɔ̃ː	0.099
ˈau̯	ˈu	0.059
ˈaː	ˈɑu̯	0.521
ˈaː	ˈɑ	0.235
ˈaː	ˈu	0.145
ˈaː	ˈe	0.1
ˈe	ˈe	0.549
ˈe	ˈɑ	0.123
ˈe	ˈɑu̯	0.096
ˈe	ˈɔː	0.079
ˈe	ˈɑː	0.079
ˈe	ˈeu̯	0.062
ˈeɐ̯	ˈɔː	0.629
ˈeɐ̯	ˈi	0.286
ˈeɐ̯	ˈe	0.084
ˈeː	ˈe	0.409
ˈeː	ˈɑ	0.214
ˈeː	ˈɑi̯	0.136
ˈeː	i	0.112
ˈeː	ˈi	0.073
ˈeː	ˈuː	0.055
ˈi	ˈi	0.716
ˈi	ˈe	0.124
ˈi	ˈu	0.099
ˈiɐ̯	ˈeu̯	0.826
ˈiɐ̯	ˈɔː	0.142
ˈiː	ˈeu̯	0.494
ˈiː	ˈi	0.357
ˈiː	ˈe	0.149
ˈo	ˈɑ	0.482
ˈo	ˈu	0.347
ˈo	ˈe	0.163
ˈou̯	ˈɑu̯	1.0
ˈoɐ̯	ˈɑi̯	0.392
ˈoɐ̯	ˈu	0.244
ˈoɐ̯	ˈɑu̯	0.128
ˈoɐ̯	jː	0.109
ˈoɐ̯	ˈɑ	0.074
ˈoː	ˈɑ	0.589
ˈoː	ˈu	0.206
ˈoː	ˈɛː	0.205
ˈu	ˈu	0.728
ˈu	ˈeu̯	0.147
ˈu	ˈɔ	0.066
ˈuɐ̯	ˈɔː	0.822
ˈuɐ̯	ˈuː	0.097
ˈuɐ̯	ˈu	0.08
ˈy	ˈu	1.0
ˈɒ	ˈɑ	1.0
ˈɒː	ˈɑ	0.682
ˈɒː	nː	0.194
ˈɒː	ˈɛː	0.123
ˈɔ	ˈɑ	0.4
ˈɔ	ˈu	0.277
ˈɔ	ˈɛː	0.215
ˈɔ	ˈe	0.06
ˈɛ	ˈe	0.476
ˈɛ	ˈɑ	0.373
ˈɛ	ˈu	0.093
ˈɛː	ˈɑi̯	0.773
ˈɛː	ˈɑ	0.227
ˈʏ	ˈu	1.0
