Piedmontese	Corsican	probability
ˈɛ_t	ˈe_tː	1.0
ˈɛ_k	ˈɛ_kː	1.0
ˈy	ˈu	1.0
ˈu_n	ˈɔ_n	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈa_w	ˈa_l	1.0
ʧ	c	1.0
ʤ	ɟ	1.0
ɲ	ɲ	1.0
ə_r	e_r	1.0
ə	r	1.0
z_e	ɟ_e	1.0
w	w	1.0
u_l	u_l	1.0
s_ˈi	ʧ_ˈɛ	1.0
r_t	r_t	1.0
r_s	r_ʦ	1.0
p	p	1.0
j_t	tː_e	1.0
j_d	dː	1.0
dː	d_ˈɛ	1.0
ˈa	ˈa	0.976
r	r	0.953
a	a	0.952
ˈi	ˈi	0.951
m	m	0.943
f	f	0.927
k	k	0.878
ˈø	ˈɔ	0.868
ˈɔ	ˈɔ	0.85
b	b	0.831
ŋ	n	0.828
ɡ	ɡ	0.788
t	t	0.775
v	v	0.714
u	u	0.713
d	d	0.707
n	n	0.702
e	e	0.656
ˈɛ	ˈɛ	0.645
i	i	0.614
s	s	0.601
ˈu	ˈɔ	0.573
l	lː	0.513
l	l	0.444
j	j	0.439
ˈe	ˈɛ	0.42
ˈe	ˈe	0.42
z	ʒ	0.413
i	-	0.386
ˈu	ˈo	0.362
ˈɛ	ˈe	0.355
z	ʧ	0.35
d	t	0.293
u	ˈɔ	0.287
j	ʎ	0.245
z	z	0.237
t	tː	0.225
e	-	0.221
ɡ	k_u	0.212
v	p	0.212
ŋ	ŋ	0.172
n	-	0.169
b	bː	0.169
j	-	0.164
ˈe	ˈa	0.16
ˈø	ˈo	0.132
s	ʧː	0.125
e	i	0.123
k	kː	0.122
j	c	0.087
ˈɔ	ˈo	0.079
s	ʃ	0.075
v	p_e	0.074
f	fː	0.073
ˈɔ	-	0.071
n	ŋ	0.069
j	l	0.066
ˈu	ˈu	0.065
s	ʦː	0.061
n	nː	0.059
m	mː	0.057
