North Frisian	Pennsylvania German	probability
ˈʊ_n	ˈʊ_n	1.0
ˈɛː_d	ˈɛ_d	1.0
ˈɛ_tʲ	ˈiː_s	1.0
ˈɛ	ˈuː	1.0
ˈɔu̯_n	ˈoː_n	1.0
ˈɔu̯	-	1.0
ˈɒː_d	ˈa_s	1.0
ˈɒː	ˈa	1.0
ˈɒ_x	ˈa_x	1.0
ˈœi̯	-	1.0
ˈœ_nʲ	ˈa_n	1.0
ˈœ_dʲ_#>	ˈuː_d̥_#>	1.0
ˈyː_dʲ	ˈoː_d̥	1.0
ˈyː_#>	ˈuː_#>	1.0
ˈiː_tʲ	ˈeː_s	1.0
ˈiː_nʲ	ˈeː	1.0
ˈiː_k	ˈeː_ç	1.0
ˈeː_#>	ˈɛ_ɑ_#>	1.0
ˈai̯_ŋ	ˈɪ_ŋ	1.0
ʃ_#>	ʃ_#>	1.0
ə_v_#>	b̥_#>	1.0
ə_n	ə	1.0
ə_#>	ə_#>	1.0
ŋ_ə	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
z	s	1.0
v_ə	f	1.0
v_#>	f_#>	1.0
t_ə	d	1.0
s_#>	s_#>	1.0
s	ʃ	1.0
r_ˈiː	ɾ_ˈaɪ̯	1.0
r_#>	ɑ_#>	1.0
p_ə	f_ə	1.0
p_#>	f_#>	1.0
p	p	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
lʲ	l	1.0
l_ə	l	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	k_ə	1.0
k	x	1.0
i_ŋ	ɪ_ç	1.0
i	ɪ_ç	1.0
f_#>	b̥_#>	1.0
f	ˈuː	1.0
dʲ	d	1.0
d_#>	d̥_#>	1.0
d	-	1.0
<#_ˈɒː	<#_ˈa	1.0
<#_ʃ	<#_ʃ	1.0
<#_ɡ	<#_ɡ	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
<#_v	<#_ʋ	0.882
r	ɾ	0.618
ˈɛː	-	0.6
ˈɔ_r	ˈaː	0.6
ˈɒ	ˈa	0.6
ˈœ	ˈuː	0.6
ˈøː	ˈaʊ̯	0.6
ˈeː	ˈɛ	0.6
ə	-	0.6
t_#>	t_#>	0.6
x	ç	0.571
k_#>	ç_#>	0.556
j	-	0.556
v	ʋ	0.538
<#_s	<#_s	0.531
ˈi	ˈaɪ̯	0.529
<#_t	<#_d	0.526
ˈaː	ˈʊ	0.5
ˈaː	ˈɪ	0.5
w	k	0.5
w	-	0.5
tʲ	t	0.5
tʲ	s	0.5
t	t	0.5
n_#>	n_#>	0.5
n_#>	#>	0.5
#>	d̥_#>	0.5
ˈiː	ˈiː	0.474
<#_t	<#_ʦ	0.474
<#_s	<#_ʃ	0.469
ˈyː	ˈaʊ̯	0.429
x	x	0.429
ˈiː	ˈeː	0.421
ˈɛː	ˈɛ	0.4
ˈɔ_r	ˈa	0.4
ˈɒ	ˈɔː	0.4
ˈœ	ˈa	0.4
ˈøː	ˈaɪ̯	0.4
ˈuː	ˈɔː	0.385
ˈɔː	ˈɔː	0.375
ˈɔː	ˈɔ	0.375
<#	<#_ˈa	0.364
<#	<#_ʋ	0.364
ˈi	ˈɪ	0.353
ˈa	ˈɪ	0.353
ˈɛi̯	ˈɛː	0.333
ˈɛi̯	ˈoː	0.333
ˈɛi̯	ˈiː	0.333
ˈʊ	ˈɪ	0.286
ˈyː	ˈaɪ̯	0.286
#>	ə_#>	0.286
<#	<#_kʰ	0.273
ˈɔː	ˈɪ	0.25
t_#>	s_#>	0.25
t	ʦ	0.25
t	-	0.25
ˈuː	ˈoː	0.231
ˈuː	ˈa	0.231
v	v	0.231
v	-	0.231
k_#>	x_#>	0.222
k_#>	k_#>	0.222
j	k	0.222
j	j	0.222
ˈʊ	ˈʊ	0.214
ˈʊ	ˈɔ	0.214
#>	ɡ̊_#>	0.214
r	ɑ	0.206
ˈeː	ˈɪ	0.2
ˈeː	ˈɔː	0.2
ˈa	ˈʊ	0.176
ˈa	ˈɛ	0.176
ˈa	ˈaɪ̯	0.176
ˈuː	-	0.154
t_#>	ʦ_#>	0.15
ˈʊ	ˈa	0.143
ˈʊ	-	0.143
ˈyː	ˈʊ	0.143
ˈyː	-	0.143
ˈi	ˈɛ	0.118
ˈa	ˈɛː	0.118
r	ˈaː	0.118
<#_v	<#_v	0.118
ˈiː	ˈɔː	0.105
ə	ɣ	0.1
ə	ə	0.1
ə	v	0.1
ə	s	0.1
r	ɾ_ɪ	0.059
