Brazilian Portuguese	Aromanian	probability
e	i	1.0
n	n	1.0
o	u	1.0
z	ʦ	1.0
ɦ	r	1.0
ʤ	ʣ	1.0
ʧ	t	1.0
ˈi	ˈi	1.0
ˈĩ	ˈi	1.0
ˈõ	ˈu	1.0
ˈu	ˈu	1.0
ˈũ	ˈu	1.0
a	-	0.241
b	-	0.131
d	ʣ	0.071
d	t	0.581
k	k	0.881
m	m	0.661
t	ʦ	0.071
v	w	0.081
ˈɐ̃	ˈɨ_n	0.251
ˈɔ	o̯ˈa	0.631
a	ˈa	0.322
i	ə	0.252
j	-	0.292
j̃	-	0.362
m	-	0.092
ɡ	k	0.832
ɾ	-	0.192
ʎ	ʎ	0.282
ʎ	k_ʎ	0.502
ˈe	ˈe	0.342
ˈẽ	ˈi_n	0.362
ˈo	o̯ˈa	0.12
ˈɔ	ˈo	0.262
f	f	0.443
l	-	0.143
p	p	0.583
s	ʃ_t	0.063
s	ʦ	0.173
u	ə	0.143
v	-	0.224
w	-	0.724
ɐ	i	0.24
ʒ	ʤ	0.694
ˈe	i	0.124
b	ɡ	0.055
b	p	0.395
h	i_r_i	0.055
v	j	0.375
ʃ	s	0.275
ˈo	ˈa	0.105
ˈɛ	e̯ˈa	0.385
j	ʦ	0.176
j	p	0.306
s	s	0.546
u	i	0.116
w	i	0.276
ɐ	ə	0.76
ʒ	ʣ	0.306
ˈe	ˈi	0.176
ˈo	ˈo	0.566
ˈɐ̃	ˈa	0.116
ˈɐ̃	ˈɨ	0.526
ˈɔ	ˈu	0.106
a	a	0.347
f	ç	0.557
h	r	0.237
j	t	0.127
m	ɲ	0.247
p	k	0.417
v	b	0.07
ʃ	-	0.687
ʎ	-	0.217
ˈa	-	0.097
ˈa	ˈa	0.857
ˈe	e̯ˈa	0.357
ˈɐ̃	-	0.107
ˈɛ	ˈa	0.377
b	b	0.418
d	d	0.348
h	r_i	0.708
i	i	0.748
j̃	n	0.638
l	l	0.778
u	u	0.698
ɡ	ɡ	0.168
ɾ	r	0.808
ˈẽ	ˈi	0.638
ˈo	ˈu	0.168
ˈɛ	ˈe	0.238
a	ə	0.09
j	j	0.099
k	ʦ	0.119
s	ʃ	0.219
t	t	0.929
v	v	0.249
