French	French	probability
ʒ	ð	1.0
ʁ_i	r_ˈi	1.0
ɲ	ɲ	1.0
ɛ_ʁ	ˈɛ_r	1.0
w_a	ˈe	1.0
v_w	v	1.0
t_#>	t_a_#>	1.0
s_i	ˈi	1.0
p	p	1.0
m_#>	m_a_#>	1.0
l_ɛ	l_ˈa	1.0
k_l	ʧ	1.0
j_ɛ	j_ˈe	1.0
j_#>	a_#>	1.0
i_#>	#>	1.0
b	b	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_s	1.0
<#	<#_ˈa	1.0
ʁ	r	0.968
v	v	0.909
f	f	0.905
m	m	0.9
ɡ	ɡ	0.889
n	n	0.882
d	d	0.857
t	t	0.846
k	k	0.833
œ	ˈo	0.8
ɔ̃	ˈo_ŋ	0.75
ə	e	0.667
z	z	0.667
o	ˈɛ_l	0.636
l	l	0.636
y	ˈu	0.625
ʃ	k	0.611
ø	ˈo_ɡ	0.6
<#_a	<#_ˈa	0.6
s	s	0.531
ɥ	ˈɔ_t	0.5
ɥ	ˈo	0.5
ɔ	ˈɔ	0.5
s	θ	0.469
i	ˈi	0.467
w	ˈe	0.444
ɛ	ˈa	0.44
ɛ̃	ˈa_ŋ	0.438
e	ˈa_r	0.438
#>	a_#>	0.42
ø	o	0.4
j	j	0.4
j	-	0.4
<#_a	<#_a	0.4
a	a	0.393
ɛ̃	ˈi_ŋ	0.375
y	-	0.375
u	ˈo	0.368
l	j	0.364
ɑ̃	ŋ	0.357
ə	a	0.333
z	z_a	0.333
w	-	0.333
a	ˈa	0.321
ɛ	ˈe	0.32
ɔ	o	0.312
e	ˈa	0.312
#>	o_#>	0.296
ɑ̃	ˈe_ŋ	0.286
ʃ	k_a	0.278
i	-	0.267
u	o	0.263
ɔ̃	-	0.25
w	ˈo	0.222
ɑ̃	n	0.214
œ	-	0.2
j	ʧ_o	0.2
ɛ̃	ŋ	0.188
ɔ	ˈo	0.188
o	ˈɔ	0.182
o	w	0.182
k	k_w	0.167
ɛ	ˈɛ	0.16
u	ˈu	0.158
t	s_e	0.154
#>	t_#>	0.148
ɑ̃	ˈɛ_n	0.143
d	-	0.143
a	e	0.143
i	ˈɛ_ð	0.133
i	j_ˈe	0.133
e	r	0.125
e	-	0.125
n	-	0.118
ʃ	k_ˈa	0.111
ɡ	ʤ	0.111
u	ˈɔ_ʧ	0.105
u	ˈɔ	0.105
m	ŋ	0.1
f	v_o	0.095
v	-	0.091
ɛ	ˈɛ_s	0.08
a	ˈe	0.071
a	d_e	0.071
#>	s_#>	0.062
