Old English	Saterland Frisian	probability
a	-	1.0
b	b	0.98
bː	b	1.0
d	d	0.805
d	-	0.107
d	t	0.075
dː	d	1.0
e	ə	0.942
eo̯	-	1.0
f	f	0.888
f	-	0.07
h	h	0.96
i	ɪ	0.453
i	j	0.332
i	ə	0.115
i	-	0.1
iː	-	1.0
iːy̯	i	1.0
j	j	0.406
j	x	0.228
j	-	0.181
j	ˈaːi̯	0.105
j	ɣ	0.08
k	k	0.976
kː	k	1.0
l	l	0.922
lː	l	1.0
l̥	l	1.0
m	m	0.966
mː	m	1.0
n	n	0.933
n	-	0.067
nː	n	1.0
o	ə	0.721
o	-	0.266
p	p	1.0
pː	p	1.0
r	r	0.877
r	-	0.07
r	d_ə	0.051
rː	r	1.0
r̥	r	1.0
s	s	0.983
t	t	0.993
tː	t	1.0
u	ə	1.0
v	v	0.51
v	-	0.275
v	ɣ	0.138
v	w	0.077
w	v	0.792
w	-	0.058
x	x	0.848
x	j	0.152
z	s	0.631
z	z	0.369
ç	x	1.0
ð	-	0.842
ð	d	0.158
ŋ	ŋ	0.866
ŋ	-	0.134
ɑ	ə	0.876
ɑ	j_ə	0.07
ɡ	ɣ	0.51
ɡ	-	0.183
ɡ	x	0.164
ɡ	k	0.085
ɡ	ɡ	0.059
ɣ	ɣ	0.562
ɣ	x	0.231
ɣ	ˈoː_ɣ	0.206
ɫ	l	0.928
ɫ	r	0.053
ʃ	s	1.0
ʃː	s	1.0
ʍ	v	1.0
ʤ	x	0.722
ʤ	ɣ	0.278
ʤː	ɣ	1.0
ʧ	k	0.689
ʧ	s	0.311
ˈe	-	0.263
ˈe	ˈɔː	0.226
ˈe	ˈeː	0.216
ˈe	ˈi	0.151
ˈe	ˈa	0.1
ˈeo̯	ˈaː	0.252
ˈeo̯	ˈiː	0.25
ˈeo̯	ˈɛɪ̯	0.195
ˈeo̯	ˈɛ	0.123
ˈeo̯	ˈɔː	0.068
ˈeː	ˈɛɪ̯	0.409
ˈeː	ˈi	0.409
ˈeː	ˈɪ	0.153
ˈeːo̯	j	0.354
ˈeːo̯	ˈyː	0.195
ˈeːo̯	ˈʊ	0.081
ˈeːo̯	ˈɛɪ̯	0.073
ˈeːo̯	ˈiː	0.07
ˈeːo̯	a	0.053
ˈi	ˈɪ	0.458
ˈi	ˈiː	0.211
ˈi	j	0.124
ˈi	ˈɛː	0.062
ˈiy̯	ˈaː	0.559
ˈiy̯	ˈeːu̯	0.326
ˈiy̯	ˈiː	0.115
ˈiː	ˈi	0.593
ˈiː	ˈiː	0.365
ˈiːy̯	ˈeː	0.424
ˈiːy̯	j	0.399
ˈiːy̯	ˈiː	0.089
ˈiːy̯	ˈɛɪ̯	0.089
ˈo	ˈoːu̯	0.614
ˈo	ˈɔː	0.215
ˈo	ˈɔ	0.068
ˈo	ˈuː	0.063
ˈoː	ˈoːu̯	0.808
ˈoː	ˈuː	0.192
ˈu	ˈʊ	0.521
ˈu	ˈuː	0.313
ˈu	ˈɔ	0.148
ˈuː	ˈuː	0.772
ˈuː	ˈu	0.139
ˈuː	ˈøː	0.09
ˈy	ˈɛː	0.48
ˈy	ˈœː	0.238
ˈy	ˈʊ	0.177
ˈy	-	0.105
ˈyː	ˈuː	0.528
ˈyː	ˈɔ	0.298
ˈyː	ˈɛɪ̯	0.174
ˈæ	ˈɛː	0.433
ˈæ	ˈɛ	0.228
ˈæ	ˈɔː	0.14
ˈæ	ˈaː	0.127
ˈæ	ˈa	0.073
ˈæɑ̯	ˈoː	0.226
ˈæɑ̯	ˈɔ	0.186
ˈæɑ̯	ˈɛː	0.186
ˈæɑ̯	ˈɛɪ̯	0.128
ˈæɑ̯	ˈiː	0.109
ˈæɑ̯	ˈaː	0.094
ˈæɑ̯	ˈɔː	0.07
ˈæː	ˈɛɪ̯	0.301
ˈæː	ˈɔːɪ̯	0.244
ˈæː	ˈiː	0.158
ˈæː	ˈaː	0.091
ˈæː	ˈɛ	0.091
ˈæː	ˈɔː	0.058
ˈæːɑ̯	ˈoː	0.804
ˈæːɑ̯	ˈiː	0.075
ˈɑ	ˈoːu̯	0.493
ˈɑ	ˈɔː	0.196
ˈɑ	ˈɔ	0.181
ˈɑ	ˈoː	0.102
ˈɑː	ˈeː	0.754
ˈɑː	ˈoː	0.121
ˈɑː	ˈaː	0.056
ˈɛ	ˈɛ	0.663
ˈɛ	ˈɛː	0.337
θ	d	0.707
θ	t	0.293
