Upper Sorbian	Standard Serbian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʥ	d	1.0
ʒ̊	ʒ	1.0
ʒ	ʒ	1.0
ʀ_ɪ	a_r	1.0
ɥ_a	ʋ_eː	1.0
ɥ	ʋ	1.0
ɔ_ʀ	r̩ː	1.0
ɔ_w	oː	1.0
ɔ_m	a_m	1.0
z̥	-	1.0
z	z	1.0
xʲ	-	1.0
w_a	l_a	1.0
t	t	1.0
s	s	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
d̥	d̥	1.0
d_w	l	1.0
d	d	1.0
b̥	b	1.0
bʲ	b	1.0
b	b	1.0
k	k	0.919
ɦ	ɡ	0.866
a	a	0.811
ʀʲ	r	0.801
j	j	0.716
ʀ	r	0.707
ɲ	n	0.703
x	x	0.655
l	l	0.622
u	uː	0.6
ʃ	r	0.547
ʨ	t	0.505
ʨ	t_i	0.495
w	ʋ	0.48
ʃ	ʃ	0.453
ɔ	o	0.414
ɛ	e	0.386
o	oː	0.386
ɪ	iː	0.379
e	eː	0.37
i	iː	0.368
e	e_̂	0.351
i	i_̂	0.35
ɲ	ɲ	0.297
j	-	0.284
e	-	0.279
ɛ	e_̌	0.272
u	u	0.251
o	o_̂	0.25
o	-	0.242
w	l	0.236
ɛ	eː	0.233
l	-	0.223
ɪ	i_̂	0.217
x	-	0.2
ʀʲ	r̩	0.199
ɔ	o_̌	0.187
w	o	0.172
i	i	0.171
ɪ	a	0.158
l	ʎ	0.155
ʀ	r̩ː	0.15
u	-	0.149
x	k_a	0.145
ɪ	i	0.143
a	aː	0.136
ɦ	ɡ_a	0.134
ɔ	-	0.132
ɔ	e	0.124
o	aː_̂	0.123
i	ʋ	0.111
ɛ	-	0.109
ɪ	eː_̂	0.103
ʀ	-	0.096
k	-	0.081
w	-	0.061
a	eː	0.053
w	uː_̂	0.05
