Ripuarian	Ripuarian	probability
ˈɔː	ˈu_r	1.0
ˈɔ	ˈu	1.0
ˈøʏ̯	ˈiu̯	1.0
ˈu	ˈu	1.0
ˈoʊ̯	-	1.0
ˈo	ˈu	1.0
ˈaː_z̥	ˈɑ_s	1.0
ˈaː	ˈɑ	1.0
ˈa_n	ɑi̯	1.0
ˈa	ˈɑ	1.0
ɫ_d̥	l_d	1.0
ɪ	-	1.0
ɣ̊	ɣ_ɑ	1.0
ɣ	ɣ	1.0
ə_#>	n_ɑ̃_#>	1.0
z	s	1.0
t	t	1.0
l	l	1.0
k_#>	ɣ_j_ɔː_#>	1.0
j	ɣ	1.0
h	x	1.0
e	e	1.0
b	b	1.0
<#_ˈʊ	<#_ˈu	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_p	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
ʋ	w	0.929
m	m	0.889
f	ɸ	0.818
ə	ɑ_n	0.811
ˈɛː	ˈe	0.8
ʀ	r	0.783
ˈœ	ˈu	0.75
v	β	0.75
ˈe	ˈi	0.737
ʦ	t	0.667
z̥	s	0.667
p	p	0.667
ɫ	l	0.652
n	n	0.632
ˈʏ	ˈu	0.6
ˈɔʊ̯	ˈɑu̯	0.571
ˈeɪ̯	ˈɑi̯	0.571
v̥	β_ɑ	0.571
ʃ	s	0.56
ˈøː	ˈɔː	0.556
ˈuː	ˈuː	0.533
ˈɛ	ˈe	0.5
ˈyː	ˈu	0.5
ˈyː	-	0.5
ˈiː	ˈiː	0.5
k	k	0.5
ˈuː	ˈɑu̯	0.467
d	θ	0.459
d̥	ð	0.45
ˈøː	-	0.444
ʃ	s_k	0.44
ˈɔʊ̯	ˈuː	0.429
v̥	β	0.429
ˈɪ	ˈi	0.417
ˈoː	ˈɔː	0.417
d	d	0.405
ˈʏ	-	0.4
ˈɛ	ˈɑ	0.4
ŋ	ŋ	0.4
ŋ	n	0.4
ˈeː	ˈeu̯	0.391
x	x_t	0.375
x	k	0.375
#>	ɑ̃_#>	0.358
#>	z_#>	0.358
ɕ	k	0.35
ʦ	r_t	0.333
z̥	s_ɑ̃	0.333
s	t_ɑ	0.333
s	t	0.333
p	pː	0.333
ˈeː	ˈɑi̯	0.304
k	-	0.3
ˈiː	-	0.286
ˈeɪ̯	-	0.286
ɐ	r	0.281
ɡ̊	ɡ_ɑ	0.273
ˈeː	-	0.261
ˈɪ	ˈe	0.25
ˈœ	-	0.25
x	x	0.25
v	-	0.25
ɫ	l_ɑ	0.217
ˈiː	ˈɑi̯_w	0.214
#>	ɑ_z_#>	0.214
ˈoː	ˈɛː	0.208
ˈɛː	-	0.2
ɕ	ɣ_ɑ	0.2
ɕ	x_t	0.2
k	ɣ	0.2
d̥	θ	0.2
s	s	0.19
ɡ̊	θ	0.182
ɡ̊	ð	0.182
ɡ̊	d_ɑ	0.182
ɡ̊	d	0.182
f	p	0.182
ˈɪ	ˈiː	0.167
ˈɪ	ˈi_ŋ	0.167
ˈe	-	0.158
ɕ	ɣ	0.15
d̥	θ_ɑ̃	0.15
ˈeɪ̯	jː	0.143
s	t_s	0.143
n	nː	0.132
ʀ	r_ˈi	0.13
ɫ	lː	0.13
ˈoː	-	0.125
ɐ	r_ɑ̃	0.125
ɐ	r_ɑ	0.125
ɐ	r_i	0.125
ŋ	n_d	0.12
ˈe	ˈe	0.105
n	n_i	0.105
ˈɛ	-	0.1
ɕ	k_s	0.1
d̥	θ_ɑ	0.1
d̥	d	0.1
ɐ	ɛː	0.094
ʀ	x_r	0.087
ˈoː	ˈɑː	0.083
ˈoː	ˈɑu̯	0.083
ˈoː	ˈɑ_x	0.083
ə	ɑ	0.081
d	ð	0.081
ŋ	ɡ	0.08
n	n_ɑ	0.079
m	m_b	0.074
ʋ	xʷ	0.071
ɐ	ɔː	0.062
ɐ	r_ɔː	0.062
ɐ	r_u	0.062
ɐ	e	0.062
ə	ɔːː	0.054
ə	i	0.054
d	ð_ɛː	0.054
n	r_n	0.053
