Asturian	Lengadocian	probability
β_ˈe	β_ˈe	1.0
β_u	p	1.0
ˈe_ɾ	e	1.0
ˈe_u	ˈɔ_k	1.0
ˈe_k	ˈe_k	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʝ_u	l	1.0
ʎ_e	l_e	1.0
ɾ_ˈe	ˈe	1.0
ɾ_t	ʀ_t	1.0
ɾ_a	ɾ_ɔ	1.0
ɣ_u	k	1.0
ɟ͡ʝ	-	1.0
ŋ	ŋ	1.0
ð_ɾ	j_ɾ	1.0
w_ˈe	ˈɔ	1.0
t_a	t_ɔ	1.0
t	t	1.0
s_k	s_k	1.0
r	ʀ	1.0
p_u	s	1.0
p_j	p_e	1.0
p	p	1.0
n_t	n	1.0
m_ˈo	l	1.0
l_s	l_s	1.0
l_m	mː	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
f_e	b_ˈɛ	1.0
f	f	1.0
b	b	1.0
n	n	0.956
m	m	0.948
ˈi	ˈi	0.94
e	e	0.917
d	d	0.842
ð	ð	0.83
ʝ	ʎ	0.821
ˈu	ˈy	0.804
ɣ	ɣ	0.784
ɲ	ɲ	0.742
ˈo	ˈu	0.718
s	s	0.713
l	l	0.701
ɡ	ɡ	0.694
a	ɔ	0.64
j	j	0.622
ʃ	ʤ	0.613
ʎ	l	0.605
β	β	0.573
o	u	0.573
w	ɥ	0.571
ɾ	ɾ	0.534
ɾ_u	ɾ_e	0.527
ɾ_u	ʀ	0.473
ˈe	ˈe	0.471
w	-	0.429
i	-	0.407
ʃ	s	0.387
j	-	0.378
θ	s	0.363
u	u	0.351
a	a	0.317
ɡ	k	0.306
l	-	0.299
i	i	0.296
i	e	0.296
o	-	0.284
ˈe	ˈɛ	0.273
u	w	0.26
ɲ	n	0.258
θ	z	0.24
u	l	0.24
ɾ	ʀ	0.227
θ	-	0.221
ɣ	-	0.216
β	w	0.197
ʝ	ʤ	0.179
θ	j_s	0.175
s	z	0.175
ð	t	0.17
d	-	0.158
ʎ	-	0.153
u	e	0.149
o	e	0.143
ɾ	-	0.141
ˈu	ˈu	0.135
ˈe	ˈi	0.135
β	-	0.133
ʎ	p_l	0.133
s	-	0.113
ʎ	k_l	0.109
ˈo	w	0.101
β	ɾ	0.097
ˈo	ˈa_w	0.087
e	-	0.083
ˈo	ˈɔ	0.08
ˈu	ɥ	0.06
ˈi	ˈe	0.06
ɾ	ɾ_j	0.053
m	nː	0.052
