Westphalian	East Low German	probability
ˈʏ	ˈʏ	1.0
ˈʊ_s	ˈuː_s	1.0
ˈʊ	ˈʊ	1.0
ˈɪə̯	ˈɛː	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈɪ	ˈɪ	1.0
ˈɔ	ˈɔ	1.0
ˈøː	ˈɔʏ̯	1.0
ˈø	ˈʏ	1.0
ˈyː	ˈyː	1.0
ˈuː	ˈuː	1.0
ˈuə̯	ˈɒː	1.0
ˈiː_#>	ˈiː_#>	1.0
ˈiː	ˈiː	1.0
ˈiɛ̯	ˈɛː	1.0
ˈeː	ˈae̯	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ˈaɪ̯_#>	ˈae̯_#>	1.0
ˈaɪ̯	ˈae̯	1.0
ˈa_ɐ	ˈaː	1.0
ˈa	ˈa	1.0
ʋ_#>	f_#>	1.0
ʃ_k_#>	ʃ_#>	1.0
ʃ_k	ʃ	1.0
ɪ	ɪ	1.0
ɡ_ə	ç	1.0
ɡ_n	ŋ	1.0
ɡ	ɡ	1.0
ə	-	1.0
ɐ_#>	æ_#>	1.0
ŋ_ə	ŋ	1.0
ŋ_n	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ç_#>	ç_#>	1.0
z	z	1.0
x_#>	x_#>	1.0
x	x	1.0
v_n	m	1.0
v_#>	f_#>	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
p_#>	p_#>	1.0
p	p	1.0
n_#>	n_#>	1.0
n	n	1.0
m_ə	m	1.0
m_n	m	1.0
m_#>	m_#>	1.0
l_ə	l	1.0
l_v	l_m	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	k	1.0
k_#>	k_#>	1.0
k	k	1.0
f_#>	f_#>	1.0
b	b	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈuː	<#_ˈuː	1.0
<#_ˈeː	<#_ˈae̯	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʃ	1.0
<#_v	<#_v	1.0
<#_t	<#_tʰ	1.0
<#_s	<#_z	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
#>	ç_#>	1.0
ˈɔː	ˈɒː	0.818
ˈɛ	ˈɛ	0.778
ˈoː	ˈaʊ̯	0.778
d_#>	d_#>	0.7
ŋ	ŋ	0.667
<#_x	<#_ɡ	0.667
ˈaː	ˈɒː	0.6
d	ɾ	0.571
ˈuːə̯	ˈɔ	0.5
ˈuːə̯	æ	0.5
ʋ	w	0.5
ʋ	v	0.5
ɐ	æ	0.5
ɐ	-	0.5
d	d	0.429
ˈaː	ˈaː	0.4
ˈɪɛ̯	ˈɛː	0.375
ˈɪɛ̯	ˈɛ	0.375
ŋ	ŋ_k	0.333
<#_x	<#_j	0.333
d_#>	t_#>	0.3
ˈɪɛ̯	ˈaː	0.25
ˈɛ	ˈɪ	0.222
ˈoː	ˈaʊ̯_ɾ	0.222
ˈɔː	ˈoː	0.182
