Palatine German	Elfdalian	probability
β_ˈɔ	ˈʉ	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈɪː	1.0
ˈɑːɪ̯	ˈɛ_ɡː	1.0
ˈɑː_ɐ	ˈɑ_r	1.0
ˈɑ_l	ˈɔː	1.0
ˈõː	ˈʉː_n	1.0
ˈo	ˈɔ̃ː	1.0
ˈĩː	ˈyːœ̯_n	1.0
ˈi	j	1.0
ˈau̯̯	ˈɑːu̯	1.0
ˈau̯	ˈɑːu̯	1.0
ʃ_d̥	s_t	1.0
ɡ̊_r	ɡ_r	1.0
ɑ	ɑ	1.0
ɐ_ʣ̥	r_t	1.0
ɐ_n	nː	1.0
ŋ_ɡ̊	kː	1.0
ŋ	ŋ_ɡ	1.0
n_s	sː	1.0
l_d̥	l_d	1.0
kʰ	kʰ	1.0
j	ˈʉːə̯_ɣ	1.0
eː	ɔ̃	1.0
m	m	0.901
b̥	b	0.789
r	r	0.771
ə	ɑ	0.766
ˈuː	ˈʉːə̯	0.752
ɐ	r	0.723
ˈɪ	ˈɪ	0.72
ɣ̊	ɣ	0.712
β	w	0.706
f	f	0.702
ˈu	ˈʉ	0.677
l	ɽ	0.638
ˈɛː	-	0.591
n	n	0.589
ˈaɪ̯	ˈɑːi̯	0.553
ˈɑː	ˈɑː	0.532
ʣ̥	tʰ	0.531
x	k	0.522
ɪ	ʉ_ŋ	0.5
ɪ	-	0.5
ɡ̊	ɡ	0.481
x	-	0.478
s	s	0.463
ˈeː	-	0.452
ˈiː	j_ˈʉːə̯	0.435
ˈɔ	ˈʉə̯	0.434
s	t	0.421
d̥	d	0.41
ˈɛː	ˈiːe̯	0.409
ˈɑ	ˈɑ	0.401
ˈoː	ˈoː	0.365
ˈɛ	-	0.346
ˈɛ	ˈɛ	0.342
ˈu	-	0.323
ˈeː	j	0.317
ˈiː	j	0.31
ˈɔ	ˈʉ	0.307
ʣ̥	tː	0.294
ɣ̊	ɣ_ɛ	0.288
ɡ̊	-	0.287
ˈoː	ˈɔː	0.275
d̥	ð	0.272
ˈɑː	ˈœː	0.263
ɐ	ɛ_r	0.26
ˈɔ	-	0.259
ʃ	ɣ	0.251
d̥	tʰ	0.251
ʃ	s	0.249
ˈuː	-	0.248
n	nː	0.248
ʃ	s_ʨ	0.234
ˈeː	ˈʉː	0.232
r	ð	0.229
ˈɑ	ˈɑː	0.215
ˈɑː	-	0.205
ˈiː	ˈʉːə̯	0.202
f	p	0.201
ˈɑ	-	0.189
ˈoː	ˈœː	0.181
ˈoː	-	0.179
ʣ̥	-	0.175
ˈaɪ̯	-	0.174
ʃ	s_k	0.173
ɡ̊	ʥ	0.168
β	-	0.163
l	lː	0.162
ˈɛ	ˈæ	0.16
ə	ɔ	0.159
ˈaɪ̯	ˈʏː	0.157
ˈɛ	j	0.152
ˈɑ	ˈɔ	0.132
β	v	0.131
l	-	0.129
b̥	v	0.119
n	n_d	0.117
ˈaɪ̯	ˈɪː	0.116
m	mː	0.099
f	v	0.097
b̥	-	0.092
ˈɪ	ˈʏ	0.082
ʃ	ɡ	0.079
ˈɪ	ˈʉ	0.077
l	ˈɔː	0.071
ˈɑ	ˈo	0.063
ɡ̊	ʥː	0.063
s	tː	0.061
s	s_j	0.055
ˈiː	ˈɪ̃ː	0.053
ə	ɛ_n	0.05
