Eastern Lombard	Corsican	probability
u	u	1.0
w	w	1.0
ŋ	ŋ	1.0
ʤ	ɟ	1.0
e	u	0.081
e	-	0.191
f	v_e	0.141
i	i	0.931
j	ˈi_ʎ	0.071
k	k_u	0.081
s	-	0.081
s	s	0.451
z	ʧ	0.051
z	ɟ	0.831
ɡ	-	0.101
ʧ	tː_e	0.271
ʧ	c_u	0.371
ˈe	ˈɛ	0.451
ˈo	ˈo	0.361
ˈo	ˈɔ	0.431
ˈu	ˈɔ_n	0.071
ˈu	ˈɔ	0.61
l	l_e	0.072
m	m	0.852
n	ŋ	0.052
p	p_u	0.052
t	tː_u	0.12
t	t_e	0.122
t	t_u	0.132
z	ʒ	0.102
ʧ	c	0.252
ˈo	ˈa	0.092
ˈu	ˈo	0.222
ˈɛ	ˈe	0.342
b	bː	0.103
d	d	0.623
k	k	0.743
ɡ	ɡ	0.433
ɲ	ɲ	0.523
ˈø	ˈo	0.143
f	f	0.794
o	o	0.114
r	r_e	0.104
s	ʧ_e	0.104
ʋ	v	0.664
ˈi	ˈi	0.584
ˈy	ˈu	0.934
d	t_r	0.15
f	v_u	0.065
r	r	0.655
ɡ	k	0.465
ˈe	v_ˈi	0.075
ˈɔ	ˈɔ	0.915
d	t	0.226
e	i	0.156
j	j	0.846
l	l_u	0.076
l	lː	0.166
l	l	0.526
o	u	0.886
s	ʧː	0.06
t	t	0.526
ʋ	p	0.336
ʧ	tː	0.106
ˈi	e	0.16
ˈy	ˈu_n	0.066
a	a	0.977
b	b	0.897
e	a	0.107
j	ʎ_u	0.067
k	kː	0.07
n	n	0.857
t	tː	0.067
ɲ	ɲ_u	0.477
ˈa	ˈa	0.877
ˈe	ˈi	0.107
ˈo	ˈu	0.117
ˈu	ˈo_n	0.097
k	<#_v	0.078
p	p	0.948
r	r_u	0.148
s	ʧ	0.118
ˈe	ˈɛ_n	0.098
ˈi	ˈi_n	0.178
ˈø	ˈu	0.518
ˈɛ	v_ˈɛ	0.098
e	e	0.439
i	-	0.069
l	lː_u	0.159
m	m_e	0.119
ˈa	ˈa_n	0.09
ˈe	ˈe	0.269
ˈi	ˈɛ	0.069
ˈø	ˈɔ	0.339
ˈɔ	ˈu	0.059
ˈɛ	ˈɛ	0.539
