Asturian	Asturian	probability
θ_#>	z_#>	1.0
β_u_#>	v_#>	1.0
β_e	v_ɐ	1.0
ˈo_ŋ	ˈõũ̯	1.0
ˈo_n	ˈõũ̯	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈe_θ	z	1.0
ˈe_ɾ	r	1.0
ˈe_u	ɡ	1.0
ˈe_j	ˈɛ	1.0
ˈe_#>	ˈɛ_#>	1.0
ˈa_ŋ	ˈʌ̃	1.0
ˈa_n	ˈʌ̃	1.0
ˈa_l	ˈeə̯_l	1.0
ʧ	t	1.0
ʝ_u	j	1.0
ʎ_ˈi	l_ˈɛ	1.0
ʃ_u	s	1.0
ɾ_t	r_t	1.0
ɾ_e	ɐ_r	1.0
ɾ_#>	#>	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	-	1.0
ð_a	d_ɐ	1.0
u_#>	#>	1.0
s_#>	#>	1.0
r	r	1.0
p	p	1.0
k_u_#>	k_#>	1.0
k	k	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
d	d	1.0
a_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_d	<#_d	1.0
t	t	0.929
ʎ	l	0.917
a	ɐ	0.868
m	m	0.846
s	s	0.839
n	n	0.786
ɣ	ɡ	0.778
l	l	0.765
ɾ	r	0.755
ŋ	ŋ	0.75
u	-	0.75
ˈa_ɾ	ˈeə̯	0.727
i	-	0.714
ʝ	ʧ	0.667
j_ˈe	ˈɛə̯	0.667
e	ɐ	0.632
ʃ	ð	0.625
w	v	0.625
b	v	0.577
ˈe_n	ˈẽ_n	0.571
#>	ɐ_#>	0.571
<#_ɡ	<#_ɡ	0.556
w_ˈe	ˈɔə̯	0.524
ɲ	ɲ	0.5
ð	t	0.5
ð	d	0.5
β	v	0.471
o	u	0.471
ˈa	ˈʌ̃	0.455
<#_ɡ	<#	0.444
ˈe_n	n	0.429
j	-	0.429
#>	t_#>	0.429
b	b	0.423
ˈi	ˈi	0.381
ʃ	ʤ	0.375
w	ˈu	0.375
j	ˈi	0.357
o	-	0.353
θ	θ	0.333
θ	z	0.333
θ	-	0.333
ˈu	ˈu	0.333
ˈo	ˈou̯	0.333
ˈa	ˈeə̯	0.333
ʝ	-	0.333
j_ˈe	ˈeː	0.333
ˈo	ˈo	0.303
ˈe	ˈɛ	0.3
ɲ	n	0.3
β	-	0.294
w_ˈe	ˈɔ	0.286
i	i	0.286
ˈu	ˈo	0.278
ˈa_ɾ	ˈeə̯_r	0.273
ŋ	j̃	0.25
u	d	0.25
ˈi	ˈẽ	0.238
β	b	0.235
l	-	0.235
ˈe	-	0.225
ˈu	ˈou̯	0.222
ɣ	-	0.222
ˈa	ˈa	0.212
e	-	0.211
ˈe	ˈeː	0.2
ɲ	-	0.2
ˈi	ˈɛ	0.19
w_ˈe	ˈo	0.19
ˈu	-	0.167
e	i	0.158
m	m_b	0.154
ˈo	ˈɔə̯	0.152
ˈe	ˈi	0.15
j	ˈɛ	0.143
o	i	0.118
ɾ	ɐ_r	0.102
s	-	0.097
ˈi	j_ˈɔə̯	0.095
ˈi	-	0.095
ˈo	ˈeə̯	0.091
ʎ	ʧ	0.083
ɾ	-	0.082
a	-	0.074
t	θ	0.071
n	ˈõũ̯	0.071
n	ɐ_n	0.071
n	-	0.071
j	ˈɛ̃	0.071
s	j	0.065
ˈo	ˈu	0.061
ˈo	-	0.061
ɾ	ˈeə̯	0.061
o	w	0.059
a	a	0.059
