Standard Croatian	Polish	probability
̌	-	1.0
̂	-	1.0
ʧ	ʈ͡ʂ	1.0
ʋ_a	v_a	1.0
ɲ	ɲ	1.0
x	x	1.0
u_̂	w	1.0
t_i	ʨ	1.0
t_a	t_a	1.0
s_a	s	1.0
r̩ː	a_r	1.0
r̩	ɛ_r	1.0
r_j	ʐ	1.0
r_iː	ʐ̊_ɨ	1.0
r_a	r_ɔ	1.0
p	p	1.0
l_j	l	1.0
l_aː	w_ɔ	1.0
l_a	w_a	1.0
eː_̌	ɛ	1.0
e_̌	ɛ	1.0
e_̂	ɔ	1.0
b	b	1.0
a_̂	ɛ	1.0
a_r	r_ɨ	1.0
a_k	k_i	1.0
k	k	0.923
o	ɔ	0.872
ɡ	ɡ	0.852
n	n	0.794
r	r	0.771
iː	ɨ	0.702
t	t	0.699
eː	ɛ	0.688
ʦ	ʦ	0.685
m	m	0.683
j_eː	j_a	0.667
j	j	0.667
d	d	0.653
u	u	0.583
ʋ	v	0.576
z	z	0.573
ʎ	l	0.562
s	s	0.561
ʒ	ʐ	0.552
i_̂	i	0.544
oː	ɔ	0.522
l	w	0.492
oː	u	0.478
e	ɛ	0.473
uː	u	0.458
i_̂	ɨ	0.456
aː	a	0.454
ʒ	-	0.448
i	ɛ	0.448
a	a	0.447
s	ɕ	0.439
ʎ	j	0.438
u	v	0.417
l	l	0.391
i	-	0.378
d	ʥ	0.347
j_eː	a	0.333
j	-	0.333
z	ʑ	0.325
m	m_j	0.317
ʦ	k	0.315
t	ʨ	0.301
iː	i	0.298
aː	ɔ	0.273
aː	u	0.273
e	a	0.262
r	ʐ	0.229
ʋ	f	0.226
uː	ɔ	0.224
a	ɛ	0.213
n	ɲ	0.206
ʋ	v_j	0.197
eː	u	0.177
e	ɔ	0.175
i	ɨ	0.174
a	-	0.149
ɡ	ɡ̊	0.148
eː	ɛ_ɲ	0.135
o	u	0.128
a	j_ɛ	0.122
l	d_w	0.117
uː	ɔ_w̃	0.114
uː	-	0.114
z	z̥	0.102
uː	ɔ_m	0.09
k	-	0.077
e	-	0.07
a	ɔ	0.07
