Aromanian	Lombard	probability
a	-	0.714
a	ˈa	0.216
a	a	0.07
b	b	0.626
b	-	0.193
b	w	0.105
b	t	0.076
d	d	0.793
d	-	0.128
d	t	0.078
e	a	1.0
e̯a	-	1.0
e̯ˈa	ˈe	0.4
e̯ˈa	ˈɛ	0.317
e̯ˈa	ˈeː	0.174
e̯ˈa	ˈɔ	0.053
f	f	0.921
f	ʃ	0.079
i	-	0.312
i	e	0.208
i	ʋ	0.145
i	r	0.124
i	ĩ	0.064
i	a	0.059
j	ʋ	0.689
j	-	0.102
j	v	0.082
j	ˈyː	0.071
j	ˈi	0.056
k	k	0.601
k	-	0.135
k	ʧ	0.102
k	ɡ	0.068
l	l	0.745
l	j	0.197
l	-	0.058
m	m	0.725
m	-	0.235
n	n	0.591
n	-	0.311
n	ɲ	0.064
o̯ˈa	ˈyː	0.263
o̯ˈa	-	0.174
o̯ˈa	ˈu	0.154
o̯ˈa	ˈø	0.131
o̯ˈa	ˈo	0.124
o̯ˈa	ˈɔ	0.109
p	p	0.537
p	-	0.288
p	f	0.094
p	k	0.081
r	-	0.467
r	r	0.429
r	l	0.104
s	s	0.913
t	t	0.41
t	-	0.353
t	d	0.133
u	u	0.437
u	e	0.314
u	ẽ	0.154
v	ʋ	1.0
w	f	0.58
w	ˈøː	0.244
w	l	0.107
w	-	0.069
z	ɡ	1.0
ç	f	1.0
ŋ	ˈũː	0.374
ŋ	ˈĩː	0.316
ŋ	-	0.31
ə	a	0.908
ə	-	0.068
ɡ	ɡ	0.429
ɡ	ʤ	0.27
ɡ	-	0.168
ɡ	t	0.093
ɨ	ˈãː	0.578
ɨ	ã	0.336
ɨ	ˈẽː	0.085
ɲ	m	0.577
ɲ	ɲ	0.395
ʃ	s	0.825
ʃ	-	0.136
ʎ	l	0.391
ʎ	-	0.198
ʎ	a	0.187
ʎ	ˈa	0.164
ʎ	j	0.061
ʣ	ʤ	0.669
ʣ	d	0.193
ʣ	ʦ	0.116
ʤ	-	0.409
ʤ	ʤ	0.38
ʤ	k	0.211
ʦ	-	0.276
ʦ	ʧ	0.203
ʦ	ʦ	0.177
ʦ	s	0.141
ʦ	k	0.087
ʦ	z	0.063
ʧ	ʃ	0.568
ʧ	-	0.432
ˈa	ˈa	0.541
ˈa	ˈaː	0.157
ˈa	ˈɛ	0.12
ˈa	ˈe	0.066
ˈe	ˈɛ	0.445
ˈe	ˈe	0.4
ˈe	-	0.07
ˈe	ˈa	0.053
ˈi	ˈi	0.349
ˈi	-	0.172
ˈi	ˈe	0.087
ˈi	ˈĩː	0.084
ˈi	ˈẽː	0.081
ˈi	a	0.062
ˈo	u	0.207
ˈo	ˈɔ	0.199
ˈo	ˈø	0.182
ˈo	-	0.162
ˈo	ˈøː	0.158
ˈo	ˈu	0.092
ˈu	ˈu	0.239
ˈu	ˈy	0.207
ˈu	ˈo	0.096
ˈu	ˈyː	0.089
ˈu	ˈũː	0.082
ˈu	-	0.08
ˈu	ˈɔ	0.054
ˈə	ˈi	1.0
ˈɨ	ˈãː	0.645
ˈɨ	ˈa	0.206
ˈɨ	ˈø	0.136
