Limburgish	Middle High German	probability
β_ˈɪː	w	1.0
ˈʏː	-	1.0
ˈʏ_m	mː	1.0
ˈʊ	ˈu	1.0
ˈɪː	ˈi	1.0
ˈɛːi̯	ˈei̯	1.0
ˈɑː	ˈɑ	1.0
ˈœː	ˈu	1.0
ˈœi̯	ˈyː	1.0
ˈyː	-	1.0
ˈuː	ˈuː	1.0
ˈu	ˈoː	1.0
ˈeː_v	ˈɛ_b	1.0
ʃ	ʃ	1.0
ʀ_ə	r	1.0
ɦ	h	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ə_ʀ	ə_r	1.0
ə_v̥	f	1.0
ə_l	ə_l	1.0
z̥	s_ə	1.0
x	x	1.0
w	l	1.0
v̥	b̥	1.0
s_t	ʃ_t	1.0
n_ɪ	n_ə	1.0
m	m	1.0
l_ə	l	1.0
j_ə	t_ə	1.0
i	ɛ_h	1.0
b	b	1.0
β	w	0.969
d	d	0.931
l	l	0.909
ʀ	r	0.884
v	v	0.851
ˈɑ	ˈɑ	0.845
d̥	d̥	0.836
n	n	0.828
ˈaː	ˈɑ	0.822
z	s	0.816
ˈiː	ˈiː	0.802
ɣ̊	ɡ̊	0.787
ˈɒː	ˈɑː	0.763
ˈɛː	ˈei̯	0.762
ˈɔː	ˈou̯	0.654
ˈɔ	ˈo	0.651
ˈɔu̯	-	0.61
ˈæː	ˈɛ	0.608
ˈoː	ˈuə̯	0.596
ˈœ	ˈy	0.571
ˈæ	ˈɑ	0.566
ə	ə_n	0.549
ˈɛ	ˈi	0.541
p	f	0.502
ŋ	ŋ	0.495
ˈɪ	ˈe	0.486
ˈʊː	ˈu	0.477
ˈɛ	-	0.459
ˈæ	-	0.434
ˈœ	-	0.429
s	s	0.408
ˈeː	ˈiə̯	0.407
ˈoː	ˈo	0.404
ˈøː	ˈyə̯	0.397
ˈæː	-	0.392
ˈɔu̯	ˈou̯	0.39
ˈi	ˈeː	0.381
ˈi	-	0.381
t	ʦ	0.369
ˈɔ	-	0.349
ˈɔː	ˈo	0.346
j	ə	0.344
k	kʰ	0.338
ˈeː	ˈɛ	0.331
ŋ	ŋ_ɡ	0.327
ˈøː	-	0.326
t	s̻	0.324
p	p͡f	0.324
ˈøː	ˈy	0.277
s	ʃː	0.265
ˈɪ	ˈi	0.264
j	t_ə	0.258
ˈɪ	-	0.25
ˈɛː	ˈi	0.238
ˈɒː	ˈɑ	0.237
s	ʃ	0.231
ˈʊː	ˈo	0.223
ˈʊː	ˈuə̯	0.214
ɣ̊	ɡ_ə	0.213
j	l	0.206
ə	ə	0.204
ˈiː	-	0.198
k	kː	0.186
z	ʃ	0.184
ə	n	0.178
ŋ	ɡ̊	0.178
d̥	ə_t	0.164
k	xː	0.162
ˈi	ˈi	0.159
ˈɑ	-	0.155
t	s̻ː	0.151
v	b	0.149
k	x	0.143
ˈeː	ˈi	0.133
ˈaː	-	0.117
k	k	0.114
t	t	0.112
j	j	0.097
s	x	0.096
j	-	0.095
p	p	0.087
p	fː	0.087
ˈʊː	-	0.086
ˈi	ˈæː	0.079
n	nː	0.069
d	t	0.069
ˈeː	ˈe	0.065
ˈeː	-	0.065
l	l_ə	0.062
ˈaː	ˈɑ_l	0.061
ʀ	ə_r	0.06
k	ɡ̊	0.058
ʀ	ə	0.056
n	n_ə	0.052
n	nː_ə	0.051
