Afrikaans	Wymysorys	probability
χ_ˈɪə̯	ɡ_ˈɑ	1.0
ˈɪø̯	ˈu	1.0
ˈɛː	-	1.0
ˈɔː	-	1.0
ˈœɪ̯	ˈɑi̯	1.0
ˈœu̯	ˈɑ_w	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyː	ˈɑi̯_ɛ	1.0
ˈa_r	ˈi̯ø	1.0
ɫ_#>	w_#>	1.0
ɦ	h	1.0
ə_χ	ɪ_k	1.0
ə_r	ə	1.0
v	v	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
p_#>	f_#>	1.0
p	f	1.0
n_ə	ŋ	1.0
n_#>	#>	1.0
m	m	1.0
j	-	1.0
d̥_#>	t_#>	1.0
b	b	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ˈœɪ̯	<#_ˈɑi̯	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
n	n	0.93
v̥	f	0.871
r	r	0.87
d	d	0.846
ɫ	w	0.806
d̥	d̥	0.786
ŋ	ŋ	0.778
ə	ɛ	0.722
ˈu	ˈʏ	0.714
k_#>	x_#>	0.714
k	k	0.714
ˈə	ˈɘ̟	0.688
ˈɔ	ˈu	0.688
ˈəɪ̯	ˈai̯	0.643
ˈa	ˈɑ	0.625
ˈœ	ˈɘ̟	0.6
#>	a_#>	0.529
ˈɛ	ˈɛ	0.5
ˈɛ	ˈɘ̟	0.5
ˈi	ˈi	0.5
t	ʦ	0.469
ˈœ	-	0.4
ˈʊə̯	-	0.375
s	z	0.37
ˈɑː	ˈø	0.353
χ	ɡ	0.345
ˈɪə̯	ˈa	0.333
s	ʃ	0.326
ˈʊə̯	ˈɑi̯	0.312
ˈʊə̯	ˈu	0.312
ˈə	-	0.312
ˈɔ	-	0.312
s	s	0.304
ˈɑː	ˈɔ	0.294
ˈa	ˈɔ	0.292
ˈu	ˈi	0.286
k_#>	#>	0.286
ˈɪə̯	ˈɑ	0.267
ˈɪə̯	-	0.267
ˈi	-	0.25
t	s	0.25
χ	ɡ̊	0.241
ˈɑː	-	0.235
ŋ	ɡ̊	0.222
ˈəɪ̯	ˈa	0.214
d̥	d_a	0.214
#>	n_#>	0.206
ɫ	l	0.194
k	ç	0.19
ə	a	0.167
t	t	0.156
d	t	0.154
#>	t_#>	0.147
ˈəɪ̯	ˈɘ̟_n	0.143
χ	x_t	0.138
χ	x	0.138
ˈɪə̯	ˈɛ	0.133
ˈi	ˈɑ	0.125
ˈi	ˈai̯	0.125
t	s_a	0.125
ˈɑː	ˈɛ	0.118
#>	ə_#>	0.118
ə	-	0.111
k	x	0.095
r	-	0.087
ˈa	-	0.083
n	-	0.07
χ	ɟ_a	0.069
χ	k	0.069
v̥	b̥	0.065
v̥	-	0.065
