North Frisian	English	probability
b	b	0.904
b	-	0.052
b	p	0.051
d	d	0.658
d	ð	0.153
d	θ	0.105
d	t	0.044
d	-	0.039
dʲ	d	1.0
f	f	0.957
f	-	0.047
h	h	1.0
i	ɪ	0.749
i	-	0.238
j	-	0.452
j	əʊ̯	0.152
j	ˈaɪ̯	0.115
j	ɫ	0.1
j	ˈɔː	0.1
k	k	0.376
k	kʰ	0.244
k	-	0.16
k	ʧ	0.147
k	ʃ	0.056
k_ə	k	0.803
k_ə	f	0.117
l	l	0.628
l	ɫ	0.269
l	-	0.092
l_ə	ɫ	1.0
lʲ	ɫ	0.467
lʲ	ɫ_d	0.441
lʲ	ə	0.046
m	m	1.0
m_ə	m	0.489
n	n	0.879
n	-	0.117
nʲ	n_d	0.436
nʲ	n	0.38
nʲ	ˈeɪ̯	0.158
p	p	0.807
p	pʰ	0.189
p_ə	p	1.0
r	ɹ	0.603
r	ə	0.193
r	-	0.145
r	ˈɔː	0.043
r	ˈɜː	0.028
r_n	n	1.0
r_ə	ə	0.239
s	s	0.89
s	θ	0.063
s	z	0.031
s	-	0.028
t	t	0.406
t	tʰ	0.216
t	-	0.206
t	θ	0.127
t	d	0.042
t_ə	t	1.0
tʲ	t	0.851
tʲ	θ	0.123
v	w	0.686
v	v	0.179
v	-	0.082
v	f	0.047
v_ə	v	0.733
v_ə	p	0.265
w	ˈaɪ̯	0.667
w	ʤ	0.333
x	t	0.919
x	-	0.071
z	z	0.85
z	θ	0.075
z_ə	t	0.74
z_ə	ə	0.134
ŋ	ŋ	0.798
ŋ	-	0.118
ŋ	n	0.078
ə	-	0.814
ə	ə	0.181
ə_l	ɫ	1.0
ə_r	ə	1.0
ə_v	f	0.489
ɡ	ɡ	0.871
ɡ	j	0.129
ʃ	ʃ	0.776
ʃ	ʧ	0.156
ʃ	s	0.06
ˈa	ˈɪ	0.423
ˈa	-	0.186
ˈa	ˈaɪ̯	0.186
ˈa	ˈɒ	0.107
ˈa	ɪ	0.079
ˈa_r	ˈɑː	0.561
ˈa_r	ˈɜː	0.425
ˈai̯	ˈɪ	0.561
ˈai̯	j	0.181
ˈai̯	ˈəʊ̯	0.11
ˈaː	ˈɪ	0.723
ˈaː	ˈɐ	0.203
ˈeː	ˈɪ	0.259
ˈeː	ˈeɪ̯	0.208
ˈeː	ˈiː	0.208
ˈeː	ˈæ	0.181
ˈeː	ˈe	0.119
ˈeː_r	ˈɑː	1.0
ˈi	ˈaɪ̯	0.461
ˈi	ˈɪ	0.351
ˈi	ˈəʊ̯	0.071
ˈi	ˈiː	0.057
ˈi	ˈeɪ̯	0.049
ˈiː	ˈiː	0.347
ˈiː	ˈəʊ̯	0.263
ˈiː	ˈaɪ̯	0.123
ˈiː	ˈɪ	0.116
ˈiː	ˈɒ	0.049
ˈiː_ə	ˈiː	1.0
ˈuː	ˈiː	0.316
ˈuː	ˈɪ	0.154
ˈuː	w	0.094
ˈuː	-	0.089
ˈuː	ˈeɪ̯	0.089
ˈyː	ˈaʊ̯	0.408
ˈyː	ˈe	0.265
ˈyː	-	0.128
ˈyː	ˈaɪ̯	0.102
ˈyː	ˈɐ	0.053
ˈøː	ˈe	0.287
ˈøː	ˈɪ	0.287
ˈøː	-	0.161
ˈøː	ˈaʊ̯	0.161
ˈøː_j	ˈaʊ̯	1.0
ˈœ	ˈæ	0.32
ˈœ	ˈʊ	0.248
ˈœ	ˈəʊ̯	0.136
ˈœ	ˈɐ	0.118
ˈœ	ˈuː	0.09
ˈœ_r	ˈɜː	1.0
ˈɒ	ˈaɪ̯	0.348
ˈɒ	ˈɒ	0.11
ˈɒ	ˈɐ	0.107
ˈɒ	ˈɔː	0.104
ˈɒ	ˈəʊ̯	0.104
ˈɒː	ˈɑː	0.197
ˈɒː	ˈeɪ̯	0.172
ˈɒː	ˈe	0.153
ˈɒː	ˈæ	0.124
ˈɒː	ˈɔː	0.084
ˈɔ	ˈɔː	0.848
ˈɔ	ˈəʊ̯	0.126
ˈɔi̯	ˈe	0.489
ˈɔu̯	ˈɐ	0.433
ˈɔu̯	ˈuː	0.273
ˈɔu̯	ˈɔː	0.11
ˈɔu̯	ˈəʊ̯	0.11
ˈɔː	ˈe	0.209
ˈɔː	ˈeɪ̯	0.182
ˈɔː	ˈɒ	0.138
ˈɔː	ˈæ	0.12
ˈɔː	ˈɛ	0.093
ˈɛ	ˈiː	0.488
ˈɛ	ˈɪ	0.28
ˈɛ	ˈæ	0.171
ˈɛi̯	ˈiː	0.731
ˈɛi̯	ˈeɪ̯	0.174
ˈɛi̯	ˈuː	0.071
ˈɛː	ˈe	0.32
ˈɛː	ˈiː	0.223
ˈɛː	ˈeɪ̯	0.169
ˈɛː	ˈɛ	0.118
ˈɛː	ˈuː	0.114
ˈʊ	ˈɐ	0.234
ˈʊ	ˈɪ	0.197
ˈʊ	w_ˈʊ	0.12
ˈʊ	-	0.091
ˈʊ	ˈʊ	0.069
ˈʏ	ˈɪ	0.683
ˈʏ	ˈɒ	0.22
