Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɔ_l	l	1.0
ˈɒ_l	ˈɔa̯_l	1.0
ˈuː_#>	ˈʏ_#>	1.0
ˈeː	-	1.0
ˈaː_#>	ˈiː_n_#>	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈa	k_ˈa	1.0
ʦ_eː	aɪ̯	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɾ	ɾ	1.0
ɡ̊_n	ç	1.0
ɡ̊_#>	k_#>	1.0
ɐ_#>	#>	1.0
ŋ_#>	#>	1.0
v̥	p	1.0
v_ˈɔ	v	1.0
t	t	1.0
r	r	1.0
n_ˈoː	n	1.0
n_#>	#>	1.0
l_d̥	lʲ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
f_#>	p_#>	1.0
f	f	1.0
d̥_ˈiː	d_ˈiː	1.0
d̥_n	ɾ	1.0
b̥͡v̥	pʰ	1.0
b̥_#>	f_#>	1.0
b̥	b	1.0
a	-	1.0
<#_ˈɒ	<#_ˈʏ	1.0
<#_v	<#	1.0
<#_n	<#_n	1.0
<#_d̥	<#_tʰ	1.0
#>	f_#>	1.0
l	l	0.976
m	m	0.931
v	v	0.875
ˈaʊ̯	ˈʏ	0.778
ɐ	ɐ	0.765
ŋ	ŋ	0.75
n	n	0.741
s	s	0.7
n_d̥	n	0.625
ɐ_n	ɐ_n	0.6
ʦ	tʰ	0.583
ʃ	s	0.524
z̥	t	0.5
x	x	0.5
ʃ	s_k	0.476
ˈaɪ̯	ˈɪ	0.45
ç	k	0.429
ˈɛ	ˈɛ	0.421
ʦ	t	0.417
ɐ_n	ɐ	0.4
ɡ̊	ɡ	0.385
ɡ̊	kʰ	0.385
n_d̥	nʲ	0.375
ˈɪ	ˈɪ	0.36
ˈoː	ˈɔː	0.357
x	k	0.357
ˈiː	ˈɛ	0.35
ˈaː	ˈoː	0.333
z̥	d	0.333
d̥	d	0.333
ˈuː	ˈɔa̯	0.312
ˈɔ	ˈuː	0.286
ç	ŋ	0.286
ç	-	0.286
ˈɪ	ˈɛ	0.28
ˈʊ	ˈʊ	0.278
ˈɒ	ˈa	0.273
ˈɛ	-	0.263
d̥	t	0.255
ˈuː	ˈʊ	0.25
ˈaː	ˈeː	0.25
ˈaː	-	0.25
ŋ	ç	0.25
s	t	0.25
d̥	ɾ	0.235
ˈɒ	ˈɔː	0.227
ˈaʊ̯	ˈyː	0.222
ˈɔ	ˈɔ	0.214
ˈoː	ˈiː	0.214
ˈuː	ˈɔ	0.188
ˈʊ	ˈʏ	0.167
ˈʊ	ˈɔ	0.167
ˈʊ	ˈœ	0.167
ˈaː	ˈaʊ̯	0.167
z̥	z	0.167
ˈɪ	ˈʊ	0.16
ˈiː	ˈɪ	0.15
ˈiː	ˈiː	0.15
ˈiː	ˈeː	0.15
ˈaɪ̯	ˈʏ	0.15
ˈaɪ̯	ˈyː	0.15
ˈaɪ̯	ˈiː	0.15
ˈɔ	ˈʊ	0.143
ˈɔ	ˈɔː	0.143
ˈɔ	-	0.143
ˈoː	ˈuː	0.143
ˈoː	ˈa	0.143
ˈoː	-	0.143
x	-	0.143
ˈɒ	ˈʊ	0.136
ˈɒ	ˈuː	0.136
ˈɒ	ˈeː	0.136
ˈuː	ˈœ	0.125
ˈuː	ˈoː	0.125
v	-	0.125
ˈɪ	-	0.12
ɐ	r_ə	0.118
ˈʊ	ˈɛ	0.111
ˈʊ	-	0.111
n	ə	0.111
ˈɛ	ˈɛː	0.105
ˈɛ	ˈeː	0.105
ˈɛ	ˈa	0.105
ˈiː	ˈøː	0.1
ˈiː	-	0.1
ˈaɪ̯	-	0.1
ˈɒ	ˈœ	0.091
ˈɪ	ˈœ	0.08
d̥	x_t	0.078
d̥	-	0.078
ɡ̊	ç	0.077
ɡ̊	k	0.077
ɡ̊	-	0.077
n	ˈœ_n	0.074
n	-	0.074
ˈɔ	ˈaː	0.071
m	-	0.069
ɐ	ə	0.059
ɐ	ɐ_x	0.059
