Kashubian	Lower Sorbian	probability
a	a	1.0
b	b	1.0
d	d	1.0
k	k	1.0
l	l	1.0
m	m	1.0
n	n	1.0
s	s	1.0
t	t	1.0
u̯ɛ	ɔ	1.0
z	z	1.0
ɔ	ɔ	1.0
ə	i	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʂ	ɕ	1.0
ʃ	ʂ	1.0
ʐ	rʲ	1.0
ʒ	ʐ	1.0
ʣ	ʑ	1.0
ʤ	kʲ	1.0
ˈi	ˈi	1.0
ˈõ	ˈu	1.0
ˈɔ	ˈɔ	1.0
ˈʉ	ˈu	1.0
i	i	0.261
p	p	0.591
r	r	0.821
ˈə	ˈi	0.11
ˈɞ	ˈa	0.771
u̯ˈɛ	ˈɔ	0.112
w	w	0.942
ʧ	kʲ	0.322
ˈu	ˈɛ	0.263
ˈɛ	ˈe	0.373
ˈɛ	ˈa	0.493
j	e	0.314
v	vʲ	0.704
ʦ	ʦ	0.214
ˈa	ˈa	0.604
x	k	0.45
x	x	0.55
ˈe	ˈɪ	0.275
ˈe	ˈe	0.725
ˈɛ	-	0.075
j	j	0.686
v	v	0.296
ɛ	ɔ	0.206
ɛ	ɛ	0.226
ˈa	ˈɪ	0.396
ˈu	ˈɔ	0.737
u̯ˈɛ	ˈɛ	0.888
w	-	0.058
ɛ	e	0.568
ʦ	ɕ	0.758
ʧ	ʦ	0.678
ˈɛ	ˈɛ	0.058
i	ɨ	0.739
p	pʲ	0.409
r	ʂ	0.179
ˈə	ˈɨ	0.89
ˈɞ	ˈe	0.229
