Proto-Slavic	Slovenian	probability
a	a	1.0
aˀ	àː	1.0
ǎ	a	1.0
b	b	1.0
i	i	1.0
ĭˀ	ɔ́ː	1.0
ĭ̂	ɔ́ː	1.0
ĭ̌	ə́	1.0
j	-	1.0
m	m	1.0
n	n	1.0
ôː	óː	1.0
p	p	1.0
s	s	1.0
ŭ̂	-	1.0
v	ʋ	1.0
x	x	1.0
z	z	1.0
ɛ	èː	1.0
ɛː	èː	1.0
ɛ̂ː	éː	1.0
ɛ̌	ɛ	1.0
ɨ̂ː	íː	1.0
ɨ̌	ìː	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
d	-	0.081
ê	éː	0.301
t	t	0.991
e	éː	0.12
e	ɛ̀ː	0.432
ĭ	ə_w	0.242
k	-	0.062
ǐ	i	0.13
l	-	0.123
l	w	0.23
ǒ	ɔ́	0.133
ŭ	-	0.903
ɡ	ɡ	0.993
ẽ	éː	0.634
o	ɔ̀ː	0.314
ɛˀ	èː	0.574
ʒ	ʒ	0.944
ĭ	ə	0.665
ẽ	ɛ̀ː	0.366
ô	ɔ	0.076
ô	o	0.456
ɛˀ	éː	0.426
ʒ	ʃ	0.056
d	d	0.917
ǐ	ìː	0.87
l	l	0.647
o	óː	0.287
ǒ	òː	0.377
r	r	0.947
ŭ	ə	0.097
e	ɛ	0.428
ĭ	ə_r	0.08
k	k	0.938
ô	óː	0.468
ê	e	0.699
o	ɔ	0.369
ǒ	ɔ	0.49
