Eastern Lombard	Valencian	probability
i	i	1.0
k	k	1.0
m	m	1.0
p	p	1.0
w	w	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʋ	v	1.0
ʤ	-	1.0
ˈy	ˈu	1.0
b	b	0.91
d	ð	0.251
e	-	0.161
e	e	0.371
f	w	0.251
o	u	0.711
t	-	0.081
ˈo	ˈo	0.271
ˈø	ˈo	0.11
ˈø	ˈɒ	0.321
a	ɞ	0.152
a	a	0.2
j	ʎ	0.052
j	l	0.462
s	ʃ	0.062
t	t	0.752
ʧ	ʎ	0.522
ˈa	ˈa_r	0.192
ˈe	ˈi	0.22
ˈe	ˈe	0.262
ˈo	ˈɒ	0.662
d	d	0.503
e	i	0.153
s	-	0.173
ɡ	-	0.053
ɡ	ɡ	0.393
ˈø	ˈi	0.13
ˈɔ	ˈɒ	0.923
l	ʎ	0.584
z	ʤ	0.554
ɡ	ɣ	0.554
ˈa	ˈa	0.784
ˈu	ˈɒ	0.434
e	ɾ_e	0.315
r	β_ɾ	0.055
s	s	0.765
ˈi	ˈæ	0.065
a	ɜ	0.186
j	-	0.486
n	n	0.896
r	r	0.506
z	-	0.446
ˈu	ˈo	0.566
a	ɐ	0.427
ˈi	ˈi_r	0.067
ˈo	ˈu	0.067
ˈɔ	ˈu	0.077
ˈɛ	ˈæ	0.437
r	-	0.068
r	ɾ	0.318
ʧ	t	0.478
ˈe	ˈæ	0.518
ˈi	ˈi	0.868
ˈø	ˈu	0.438
b	β	0.09
d	-	0.199
f	f	0.749
l	l	0.409
o	-	0.289
t	ð	0.129
ˈɛ	ˈe	0.519
