Pennsylvania German	Pennsylvania German	probability
ˈʊ_n	ˈʏ	1.0
ˈɛː_ɑ	ʀ	1.0
ˈɛː	-	1.0
ˈɔː_ɑ	ʀ	1.0
ˈɔɪ̯	ˈɔ_j	1.0
ˈiː_ɡ	w	1.0
ˈeː_ɑ	ˈɛ	1.0
ˈa_s	ˈɒː_d	1.0
ˈa_l	ˈuː_l	1.0
ʦ	t	1.0
ɣ	j_ə	1.0
ɡ̊_#>	#>	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ç_#>	#>	1.0
t	t	1.0
p	p	1.0
n_d̥	nʲ	1.0
m	m	1.0
l_d̥	lʲ	1.0
k_ˈɛ	k	1.0
h	h	1.0
eː	ɛi̯	1.0
d_ə	dʲ_ə	1.0
b	b	1.0
<#_ɾ	<#_ʀ	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
l	l	0.913
ʋ	v	0.897
n	n	0.844
ə	ə	0.841
ɾ	ʀ	0.84
ɡ	ɡ	0.833
#>	ə_#>	0.778
k	k	0.765
ɑ	ə_ʀ	0.76
ɪ	i	0.714
b̥	v̥	0.714
ˈiː	ˈiː	0.667
f	f	0.645
d	d	0.611
ʃ	s	0.606
s	s	0.591
ˈaɪ̯	ˈi	0.579
ˈʊ	ˈʊ	0.571
ˈeː	ˈiː	0.565
ˈuː	ˈœ	0.556
ç	k	0.545
x	x	0.545
ˈaː	ʀ	0.5
ˈaʊ̯	ˈʏ	0.5
j	j	0.5
j	-	0.5
x	k	0.455
ʃ	ʃ	0.394
d̥	d̥	0.385
ˈɔː	ˈuː	0.357
ˈeː	-	0.348
ˈɔ	-	0.333
ˈaʊ̯	-	0.333
d	t	0.333
ˈɛ	ˈeː	0.312
d̥	-	0.308
ˈɔː	-	0.286
ˈoː	ˈyː	0.286
ɪ	-	0.286
b̥	-	0.286
ç	x	0.273
ˈɪ	ˈi	0.269
f	p	0.258
ˈɛ	ˈɛː	0.25
ˈɛ	-	0.25
ˈaː	ˈɔ_ʀ	0.25
ˈaː	-	0.25
ɑ	ʀ	0.24
ˈɪ	ˈa	0.231
ˈɔ	ˈʊ	0.222
ˈɔ	ˈɔː	0.222
ˈɔ	ˈœ	0.222
ˈuː	ˈʏ	0.222
ˈuː	ˈɛ	0.222
#>	t_#>	0.222
ˈɔː	ˈɔː	0.214
ˈoː	ˈɛi̯	0.214
ˈoː	-	0.214
ˈa	ˈɒ	0.214
ˈa	ˈœ	0.214
ˈaɪ̯	ˈa	0.211
d̥	dʲ	0.192
ˈɛ	ˈa	0.188
ç	ŋ	0.182
ˈiː	ˈɛi̯	0.167
ˈiː	ˈɛ	0.167
ˈaʊ̯	ˈœː	0.167
ɡ	j	0.167
s	tʲ	0.159
s	t	0.159
ˈɪ	ˈʊ	0.154
ˈʊ	ˈaː	0.143
ˈʊ	ˈa	0.143
ˈʊ	-	0.143
ˈɔː	ˈeː	0.143
ˈoː	ˈɔu̯	0.143
ˈoː	ˈuː	0.143
ˈa	-	0.143
k	ç	0.118
k	-	0.118
ˈɪ	-	0.115
d̥	z̥	0.115
ˈa	ˈʊ	0.107
ˈa	ˈɒː	0.107
ˈaɪ̯	ˈœː	0.105
ˈaɪ̯	-	0.105
ʋ	-	0.103
f	v_ə	0.097
n	-	0.094
s	z	0.091
ˈeː	ˈiː_nʲ	0.087
ɾ	ʀ_ˈɔu̯	0.08
ɾ	-	0.08
ˈɪ	ˈɔː	0.077
ˈɪ	ˈeː	0.077
ˈɪ	ˈai̯	0.077
ˈa	ˈɔː	0.071
ˈa	ˈɔ_ʀ	0.071
ˈa	ˈeː	0.071
ə	-	0.068
n	nʲ	0.062
d	tʲ	0.056
