Old Frisian	Eastphalian	probability
θ	d	1.0
ʦ	k	1.0
ɡː	-	1.0
ɡ	ɣ	1.0
ə_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
ð	-	1.0
z	z	1.0
v	v	1.0
tː	t	1.0
s_k	ʃ	1.0
r_t	ɐ_t	1.0
pː	p	1.0
p_ə	b_m	1.0
p	p	1.0
nː	n	1.0
n	n	1.0
mː	m	1.0
m_ə	m_n	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
k_ə	k	1.0
k	k	1.0
j_ə	n	1.0
iː	ɒː	1.0
h_r	r	1.0
h	h	1.0
dː	d	1.0
d_ə	n	1.0
bː	b	1.0
b	b	1.0
a	n	1.0
f	f	0.966
t	t	0.965
ˈi̯aː	ˈɛɪ̯	0.872
ˈiː	ˈiː	0.868
ˈuː	ˈuː	0.813
ˈi	ˈɪ	0.761
w	v	0.724
ˈaː	ˈeo̯	0.689
r_ə	ɐ	0.674
ˈa	ˈa	0.667
e	-	0.66
d	d̥	0.66
ˈoː	ˈaʊ̯	0.65
l_ə	l	0.624
ˈɛː	ˈɛɪ̯	0.612
j	-	0.599
ɣ_ə	ɣ	0.566
s	s	0.562
ˈu	ˈʊ	0.554
x	x	0.544
ɣ	-	0.526
r	ɐ	0.507
ˈo	ˈɔ	0.479
ɣ	ɣ	0.474
r	r	0.464
x	ç	0.456
ˈi̯uː	ˈyː	0.447
s	z	0.438
ɣ_ə	ŋ	0.434
ˈeː	ˈɒː	0.406
ə	ə	0.402
j	j	0.401
ˈɔː	ˈa	0.392
ˈɛː	-	0.388
l_ə	ˈœ_l	0.376
ˈo	ˈoː	0.369
ˈi̯uː	-	0.365
e	ə	0.34
r_ə	ɐ_n	0.326
ə	-	0.314
ˈeː	ˈɔʏ̯	0.252
ə	n	0.239
ˈɔː	ˈɒː	0.235
d	-	0.233
ˈe	ˈɛ	0.225
ˈɔː	ˈoː	0.216
ˈu	-	0.215
ˈeː	-	0.215
ˈe	ˈa	0.209
ˈoː	-	0.202
ˈi̯uː	ˈeː	0.188
ˈuː	-	0.187
w	w	0.183
ˈe	-	0.167
ˈɔː	-	0.157
ˈo	ˈʊ	0.152
ˈoː	ˈʊ	0.148
ˈe	ˈʏ	0.144
ˈaː	ˈoː	0.144
ˈiː	ˈɛɪ̯	0.132
ˈu	ˈœ	0.13
ˈi̯aː	-	0.128
ˈeː	ˈiː	0.128
ˈaː	ˈɛɪ̯	0.119
ˈe	ˈɛː	0.117
ˈa	ˈɔ	0.113
ˈa	ˈɒː	0.113
d	d	0.107
ˈa	-	0.106
ˈe	ˈeː	0.104
ˈu	ˈɔ	0.101
w	-	0.093
ˈi	ˈɛ	0.074
ˈi	ˈɛː	0.07
