East Low German	Swedish	probability
ˈɒː_n	ˈoː	1.0
ˈœː	ˈøː	1.0
ˈyː	ˈyː	1.0
ˈaʊ̯_ɾ	ˈuː	1.0
ɾ	d	1.0
ŋ_k	kː	1.0
ç_#>	#>	1.0
æ_n	ɳ	1.0
æ_#>	#>	1.0
w	v	1.0
v_ˈʊ	ˈɵ	1.0
tʰ	tʰ	1.0
t_n	t_a	1.0
t_#>	#>	1.0
s_#>	s_#>	1.0
s	s	1.0
r	r	1.0
h	h	1.0
f_#>	v_#>	1.0
d_#>	#>	1.0
b	b	1.0
<#_ˈae̯	<#_ˈɛ	1.0
<#_n	<#_n	1.0
f	f	0.9
l	l	0.86
v	v	0.85
ˈuː	ˈʉː	0.833
kʰ	kʰ	0.8
z	s	0.789
ˈɛ	ˈɛ	0.778
p	p	0.778
k	k	0.75
d	d	0.75
ˈɪ	ˈɪ	0.722
ˈɔʏ̯	ˈøː	0.714
ˈiː	ˈiː	0.714
ˈa	ˈa	0.682
ɡ	ɡ	0.667
ŋ	ŋː	0.636
ˈʊ	ˈɵ	0.625
m	m	0.615
ˈɛː	ˈɛː	0.6
ˈoː	ˈøː	0.6
ˈaː	ˈa_r	0.6
ˈɒː	ˈoː	0.571
æ	r	0.562
ˈʏ	ˈʏ	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	ˈœ	0.5
ˈae̯	ˈeː	0.5
ç	ɡ	0.5
x	ɡ	0.5
x	tː	0.5
j	ɡ	0.5
j	-	0.5
n	n	0.473
ˈaʊ̯	ˈuː	0.471
t	t	0.462
#>	a_#>	0.442
ʃ	s	0.417
ˈaʊ̯	ˈøː	0.412
ˈɛː	ˈɛ	0.4
ˈoː	ˈoː	0.4
ˈaː	ˈɑː	0.4
ˈʊ	ˈʊ	0.375
ˈae̯	ˈʉː	0.375
æ	ɛ	0.312
ˈʏ	ˈɛ	0.3
ç	ɡː	0.3
ʃ	ɧ	0.292
ʃ	s_k	0.292
n	a	0.291
ˈɔʏ̯	ˈœ	0.286
ˈɒː	ˈɑː	0.286
t	d	0.282
#>	r_#>	0.256
k	kː	0.25
d	tʰ	0.25
ˈa	ˈɑː	0.227
ˈɛ	j	0.222
p	pː	0.222
z	ɧ	0.211
ˈʏ	ˈɵ	0.2
ç	tː	0.2
kʰ	ɕ	0.2
m	mː_a	0.192
ŋ	ɡ_a	0.182
ŋ	a	0.182
ˈɪ	ˈɛ	0.167
ˈuː	ˈɔ	0.167
ɡ	ɡ_ɛ	0.167
ɡ	j	0.167
n	nː	0.164
t	tː	0.154
v	-	0.15
ˈɒː	ˈa	0.143
ˈiː	ˈæː	0.143
ˈiː	ˈyː	0.143
#>	ɛ_#>	0.14
ˈae̯	ˈɛ	0.125
ˈaʊ̯	ˈoː	0.118
#>	n_#>	0.116
m	v_a	0.115
ˈɪ	ˈeː	0.111
f	v	0.1
l	lː	0.093
ˈa	ˈɛ	0.091
m	mː	0.077
n	n_d	0.073
æ	ɳ	0.062
æ	r_a	0.062
t	ɛ	0.051
t	a	0.051
