Standard German	Standard German	probability
ˈʊ_ɐ	ˈɝ	1.0
ˈøː	ˈi	1.0
ˈuː_#>	ˈaʊ̯_#>	1.0
ˈoː_t	ˈɛ_d	1.0
ˈiː_ɡ_n_#>	ˈaɪ̯_#>	1.0
ˈiː_ɐ	ˈi	1.0
ˈaː_ɡ_n_#>	ˈeɪ̯_#>	1.0
ˈaɪ̯_n	ˈaɪ̯_n	1.0
ˈaɪ̯_#>	ˈi_#>	1.0
ˈa_x	ˈʌɪ̯	1.0
ˈa_l	ˈæ	1.0
ʁ_ə	ɚ	1.0
ɪ_ç	i	1.0
ɡ̊_#>	#>	1.0
ɡ_l	ɫ	1.0
ə	-	1.0
ɐ_n	ɹ_n	1.0
ɐ_m	ɹ_m	1.0
ç_t	ʔ	1.0
z̥_#>	s_#>	1.0
z_ə	z	1.0
z	s	1.0
v_ˈa	w_ˈɛ	1.0
tʰ_ˈiː	d_ˈi	1.0
tʰ	d	1.0
t_n	d	1.0
s_n	ʔ	1.0
p͡f	pʰ	1.0
m	m	1.0
l_ə	ɫ	1.0
kʰ_n	n	1.0
k_ə	ʤ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f_ə	p	1.0
f_n	p	1.0
eː	ˈɝ_t_t_i	1.0
d_n	d	1.0
b̥_#>	f_#>	1.0
b_n	v	1.0
a	θ	1.0
<#_ˈɛ	<#	1.0
<#_ʁ	<#_ɹ	1.0
<#_n	<#_n	1.0
#>	f_#>	1.0
v	w	0.926
b	b	0.833
ʁ	ɹ	0.818
ŋ	ŋ	0.8
f	f	0.765
ɡ	ɡ	0.75
ç	k	0.75
d̥	d	0.733
ˈʊ	ˈʌ	0.692
kʰ	kʰ	0.667
ɐ	ɚ	0.651
ˈʏ	ˈɪ	0.625
ˈɪ	ˈɪ	0.615
ˈɛ	ˈɛ	0.6
d	θ	0.591
ʦ	tʰ	0.588
ˈyː	ˈi	0.571
x	k	0.571
ˈoː	-	0.556
n	n	0.544
ʃ	s	0.519
ˈɛː	ˈɛ	0.5
ˈɛː	ˈi	0.5
ˈiː	ˈi	0.5
l	ɫ	0.5
l	l	0.5
ʃ	ʃ	0.481
s	ʔ	0.478
ˈoː	ˈʌ	0.444
t	d	0.438
s	s	0.435
ˈyː	-	0.429
x	-	0.429
n	-	0.426
ˈaʊ̯	ˈaʊ̯	0.4
ˈʏ	-	0.375
ˈɔʏ̯	ˈaɪ̯	0.375
ˈɔʏ̯	-	0.375
ˈaɪ̯	ˈoʊ̯	0.375
t	t	0.375
ˈaː	ˈi	0.353
kʰ	ʧ	0.333
ˈʊ	-	0.308
ˈuː	ˈʊ	0.3
ˈuː	ˈu	0.3
ˈiː	-	0.3
ʦ	ʔ	0.294
ˈeː	ˈoʊ̯	0.286
ˈɔ	ˈɔ	0.278
d̥	θ	0.267
ˈa	ˈɑ	0.259
ˈɔʏ̯	ˈi	0.25
ˈaʊ̯	ˈi	0.25
ç	ʧ	0.25
ˈaː	ˈæ	0.235
ˈaː	ˈeɪ̯	0.235
ɐ	ɹ	0.233
d	d	0.227
ˈɔ	-	0.222
ˈa	ˈeɪ̯	0.222
ˈeː	ˈɛ	0.214
ˈeː	ˈi	0.214
ˈaɪ̯	ˈʌɪ̯	0.208
ˈuː	ˈʌ	0.2
ˈuː	ˈi	0.2
ˈiː	ˈɪ	0.2
ˈaʊ̯	ˈʌ	0.2
ŋ	ŋ_ɡ	0.2
ˈɪ	ˈaɪ̯	0.192
ˈa	ˈɛə̯	0.185
ˈa	ˈæ	0.185
ʁ	-	0.182
d	ð	0.182
ˈaː	-	0.176
ˈɔ	ˈʌ	0.167
ˈɔ	ˈʊ	0.167
ˈɔ	ˈɑ	0.167
b	v	0.167
ˈaʊ̯	-	0.15
f	p	0.147
ˈeː	ˈɪ	0.143
ˈeː	-	0.143
ˈɛ	ˈɪ	0.133
ˈɛ	ˈɑ	0.133
ˈɛ	-	0.133
ˈaɪ̯	ˈɛ	0.125
ˈaɪ̯	ˈaɪ̯	0.125
ɡ	j	0.125
ɡ	-	0.125
ʦ	-	0.118
ˈɪ	-	0.115
t	ʔ	0.094
t	ð	0.094
f	v	0.088
s	ɾ	0.087
ˈaɪ̯	ˈɪ	0.083
ˈaɪ̯	-	0.083
ˈɪ	ˈʌɪ̯	0.077
ˈa	ˈɔ	0.074
ˈa	ˈoʊ̯	0.074
v	ˈɔ	0.074
ɐ	ˈɝ	0.07
