Romansch	Venetian	probability
e	e	1.0
o	o	1.0
u	o	1.0
z	-	1.0
ʒ	z	1.0
ʦ	z_o	1.0
ˈaː	ˈa	1.0
ˈe	ˈe	1.0
ˈeː	ˈe	1.0
ˈiə̯	ˈe	1.0
ˈo	ˈɔ	1.0
ˈuɔ̯	ˈo	1.0
ˈuː	ˈo	1.0
b	b	0.901
k	k_w	0.091
n	ŋ	0.431
s	s	0.731
t	t	0.691
ɲ	ɲ_o	0.201
ˈiː	ˈi	0.771
ˈu	ˈɔ	0.091
ˈɛː	ˈɛ_o	0.361
l	l	0.292
ɡ	-	0.32
ʃ	s	0.622
ʎ	ʤ	0.162
ˈɔ	ˈo	0.062
f	v	0.173
ŋ	ŋ	0.623
ʨ	k	0.783
ˈi	ˈi	0.753
ˈɛ	ˈo	0.103
d	d	0.964
j	-	0.64
m	ŋ	0.074
v	v	0.974
w	l	0.254
w	ɡ_o	0.334
ʃ	z	0.174
ʎ	ɰ	0.144
ˈa	ˈa	0.834
ˈu	ˈo	0.684
f	f	0.805
i	i	0.295
p	p	0.995
ə	e	0.185
ʥ	-	0.455
ˈa	-	0.05
ˈa	ˈɛ	0.115
ˈu	ˈu	0.225
ˈɔː	ˈɔ	0.885
ˈɛ	ˈi	0.15
j	j	0.36
l	-	0.156
n	n	0.436
s	s_o	0.106
s	-	0.126
t	d_o	0.076
t	t_o	0.106
w	w	0.06
w	-	0.096
ʎ	-	0.396
ʧ	s	0.966
ˈɔ	ˈɔ	0.26
i	o	0.167
l	ɰ	0.27
w	o	0.257
ŋ	ŋ_ɡ	0.377
ə	a	0.737
ʎ	ʧ	0.297
ʥ	z	0.377
ʨ	t_o	0.17
ˈi	ˈu	0.247
i	e	0.538
l	ɰ_o	0.18
r	r	0.858
ɡ	ɡ	0.68
ʃ	z_e	0.158
ʥ	ɡ	0.168
ˈɔ	ˈa	0.678
ˈɛ	ˈe	0.38
b	-	0.099
k	-	0.059
k	k	0.839
l	j	0.099
m	m	0.889
n	-	0.059
r	r_o	0.109
ɲ	ɲ	0.799
ˈiː	ˈu	0.229
ˈɛ	ˈɛ	0.359
ˈɛː	ˈɛ	0.639
