Provençal	Languedocien	probability
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_b	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ɥ	1.0
<#_ʀ	<#_ʀ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈã	<#_ˈa	1.0
a	a	1.0
ã_ŋ	a_n	1.0
b	β	1.0
d	ð	1.0
d_ɾ	d_ɾ	1.0
e	e	1.0
ẽ	e	1.0
i	i	1.0
j_ɔ	ʎ_ɔ	1.0
k_#>	k_#>	1.0
k_ɔ	k_ɔ	1.0
l	l	1.0
l_#>	l_#>	1.0
l_a	l_a	1.0
l_ˈa	l_ˈa	1.0
m	m	1.0
m_#>	m	1.0
m_b	m_b	1.0
m_e	m	1.0
m_ɔ	m_ɔ	1.0
n	n	1.0
n_ɔ	n_ɔ	1.0
s	s	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
s_ˈɛ	s_ˈɛ	1.0
t	t	1.0
t_ɾ	t_ɾ	1.0
v	β	1.0
w_ɾ	w_ɾ	1.0
w_ˈe	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
y	y	1.0
z	z	1.0
ŋ	-	1.0
ŋ_#>	n_#>	1.0
ŋ_ɡ	ŋ_ɡ	1.0
ɔ	-	1.0
ɔ_#>	ɔ	1.0
ɥ	ɥ	1.0
ɥ_ˈe	ɥ_ˈɛ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ	1.0
ɾ	ɾ	1.0
ɾ_ɔ	ɾ_ɔ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ʀ_#>	ʀ	1.0
ʤ	ʤ	1.0
ʧ_#>	ʧ_#>	1.0
ˈa	ˈa	1.0
ˈa_#>	ˈa_#>	1.0
ˈa_w	ˈa_w	1.0
ˈã	ˈa	1.0
ˈã_m	ˈa_m	1.0
ˈã_ŋ	ˈa	1.0
ˈe_j	ˈɛ_l	1.0
ˈẽ	ˈɛ	1.0
ˈi	ˈi	1.0
ˈi_#>	ˈi_#>	1.0
ˈĩ_ŋ	ˈi	1.0
ˈu	ˈu	1.0
ˈu_#>	ˈu_#>	1.0
ˈu_j	ˈu_l	1.0
ˈũ	ˈy	1.0
ˈũ_ŋ	ˈu_#>	1.0
ˈy	ˈy	1.0
ˈy_#>	ˈy_#>	1.0
ˈỹ	ˈy	1.0
ˈɔ_w	ˈɔ_w	1.0
e_#>	e_#>	0.871
#>	p_#>	0.2
w	-	0.222
w_#>	w_#>	0.182
ɡ	-	0.222
u	u	0.833
ʀ	n	0.133
j	j	0.864
ˈe	ˈu	0.074
s_#>	ʦ_#>	0.385
s_#>	s_#>	0.615
ˈẽ_ŋ	ˈɛ_n	0.5
ˈẽ_ŋ	ˈe	0.5
ˈɛ	ˈe	0.115
ˈɛ	ˈɛ	0.885
j	-	0.136
u	-	0.167
ʀ	ʀ	0.867
#>	t_#>	0.8
w	w	0.778
w_#>	l_#>	0.818
ɡ	ɣ	0.778
ˈe	ˈɛ	0.148
ˈe	ˈe	0.778
e_#>	e	0.129
