North Frisian	Alsatian	probability
b	b̥	0.942
b	-	0.061
d	t	0.468
d	d̥	0.36
d	s	0.083
d	ʃ	0.047
d	v	0.043
dʲ	t	1.0
f	f	1.0
h	h	0.939
h	-	0.064
i	i	0.833
i	-	0.139
j	ɡ̊	0.19
j	-	0.125
j	v	0.125
j	k	0.125
j	d̥	0.095
k	kʰ	0.355
k	k	0.165
k	ʃ	0.159
k	x	0.109
k	-	0.067
l	l	0.963
l	-	0.043
l_ə	l	1.0
lʲ	l_t	0.53
lʲ	ʁ	0.19
lʲ	l	0.175
m	m	1.0
n	n	0.871
n	-	0.108
n	j	0.034
nʲ	n	0.525
nʲ	n_d̥	0.457
p	f	0.603
p	p͡f	0.223
p	p	0.102
r	ʁ	0.956
r	-	0.045
r_s	s	0.501
s	s	0.532
s	ʃ	0.335
s	-	0.055
s	n_s	0.037
s	t	0.032
t	ʦ	0.378
t	t	0.361
t	s	0.184
t	d̥	0.068
tʲ	s	0.786
tʲ	d̥	0.167
v	ʋ	0.579
v	-	0.192
v	f	0.079
v	v	0.065
v	b̥	0.064
w	ʋ	0.288
w	k	0.288
w	ˈiː	0.095
x	x	0.646
x	ʃ	0.334
z	s	0.85
z	d̥	0.081
ŋ	ŋ	0.763
ŋ	-	0.218
ə	ə	0.737
ə	-	0.214
ə	i	0.047
ə_l	l	1.0
ɡ	ɡ̊	1.0
ʃ	ʃ	0.8
ʃ	s	0.125
ʃ	kʰ	0.07
ˈa	ˈi	0.392
ˈa	ˈe	0.233
ˈa	-	0.116
ˈa	ˈɒ	0.088
ˈa	ˈu	0.088
ˈai̯	ˈi	0.723
ˈai̯	ˈei̯	0.208
ˈaː	ˈi	0.5
ˈaː	ˈoː	0.5
ˈeː	ˈe	0.288
ˈeː	ˈɒ	0.218
ˈeː	ˈɒː	0.144
ˈeː	ˈæ	0.144
ˈeː	ˈaː	0.103
ˈi	ˈiː	0.373
ˈi	ˈi	0.317
ˈi	ˈəi̯	0.105
ˈi	ˈei̯	0.083
ˈi	ˈæ	0.066
ˈiː	ˈeː	0.251
ˈiː	ˈəi̯	0.248
ˈiː	ˈiː	0.237
ˈiː	ˈæː	0.057
ˈiː	ˈei̯	0.056
ˈuː	ˈʊː	0.219
ˈuː	ˈɒ	0.172
ˈuː	ˈoː	0.167
ˈuː	w	0.099
ˈuː	ˈøi̯	0.099
ˈyː	ˈyː	0.413
ˈyː	ˈoː	0.222
ˈyː	ˈɒ	0.087
ˈyː	ˈu	0.084
ˈyː	ˈʊː	0.068
ˈøː	ˈi	0.268
ˈøː	ˈu	0.268
ˈøː	ˈiː	0.177
ˈøː	ˈø	0.105
ˈøː	ˈæː	0.069
ˈœ	ˈɒ	0.295
ˈœ	ˈʊː	0.295
ˈœ	ˈu	0.19
ˈœ	ˈi	0.074
ˈœ	ˈøː	0.074
ˈɒ	ˈɒː	0.398
ˈɒ	ˈɒ	0.367
ˈɒ	ˈəi̯	0.103
ˈɒ	ˈiː	0.103
ˈɒː	ˈɒ	0.768
ˈɒː	ˈəi̯	0.134
ˈɒː	ˈɒː	0.061
ˈɔ	ˈo	1.0
ˈɔi̯	ˈəi̯	0.251
ˈɔu̯	ˈɒ	0.209
ˈɔu̯	ˈʊː	0.209
ˈɔu̯	ˈəi̯	0.209
ˈɔu̯	ˈoː	0.209
ˈɔu̯	-	0.138
ˈɔː	ˈɒ	0.159
ˈɔː	ˈi	0.151
ˈɔː	ˈæː	0.117
ˈɔː	ˈɒː	0.117
ˈɔː	ˈu	0.117
ˈɛ	ˈiː	0.699
ˈɛ	ˈi	0.133
ˈɛ	ˈæ	0.048
ˈɛi̯	ˈɒː	0.438
ˈɛi̯	ˈoː	0.158
ˈɛi̯	j	0.158
ˈɛi̯	ˈei̯	0.109
ˈɛi̯	ˈæː	0.06
ˈɛː	ˈe	0.279
ˈɛː	ˈoː	0.212
ˈɛː	ˈəi̯	0.16
ˈɛː	ˈaː	0.16
ˈɛː	ˈɛ	0.078
ˈʊ	ˈu	0.357
ˈʊ	ˈo	0.151
ˈʊ	ʋ_ˈo	0.114
ˈʊ	ˈɒ	0.106
ˈʊ	ˈɒː	0.087
ˈʏ	w	0.574
ˈʏ	ˈi	0.288
