North Frisian	Alsatian	probability
b	b̥	0.911
b	-	0.089
d	t	0.49
d	d̥	0.38
dʲ	t	1.0
f	f	0.91
f	-	0.09
h	h	0.973
i	i	0.838
i	-	0.162
j	-	0.22
j	k	0.216
j	ˈiː	0.206
j	ɡ̊	0.195
j	v	0.093
k	ʃ	0.352
k	kʰ	0.303
k	k	0.163
k	x	0.08
k	i_ʃ	0.052
k	ɡ̊	0.051
l	l	0.966
lʲ	l	0.74
lʲ	ʁ	0.26
m	m	0.94
m	-	0.06
n	n	0.918
nʲ	n	1.0
p	f	0.821
p	p	0.118
p	p͡f	0.061
r	ʁ	0.973
s	s	0.591
s	ʃ	0.277
t	ʦ	0.438
t	t	0.291
t	s	0.139
t	d̥	0.132
tʲ	s	0.813
tʲ	d̥	0.187
v	ʋ	0.619
v	-	0.201
v	f	0.08
v	b̥	0.073
w	x	0.395
w	-	0.211
w	k	0.202
w	ʋ	0.1
w	j	0.091
x	ʃ	0.526
x	x	0.474
z	s	0.94
z	d̥	0.06
ŋ	ŋ	0.969
ə	ə	0.85
ə	-	0.14
ɛi̯	eː	1.0
ɡ	ɡ̊	1.0
ʃ	ʃ	0.834
ʃ	kʰ	0.155
ˈa	-	0.469
ˈa	ˈi	0.179
ˈa	ˈe	0.121
ˈa	ˈu	0.106
ˈa	ˈeː	0.051
ˈai̯	ˈi	0.573
ˈai̯	ˈeː	0.278
ˈai̯	ˈei̯	0.148
ˈaː	ˈu	0.702
ˈaː	ˈoː	0.221
ˈaː	ˈi	0.077
ˈeː	ˈe	0.314
ˈeː	ˈæ	0.204
ˈeː	ˈɒ	0.121
ˈeː	ˈu	0.099
ˈeː	ˈɒː	0.081
ˈeː	ˈoː	0.08
ˈeː	ˈaː	0.061
ˈi	ˈi	0.576
ˈi	ˈiː	0.199
ˈi	ˈæː	0.137
ˈiː	ˈəi̯	0.246
ˈiː	ˈeː	0.184
ˈiː	ˈiː	0.175
ˈiː	ˈi	0.125
ˈiː	ˈei̯	0.12
ˈiː	ˈai̯	0.061
ˈu	ˈu	0.5
ˈu	ˈi	0.5
ˈuː	ˈʊː	0.348
ˈuː	ˈɒ	0.182
ˈuː	ˈoː	0.181
ˈuː	w	0.124
ˈuː	ˈo	0.074
ˈyː	ˈyː	0.294
ˈyː	ˈoː	0.258
ˈyː	ˈi	0.156
ˈyː	ˈu	0.127
ˈyː	ˈiː	0.1
ˈyː	ˈɒ	0.052
ˈøː	ˈu	0.241
ˈøː	ˈø	0.241
ˈøː	ˈyː	0.187
ˈøː	-	0.162
ˈøː	ˈi	0.152
ˈœ	ˈɒ	0.43
ˈœ	ˈu	0.182
ˈœ	ˈʊː	0.174
ˈœ	ˈiː	0.116
ˈœ	ˈi	0.067
ˈœi̯	ˈʊː	1.0
ˈɒ	ˈɒ	0.398
ˈɒ	ˈɒː	0.225
ˈɒ	ˈe	0.166
ˈɒ	-	0.145
ˈɒ	ˈəi̯	0.066
ˈɒː	ˈɒ	0.769
ˈɒː	ˈɒː	0.12
ˈɒː	ˈəi̯	0.111
ˈɔ	ˈo	0.684
ˈɔ	ˈe	0.316
ˈɔi̯	ˈəi̯	1.0
ˈɔu̯	ˈoː	0.511
ˈɔu̯	-	0.144
ˈɔu̯	ˈɒ	0.105
ˈɔu̯	ˈo	0.096
ˈɔu̯	ˈəi̯	0.079
ˈɔu̯	ˈʊː	0.066
ˈɔː	ˈɒ	0.356
ˈɔː	ˈe	0.109
ˈɔː	ˈaː	0.099
ˈɔː	ˈæː	0.099
ˈɔː	ˈi	0.087
ˈɔː	ˈu	0.075
ˈɔː	ˈɒː	0.06
ˈɔː	ˈoː	0.059
ˈɔː	ˈo	0.057
ˈɛ	ˈi	0.357
ˈɛ	ˈiː	0.266
ˈɛ	ˈæ	0.202
ˈɛ	ˈʊː	0.175
ˈɛi̯	ˈɒː	0.3
ˈɛi̯	ˈæː	0.219
ˈɛi̯	ˈiː	0.198
ˈɛi̯	ˈei̯	0.146
ˈɛi̯	ˈoː	0.098
ˈɛː	ˈoː	0.308
ˈɛː	ˈaː	0.246
ˈɛː	ˈe	0.166
ˈɛː	ˈæ	0.13
ˈɛː	ˈɛ	0.106
ˈʊ	ˈu	0.486
ˈʊ	ˈɒ	0.167
ˈʊ	ˈi	0.084
ˈʊ	ʋ_ˈo	0.067
ˈʊ	w	0.064
ˈʊ	ˈo	0.056
ˈʏ	ˈi	0.39
ˈʏ	ˈu	0.244
ˈʏ	w	0.225
ˈʏ	ˈyː	0.141
