Hessian	Hessian	probability
ˈɛ̃ː	ˈɑː_n	1.0
ˈɛː	ˈe	1.0
ˈɛ	ˈe	1.0
ˈɔ	ˈu	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈɑː_s	ˈɑ_s	1.0
ˈæː	-	1.0
ˈæ	ˈe	1.0
ˈõː	n_u	1.0
ˈoĩ̯	w_u	1.0
ˈo	ˈu	1.0
ˈĩː	ˈɔː_n	1.0
ˈeː_s	iː	1.0
ˈeː	ˈɑi̯_w	1.0
ˈãː	ˈɑi̯_n	1.0
ˈau̯	ˈuː	1.0
ˈa_n	ɑi̯	1.0
ˈa	ˈɑ	1.0
ʤ̥	-	1.0
ʃ_t	x_t	1.0
ʃ_d̥	s_t	1.0
ʀ	r	1.0
ɛː	e_x	1.0
ɑ	ɔː_θ	1.0
ɐ_n	r_n	1.0
ŋ	ŋ	1.0
z̥	t	1.0
v̥	p	1.0
pʰ	p	1.0
p	b	1.0
oː	ˈɑu̯	1.0
kʰ	k_ˈu	1.0
k_ʀ	ɣ_r	1.0
k_s	x_s	1.0
j	j	1.0
i	ɑ	1.0
h	x	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_v	<#_w	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
m	m	0.963
ˈɑ	ˈɑ	0.875
ɐ	r	0.818
ˈuː	ˈɔː	0.778
f	ɸ	0.774
s	s	0.771
l	l	0.757
ˈe	ˈɑ	0.75
ˈu	ˈu	0.733
ˈiː	ˈeu̯	0.727
ə	ɑ_n	0.721
ɣ̊	ɣ	0.714
b̥	b	0.706
ʦ	t	0.667
ɡ̊	k	0.667
<#_d̥	<#_θ	0.632
<#	<#_x	0.625
n	n	0.613
ˈai̯	ˈiː	0.6
ʒ̊	ɣ	0.6
ˈi	ˈi	0.568
k	ɣ_j	0.5
k	k	0.5
ˈaː	ˈɑu̯	0.467
ˈoː	ˈu	0.455
ˈɑː	ˈɑ	0.429
ˈoi̯	ˈiu̯	0.429
v	β	0.421
d̥	ð	0.414
ˈaː	ˈɑi̯	0.4
ʒ̊	ɑ	0.4
ʃ	s_k	0.4
<#	<#_ˈɑ	0.375
#>	ɑ̃_#>	0.371
v	w	0.368
<#_d̥	<#_d	0.368
ˈoː	ˈɑu̯	0.364
ʦ	-	0.333
ɡ̊	kː	0.333
x	ɣ_ɑ	0.333
x	x	0.333
x	k	0.333
d̥	θ	0.31
b̥	β	0.294
ˈɑː	ˈɛː	0.286
ˈoi̯	ˈɔː	0.286
ˈoi̯	-	0.286
ɣ̊	j	0.286
ˈiː	-	0.273
æ̆	r_ɑ	0.273
#>	z_#>	0.269
ˈu	ˈɔː	0.267
#>	ɑ_z_#>	0.253
ˈe	-	0.25
f	p	0.226
ˈuː	ˈuː	0.222
t	t	0.222
t	d	0.222
ˈi	ˈu	0.216
ˈai̯	ˈi	0.2
ʃ	k	0.2
n	nː	0.194
ˈoː	ˈɛː	0.182
ɐ	-	0.182
æ̆	ɛː	0.182
t	θ	0.167
t	ð	0.167
ˈi	ˈe	0.162
ʃ	ɣ_ɑ	0.16
ʃ	s	0.16
ˈɑː	ˈɛː_r	0.143
ˈɑː	ˈɑ_r	0.143
s	t	0.143
ə	n	0.14
d̥	d	0.138
ˈaː	l_d	0.133
n	n_d	0.129
ˈɑ	ˈɑ_r	0.125
t	t_i	0.111
t	s	0.111
l	l_ɑ	0.108
v	xʷ	0.105
v	n	0.105
ˈai̯	ˈĩː	0.1
ˈai̯	jː	0.1
æ̆	ɑ	0.091
æ̆	r_ɔː	0.091
æ̆	r_ɑ̃	0.091
æ̆	r_i	0.091
æ̆	r	0.091
æ̆	e	0.091
s	t_s	0.086
l	lː	0.081
ʃ	ɑ	0.08
ə	ɔːː	0.07
ə	ɑ	0.07
d̥	t	0.069
d̥	d_u	0.069
n	n_θ	0.065
ˈi	ˈeu̯	0.054
l	ɑ	0.054
