Danish	Danish	probability
ˈʌˀ_j	x	1.0
ˈɶˀ	ˈæ	1.0
ˈɶ	ˈɔ	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoː	1.0
ˈɔ	ˈu	1.0
ˈɒˀ	ˈɑː	1.0
ˈɑ	-	1.0
ˈœˀ_n	ˈĩː	1.0
ˈœ_n	ˈõː	1.0
ˈøː	-	1.0
ˈøˀ	oː	1.0
ˈø	ˈi	1.0
ˈæˀ	ˈɑː_ɣ̊	1.0
ˈæ	ˈæ	1.0
ˈy	ˈi	1.0
ˈuː	-	1.0
ˈo	ˈɔ	1.0
ˈiː	-	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈeˀ_n	ˈãː	1.0
ˈaː	ˈa	1.0
ʨ	d̥	1.0
ʌ	æ̆	1.0
ʁ_ˈɑ	ʀ	1.0
ʁ	ʀ	1.0
ɡ̊_ə	ə	1.0
ɐˀ	ɐ	1.0
ŋˀ	ŋ	1.0
w_#>	b̥_#>	1.0
s_ɡ̊	ʃ	1.0
s_d̥	ʃ_d̥	1.0
pʰ	f	1.0
mˀ	-	1.0
m	m	1.0
lˀ	l	1.0
l	l	1.0
h	h	1.0
f	f	1.0
b̥_j	b̥	1.0
b̥_#>	f_#>	1.0
<#_ˈʌ	<#_ˈu	1.0
<#_n	<#_n	1.0
ʋ	v	0.875
ˈe	ˈi	0.867
ˈɔˀ	ˈɑː	0.8
ˈeˀ	-	0.778
s	s	0.757
n	n	0.75
<#	<#_v	0.75
ˈu	ˈo	0.714
ˈyː	ˈiː	0.667
kʰ	kʰ	0.667
ə	ə	0.617
ˈʌ	-	0.6
ˈɑˀ	ˈɑː	0.6
ˈœ	-	0.556
ˈuˀ	ˈau̯	0.556
ˈoˀ	ˈuː	0.545
ɡ̊	ɡ̊	0.542
ŋ	ŋ	0.5
ŋ	-	0.5
w	v	0.5
n_ə	n_d̥	0.5
n_ə	n	0.5
ˈoˀ	-	0.455
b̥	p	0.45
b̥	b̥	0.45
ˈœ	ˈi	0.444
ˈuˀ	-	0.444
ɐ	ɐ	0.44
ˈiˀ	ˈai̯	0.429
ˈa	ˈɑ	0.429
ʦʰ	d̥	0.421
ˈɑˀ	-	0.4
ð̞ˠ	d̥	0.4
ˈyˀ	ˈoi̯	0.375
ˈyˀ	ˈiː	0.375
d̥	d̥	0.357
ˈɛ	ˈɛ	0.353
ˈɛ	-	0.353
ˈœˀ	ˈoː	0.333
ˈœˀ	ˈaː	0.333
ˈœˀ	-	0.333
ˈyː	-	0.333
d̥	t	0.321
ɐ	æ̆	0.32
nˀ	n_d̥	0.308
nˀ	n	0.308
j	ʃ	0.3
j	h	0.3
ə	-	0.298
ɡ̊	k	0.292
ˈu	ˈu	0.286
ˈiˀ	-	0.286
ˈa	ˈa	0.286
ð̞ˠ	s	0.28
ʦʰ	ʦ	0.263
ˈyˀ	-	0.25
<#	<#_j	0.25
#>	ʃ_#>	0.24
#>	ə_#>	0.24
nˀ	-	0.231
ˈeˀ	ˈaː	0.222
w	x	0.214
ʦʰ	t	0.211
ˈʌ	ˈo	0.2
ˈʌ	ˈaː	0.2
ˈɔˀ	ˈɛ̃ː	0.2
n	-	0.2
j	ˈi	0.2
j	-	0.2
#>	d̥_#>	0.2
d̥	ʦ	0.179
ˈɛ	ˈa	0.176
kʰ	kʰ_ˈe	0.167
kʰ	k	0.167
ɐ	d̥_æ̆	0.16
nˀ	ˈɑ_n	0.154
ˈiˀ	ˈɑ̃i̯	0.143
ˈiˀ	ˈoĩ̯	0.143
ˈa	ˈɑː	0.143
ˈa	-	0.143
w	ʒ̊	0.143
w	-	0.143
s	ʃ	0.135
ˈe	-	0.133
ʋ	f	0.125
ð̞ˠ	z̥	0.12
ð̞ˠ	t	0.12
#>	f_#>	0.12
#>	b̥_#>	0.12
ˈɛ	ˈæ	0.118
s	-	0.108
ʦʰ	ʦ_v	0.105
b̥	v̥	0.1
ɡ̊	ʃ	0.083
ɡ̊	-	0.083
ɐ	-	0.08
ð̞ˠ	-	0.08
#>	ɐ_#>	0.08
d̥	ʃ_t	0.071
d̥	-	0.071
ə	n	0.064
