Danish	Danish	probability
ˈʌˀ	ˈɑu̯	1.0
ˈɛː	ˈɑ	1.0
ˈɔː	ˈɛː	1.0
ˈɒː_s	sː	1.0
ˈɒˀ	ˈɛː_r	1.0
ˈɑː	ˈɑ	1.0
ˈœː	ˈɑ	1.0
ˈøˀ	ˈɑu̯	1.0
ˈø_ŋ	ɡʷ	1.0
ˈø_m	mː	1.0
ˈæˀ	ˈɑ	1.0
ˈyː	ˈeu̯	1.0
ˈoː	-	1.0
ˈi	ˈi	1.0
ˈeː	ˈɑ	1.0
ˈeˀ_ɡ̊	jː	1.0
ˈeˀ_#>	ɑ_n_ɑ̃_#>	1.0
ʨ	θ	1.0
ʦʰ	θ	1.0
ʋ_#>	ɑ_z_#>	1.0
ʁ_ˈɛ	r_ˈi	1.0
ʁ	r	1.0
ɡ̊_d̥	x_t	1.0
ɕ	s_ˈɑi̯	1.0
ŋˀ	ɡ	1.0
ŋ	ɡ	1.0
pʰ	p	1.0
mˀ	m	1.0
m_ˈe	m_ˈɑ	1.0
m	m	1.0
l	l	1.0
kʰ	kʷ	1.0
jˀ	ɣ	1.0
i	-	1.0
h	x	1.0
f	ɸ	1.0
e	-	1.0
<#_ˈɔ	<#_ˈu	1.0
<#_ˈæ	<#_ˈɑ	1.0
<#_ʦʰ	<#_t	1.0
<#_ʁ	<#_r	1.0
<#_ɡ̊	<#_ɣ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_d̥	<#_d	1.0
s	s	0.935
ˈæ	ˈɑ	0.857
ˈu	ˈu	0.846
ə_#>	n_ɑ̃_#>	0.833
ɐˀ	r	0.818
ˈœ	ˈu	0.778
ɡ̊	k	0.773
ˈuˀ	ˈuː	0.75
ˈo	ˈu	0.75
ˈeˀ	ˈɑi̯	0.75
ʋ	w	0.75
b̥	b	0.697
ˈoˀ	ˈɔː	0.692
d̥	t	0.682
ˈɑˀ	ˈɑ_r	0.667
ˈœˀ	ˈɑu̯	0.667
ˈøː	ˈɑu̯	0.667
ˈø	ˈu	0.667
ˈiˀ	ˈiː	0.636
ˈe	ˈi	0.562
ˈyˀ	ˈeu̯	0.556
w	β	0.529
n	n	0.514
ˈy	ˈu	0.5
ˈy	-	0.5
ˈuː	ˈuː	0.5
ˈuː	-	0.5
ˈiː	ˈiː	0.5
ˈiː	-	0.5
n_#>	z_#>	0.5
n_#>	#>	0.5
<#	<#_w	0.5
ˈɛ	ˈe	0.455
lˀ	l	0.455
nˀ	n_d	0.429
ə	ɑ_n	0.404
ˈʌ	ˈɑ	0.4
ˈɛˀ	ˈe	0.4
ˈɛˀ	-	0.4
j	ˈe	0.391
ɐ	r	0.375
ˈiˀ	ˈi	0.364
w	ɣ_ɑ	0.353
#>	ɑ̃_#>	0.346
ˈɑˀ	-	0.333
ˈɑ	ˈɑ	0.333
ˈœˀ	-	0.333
ˈøː	ˈɔː	0.333
ˈø	-	0.333
ˈʌ	ˈu	0.3
ˈʌ	-	0.3
ˈɔˀ	ˈɛː	0.3
ˈɔˀ	ˈɑ	0.3
#>	z_#>	0.296
nˀ	nː	0.286
<#	<#_x	0.286
ˈɛ	-	0.273
lˀ	lː	0.273
lˀ	l_β	0.273
b̥	p	0.273
ˈɑ	ˈɑ_ŋ	0.25
ˈɑ	ˈe	0.25
ˈuˀ	-	0.25
ˈo	-	0.25
ˈeˀ	-	0.25
ð̞ˠ	t_ɑ	0.237
#>	ɑ_z_#>	0.229
ɡ̊	ɣ_j	0.227
d̥	x_t	0.227
ˈœ	ˈe	0.222
ˈyˀ	ˈiu̯	0.222
ˈyˀ	-	0.222
<#	<#_ˈɑ	0.214
ð̞ˠ	ð	0.211
ˈɛˀ	ˈeː	0.2
ˈɔˀ	ˈɑː	0.2
ˈɔˀ	ˈɑi̯	0.2
ˈe	ˈɑ	0.188
ð̞ˠ	t	0.184
ˈɛ	ˈɑ	0.182
ɐˀ	r_ð	0.182
j	ɣ_ɑ	0.174
j	k	0.174
ˈɑ	ˈi	0.167
ə_#>	#>	0.167
ə	ɔ̃ː	0.158
ɐ	r_ɑ	0.156
ˈu	ˈu_ŋ	0.154
ˈoˀ	ˈuː_z	0.154
ˈoˀ	-	0.154
ʋ	xʷ	0.15
ˈæ	ˈɑ_m	0.143
nˀ	n_θ	0.143
nˀ	n	0.143
ə	ɔːː	0.14
n	n_ɑ	0.135
ð̞ˠ	θ	0.132
ˈe	ˈi_ŋ	0.125
ˈe	-	0.125
ɐ	ɛː	0.125
ɐ	r_i	0.125
w	k	0.118
n	n_d	0.108
ð̞ˠ	t_s	0.105
ʋ	w_ˈi	0.1
ɐ	i	0.094
ˈɛ	ˈĩː	0.091
d̥	-	0.091
ə	ɑ	0.088
j	ɣ	0.087
j	ɑ	0.087
j	x	0.087
n	nː	0.081
ð̞ˠ	ð_ɑ	0.079
ə	ɔː	0.07
ə	u	0.07
ɐ	s_ɔːː	0.062
ɐ	r_ɔː	0.062
n	n_θ	0.054
n	n_ˈu	0.054
n	n_i	0.054
ə	-	0.053
ð̞ˠ	ð_i	0.053
