Ripuarian	Ripuarian	probability
ˈʊ	ˈu	1.0
ˈɪ	ˈi	1.0
ˈɔː	ˈo_ɐ	1.0
ˈøʏ̯	ˈai̯	1.0
ˈu	ˈu	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈeː_n	ˈoɐ̯	1.0
ˈeɪ̯_#>	ˈai̯_#>	1.0
ˈeɪ̯	ˈoɐ̯	1.0
ʦ	ʦ	1.0
ʋ	ʋ	1.0
ʃ	ʃ	1.0
ʀ	r	1.0
ɪ	i	1.0
ɣ̊	ɡ̊	1.0
ɣ	ŋ	1.0
ɕ_#>	#>	1.0
z̥	s	1.0
z_ˈɪ	s	1.0
z	s	1.0
x	x	1.0
v_ə	m	1.0
v	β	1.0
t	d̥	1.0
s_ə	s_n	1.0
s_t	ʃ_d̥	1.0
s	s	1.0
n_#>	#>	1.0
m	m	1.0
j_ə	ŋ	1.0
h	h	1.0
f_ə	f_a	1.0
f	f	1.0
e_ŋ	eɐ̯	1.0
d_ə	d̥_n	1.0
d	d̥	1.0
b	b̥	1.0
<#_n	<#_n	1.0
<#_d	<#_d̥	1.0
<#	<#_ˈo	1.0
#>	a_#>	1.0
d̥	d̥	0.905
ɫ	j	0.889
l	l	0.852
<#_j	<#_ɡ̊	0.833
ˈɔ	ˈo	0.8
n	n	0.769
ɡ̊	d̥	0.75
ˈɛː	ˈe	0.714
ˈɛ	ˈe	0.706
ˈe	ˈi	0.688
ˈɔʊ̯	ˈau̯	0.667
ˈøː	-	0.667
ˈaː	ˈɒː	0.667
ɐ	a	0.667
v̥_#>	b̥_#>	0.667
p	b̥͡v̥	0.667
ˈo	ˈu	0.636
ˈʏ	ˈi	0.6
ˈiː	ˈai̯	0.6
k	kʰ	0.542
ŋ	n	0.522
ˈœ	ˈu	0.5
ˈœ	-	0.5
ˈyː	ˈeː	0.5
ˈyː	ˈai̯	0.5
ˈoː	ˈuɐ̯	0.429
ɕ	ɡ̊	0.429
ˈeː	ˈiɐ̯	0.412
ˈʏ	ˈai̯	0.4
ˈiː	-	0.4
ŋ	ŋ	0.391
k	ɡ̊	0.375
ˈuː	ˈou̯	0.357
ˈuː	ˈau̯	0.357
ə	a	0.357
ˈɔʊ̯	ˈaː	0.333
ˈøː	ˈiɐ̯	0.333
ˈaː	ˈɑː	0.333
ɐ	ɐ	0.333
v̥_#>	#>	0.333
p	b̥	0.333
ˈa	ˈo	0.304
ˈɛː	ˈeː	0.286
ˈuː	-	0.286
ɕ	x	0.286
ˈa	ˈɑ	0.261
ɡ̊	ɡ̊	0.25
ə	-	0.25
ˈeː	ˈoɐ̯	0.235
ˈeː	ˈeː	0.235
ə	n	0.214
ˈɔ	-	0.2
ˈoː	-	0.19
ˈe	-	0.188
ˈo	ˈo	0.182
ˈo	-	0.182
ˈɛ	ˈeː	0.176
ˈa	ˈa	0.174
<#_j	<#_j	0.167
n	ŋ	0.154
l	j	0.148
ˈoː	ˈɒː	0.143
ˈoː	ˈu	0.143
ɕ	ç	0.143
ɕ	x_d̥	0.143
ˈa	ˈɒː	0.13
ˈa	-	0.13
ˈe	ˈiː	0.125
ˈɛ	-	0.118
ˈeː	-	0.118
ɫ	-	0.111
ˈoː	ˈaː	0.095
d̥	ɐ_d̥	0.095
ŋ	n_d̥	0.087
k	ɡ̊_a	0.083
n	-	0.077
ə	m	0.071
ə	d̥_n	0.071
