Luxembourgish	Northern Low Saxon	probability
b	b	0.969
b	-	0.044
d	d	0.927
d	-	0.072
e	ɪ	0.5
f	f	0.803
f	b	0.173
f	-	0.033
h	h	1.0
j	ʒ	1.0
k	ɡ	0.422
k	-	0.257
k	ç	0.186
k	k	0.107
kʰ	kʰ	1.0
l	l	0.935
l	ɡ_l	0.043
m	m	0.979
m	z	0.039
m_ə	m	0.25
n	n	0.814
n	-	0.139
n	m	0.034
p	b	0.723
p	p	0.208
s	s	0.529
s	d	0.45
s	t	0.034
s_ə	d	1.0
t	d	0.691
t	t	0.163
t	-	0.142
tʰ	tʰ	1.0
v	v	0.847
v	-	0.144
w	v	1.0
z	z	0.863
z	s	0.127
ŋ	ŋ	0.761
ŋ	n	0.223
ŋ_ə	ŋ	0.5
ɐ	ɐ	0.824
ɐ	-	0.09
ɐ	ˈɔʏ̯	0.044
ɐ	ə	0.04
ɕ	ɡ	0.35
ɕ	x	0.241
ɕ	ç	0.235
ɕ	-	0.155
ɕ_t	ç	1.0
ə	-	0.806
ə	ɪ	0.093
ə	i	0.042
ə	m	0.038
ə	ŋ	0.037
ə_n	m	1.0
ə_ʀ	ɐ	1.0
ɡ	ɡ	0.907
ɡ	-	0.067
ɡ	j	0.041
ʀ	r	0.886
ʀ	-	0.061
ʀ	ɐ_n	0.054
ʃ	ʃ	0.816
ʃ	s	0.157
ʃ	x	0.037
ʃ_t	s	1.0
ʑ	ɡ	0.25
ʦ	tʰ	0.59
ʦ	d	0.406
ˈaː	ˈa	0.458
ˈaː	ˈaʊ̯	0.302
ˈaː	ˈaː	0.109
ˈaː	ˈoː	0.069
ˈaː	ˈuː	0.045
ˈe	ˈɪ	0.365
ˈe	ˈʏ	0.264
ˈe	ˈeː	0.151
ˈe	ˈaɪ̯	0.1
ˈe	ˈɔʏ̯	0.074
ˈeː	ˈaɪ̯	0.431
ˈeː	ˈeɪ̯	0.209
ˈeː	ˈɪ	0.093
ˈeː	ˈɛ	0.081
ˈeː	ˈœː	0.066
ˈi	ˈɔʏ̯	0.351
ˈi	ˈeː	0.202
ˈi	ˈeɪ̯	0.202
ˈi	ˈaɪ̯	0.096
ˈi	ˈøː	0.092
ˈiə̯	ˈeː	0.441
ˈiə̯	ˈɛ	0.275
ˈiə̯	ˈœ	0.11
ˈiː	ˈɪ	0.286
ˈiː	r	0.189
ˈiː	ˈoː	0.189
ˈiː	ˈɛ	0.124
ˈiː	ˈøː	0.09
ˈiː_ɐ	ˈaː	1.0
ˈo	ˈʊ	0.725
ˈo	ˈɔ	0.194
ˈo	ɐ	0.067
ˈoː	ˈoː	0.91
ˈoː	ˈɛ	0.078
ˈu	ˈaʊ̯	0.372
ˈu	ˈoː	0.299
ˈu	ˈʏ	0.172
ˈu	ˈuː	0.078
ˈu	ˈɛ	0.056
ˈuə̯	ˈa	0.427
ˈuə̯	ˈoː	0.427
ˈuə̯	ˈøː	0.095
ˈuː	ˈɔ	0.488
ˈuː	ˈaʊ̯	0.28
ˈuː	ˈɔː	0.175
ˈæ	ˈa	0.758
ˈæ	ˈaʊ̯	0.095
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.611
ˈæːɪ̯	ˈɪ	0.148
ˈæːɪ̯	ˈyː	0.109
ˈæːɪ̯	ˈaɪ̯	0.098
ˈæːʊ̯	ˈuː	0.872
ˈæːʊ̯	ˈøː	0.113
ˈɑ	ˈɪ	0.395
ˈɑ	ˈa	0.355
ˈɑ	ˈɔ	0.123
ˈɑ	ˈaː	0.053
ˈɑ	ˈeː	0.051
ˈɑɪ̯	ˈyː	0.395
ˈɑɪ̯	ˈiː	0.232
ˈɑɪ̯	ˈuː	0.118
ˈɑɪ̯	ˈʊ	0.114
ˈɔ	ˈʊ	0.683
ˈɔ	ˈuː	0.225
ˈə	ˈɪ	0.42
ˈə	ˈʏ	0.251
ˈə	ˈiː	0.107
ˈə	ˈœː	0.081
ˈə	ˈɛ	0.081
ˈəɪ̯	ˈaɪ̯	0.381
ˈəɪ̯	ˈɔʏ̯	0.27
ˈəɪ̯	ˈoː	0.12
ˈəɪ̯	ˈeɪ̯	0.069
ˈəɪ̯	ˈeː	0.06
ˈəɪ̯_ə	ˈaɪ̯	0.5
ˈəʊ̯	ˈaʊ̯	0.846
ˈəʊ̯	ˈoː	0.153
ˈɛ	ˈeː	0.201
ˈɛ	ˈɛ	0.201
ˈɛ	ˈø	0.185
ˈɛ	ˈɪ	0.185
ˈɛː	ˈa	0.322
ˈɛː	ˈeː	0.201
ˈɛː	ˈɛɪ̯	0.185
ˈɛː	ˈaɪ̯	0.115
ˈʊ	ˈaʊ̯	0.53
ˈʊ	ˈʊ	0.19
ˈʊ	ˈuː	0.175
ˈʊɪ̯	ˈɔ	0.125
χ	x	0.605
χ	ɡ	0.359
