Luxembourgish	Northern Low Saxon	probability
b	b	0.984
d	d	0.94
d	l	0.06
e	ɪ	1.0
f	f	0.739
f	b	0.197
h	h	1.0
j	ʒ	1.0
k	ɡ	0.471
k	ç	0.322
k	k	0.105
k	-	0.102
kʰ	kʰ	1.0
l	l	0.972
m	m	0.931
m	-	0.069
n	n	0.884
p	b	0.79
p	p	0.21
s	d	0.514
s	s	0.442
t	d	0.854
t	t	0.146
tʰ	tʰ	1.0
v	v	1.0
w	v	1.0
z	z	0.847
z	s	0.153
ŋ	ŋ	0.762
ŋ	n	0.238
ɐ	ɐ	0.75
ɐ	-	0.135
ɐ	ˈɔʏ̯	0.085
ɕ	ç	0.449
ɕ	ɡ	0.422
ɕ	x	0.129
ə	-	0.836
ə	m	0.109
ɡ	ɡ	0.913
ɡ	j	0.067
ʀ	r	0.917
ʀ	ɐ_n	0.052
ʃ	ʃ	0.73
ʃ	s	0.262
ʑ	ɡ	1.0
ʦ	tʰ	0.632
ʦ	d	0.368
ˈaː	ˈa	0.404
ˈaː	ˈaʊ̯	0.356
ˈaː	ˈaː	0.147
ˈaː	ˈoː	0.062
ˈe	ˈɪ	0.35
ˈe	ˈeː	0.278
ˈe	ˈaɪ̯	0.151
ˈe	ˈʏ	0.118
ˈe	ˈɔʏ̯	0.103
ˈeː	ˈaɪ̯	0.487
ˈeː	ˈeɪ̯	0.246
ˈeː	ˈɔʏ̯	0.075
ˈeː	ˈɪ	0.075
ˈeː	ˈɛ	0.051
ˈi	ˈɔʏ̯	0.355
ˈi	ˈeː	0.349
ˈi	ˈaɪ̯	0.13
ˈi	ˈeɪ̯	0.123
ˈiə̯	ˈeː	0.487
ˈiə̯	ˈɛ	0.367
ˈiə̯	ˈœ	0.146
ˈiː	ˈɪ	0.24
ˈiː	ˈaː	0.207
ˈiː	r	0.157
ˈiː	ˈoː	0.157
ˈiː	ˈɛ	0.084
ˈiː	ˈiː	0.066
ˈiː	ˈøː	0.058
ˈo	ˈʊ	0.79
ˈo	ˈɔ	0.14
ˈo	ɐ	0.07
ˈoː	ˈoː	0.928
ˈoː	ˈɛ	0.072
ˈu	ˈaʊ̯	0.347
ˈu	ˈoː	0.311
ˈu	ˈʏ	0.244
ˈu	ˈɛ	0.065
ˈuə̯	ˈa	0.492
ˈuə̯	ˈoː	0.408
ˈuə̯	ˈøː	0.1
ˈuː	ˈɔ	0.475
ˈuː	ˈaʊ̯	0.33
ˈuː	ˈɔː	0.195
ˈæ	ˈa	0.771
ˈæ	ˈaʊ̯	0.229
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.673
ˈæːɪ̯	ˈɪ	0.145
ˈæːɪ̯	ˈyː	0.097
ˈæːɪ̯	ˈaɪ̯	0.085
ˈæːʊ̯	ˈuː	0.929
ˈæːʊ̯	ˈøː	0.071
ˈɑ	ˈɪ	0.476
ˈɑ	ˈa	0.396
ˈɑ	ˈeː	0.059
ˈɑɪ̯	ˈyː	0.512
ˈɑɪ̯	ˈiː	0.299
ˈɑɪ̯	ˈuː	0.095
ˈɑɪ̯	ˈʊ	0.095
ˈɔ	ˈʊ	0.889
ˈɔ	ˈuː	0.111
ˈə	ˈʏ	0.358
ˈə	ˈɪ	0.323
ˈə	ˈœː	0.139
ˈə	ˈiː	0.095
ˈə	ˈɛ	0.052
ˈəɪ̯	ˈaɪ̯	0.417
ˈəɪ̯	ˈɔʏ̯	0.267
ˈəɪ̯	ˈoː	0.154
ˈəʊ̯	ˈaʊ̯	0.723
ˈəʊ̯	ˈoː	0.277
ˈɛ	ˈeː	0.287
ˈɛ	ˈø	0.251
ˈɛ	ˈɪ	0.251
ˈɛ	ˈɛ	0.21
ˈɛː	ˈa	0.411
ˈɛː	ˈɛɪ̯	0.241
ˈɛː	ˈeː	0.232
ˈɛː	ˈaɪ̯	0.117
ˈʊ	ˈaʊ̯	0.5
ˈʊ	ˈʊ	0.335
ˈʊ	ˈuː	0.165
ˈʊɪ̯	ˈɔ	1.0
χ	x	0.665
χ	ɡ	0.335
