Latin	Franco-Provençal	probability
a	a	0.526
a	ĩ	0.068
a	ˈĩ	0.068
a	ˈɔ	0.057
ae̯	ɛ	0.332
ae̯	ˈɛ	0.332
ae̯	ə	0.219
ae̯	-	0.118
au̯	o	0.484
au̯	e	0.258
au̯	oː	0.258
aː	-	0.489
aː	a	0.306
aː	ˈɑ̃	0.108
aː	ˈø	0.067
ãː	a	0.55
ãː	-	0.297
ãː	ə	0.077
ãː	i	0.052
b	b	0.587
b	-	0.219
b	v	0.153
d	d	0.408
d	-	0.358
d	ʒ	0.108
e	-	0.545
e	ə	0.224
e	eː	0.11
e	i	0.08
eː	-	0.734
eː	j	0.138
eː	ˈeː	0.128
f	f	0.99
h	-	1.0
i	-	0.42
i	j	0.334
i	ə	0.242
iː	i	0.409
iː	ˈɛ̃	0.235
iː	ĩ	0.224
iː	-	0.132
j	ʒ	0.465
j	w	0.267
j	ð	0.267
k	-	0.411
k	ʃ	0.312
k	s	0.106
k	k	0.08
k	z	0.063
kʷ	s	0.343
kʷ	k	0.334
kʷ	v	0.254
kʷ	-	0.05
kː	t	0.762
kː	ʃ	0.238
l	l	0.538
l	w	0.372
l	j	0.087
lʲ	ʎ	0.799
lʲ	-	0.149
lʲ	l	0.052
lʲː	l	0.923
lʲː	-	0.077
m	m	0.621
m	-	0.379
mː	m	1.0
n	n	0.483
n	-	0.36
n	ɲ	0.111
nː	m	0.86
nː	ˈɑ̃	0.14
o	u	1.0
oː	o	0.396
oː	-	0.272
oː	ɔ	0.185
oː	ˈe	0.064
oː	ˈɛ	0.054
p	p	0.609
p	v	0.219
p	-	0.142
r	ʁ	0.572
r	-	0.25
r	ð	0.155
rː	ð	0.767
rː	ʁ	0.233
s	s	0.668
s	-	0.193
s	z	0.085
sː	s	0.465
sː	-	0.428
sː	ʃ	0.108
t	-	0.587
t	t	0.232
tː	t	0.543
tː	-	0.457
u	ˈo	1.0
uː	-	0.392
uː	u	0.293
uː	i	0.217
uː	a	0.097
w	v	0.636
w	-	0.291
w	f	0.073
ŋ	-	0.418
ŋ	ˈɑ̃	0.4
ŋ	ˈɛ̃	0.183
ɔ	-	0.381
ɔ	ɔ	0.23
ɔ	ɔ̃	0.175
ɔ	o	0.111
ɛ	ə	0.678
ɛ	-	0.149
ɛ	e	0.133
ɛ̃	o	1.0
ɛ̃ː	o	0.38
ɛ̃ː	ə	0.218
ɛ̃ː	ˈɛ	0.137
ɛ̃ː	ɔ̃	0.107
ɛ̃ː	a	0.095
ɛ̃ː	ˈe	0.064
ɡ	ð	0.39
ɡ	-	0.36
ɡ	ɡ	0.217
ɡʷ	-	0.5
ɡʷ	ɡ	0.5
ɪ	-	0.716
ɪ	o	0.128
ɪ	ɛ̃	0.096
ɪ	ˈeː	0.06
ɪ̃	-	1.0
ɫ	l	0.788
ɫ	-	0.169
ʊ	ˈø	0.276
ʊ	-	0.265
ʊ	o	0.163
ʊ	ˈe	0.153
ʊ	ʎ	0.07
ʊ	ˈa	0.053
ʊ̃ː	-	0.907
ʊ̃ː	o	0.087
ˈa	ˈa	0.221
ˈa	ˈɑ̃	0.176
ˈa	ˈɔ	0.153
ˈa	-	0.152
ˈa	ˈeː	0.084
ˈa	ˈoː	0.073
ˈa	j	0.062
ˈa	ˈɛ	0.055
ˈae̯	j	1.0
ˈau̯	ˈoː	0.304
ˈau̯	w	0.29
ˈau̯	ˈu	0.252
ˈau̯	ˈø	0.154
ˈaː	ˈa	0.307
ˈaː	ˈɛ	0.266
ˈaː	-	0.24
ˈaː	ˈɔ	0.055
ˈe	ˈi	1.0
ˈeː	ˈeː	0.322
ˈeː	-	0.236
ˈeː	ˈɛ	0.2
ˈeː	ˈi	0.132
ˈeː	ˈɛ̃	0.064
ˈi	w	0.895
ˈi	ˈi	0.105
ˈiː	ˈi	0.313
ˈiː	ˈe	0.262
ˈiː	ˈĩ	0.197
ˈiː	-	0.066
ˈiː	ˈɛ	0.061
ˈĩː	ˈi	1.0
ˈo	ˈoː	0.801
ˈo	-	0.199
ˈoe̯	ˈeː	1.0
ˈoː	ˈɔ̃	0.425
ˈoː	ˈø	0.177
ˈoː	ˈo	0.146
ˈoː	ˈɔ	0.071
ˈu	ˈeː	0.766
ˈu	ˈu	0.234
ˈuː	w	0.378
ˈuː	ˈu	0.273
ˈuː	ˈɔ̃	0.103
ˈuː	ˈo	0.085
ˈuː	ˈe	0.075
ˈuː	-	0.065
ˈɔ	ˈoː	0.254
ˈɔ	w	0.218
ˈɔ	ˈɔ̃	0.183
ˈɔ	ˈɔ	0.092
ˈɔ	ˈu	0.072
ˈɔ	ˈø	0.06
ˈɔ	ˈo	0.058
ˈɛ	ˈɛ	0.436
ˈɛ	ˈɛ̃	0.26
ˈɛ	ˈeː	0.107
ˈɛ	ˈi	0.068
ˈɛ̃ː	ˈi	1.0
ˈɪ	-	0.316
ˈɪ	ˈɛ	0.295
ˈɪ	ˈeː	0.213
ˈɪ	ˈi	0.127
ˈʊ	w	0.369
ˈʊ	ˈo	0.151
ˈʊ	ˈɔ	0.148
ˈʊ	ˈɔ̃	0.127
ˈʊ	ˈoː	0.066
