Saterland Frisian	Icelandic	probability
a	a	0.5
a	ˈoːu̯	0.5
b	b̥	0.919
b	v	0.059
b	-	0.031
d	ð	0.346
d	d̥	0.323
d	θ	0.087
d	d̥_ʏ	0.08
d	-	0.071
d_ə	t	1.0
f	f	0.936
f	v_ʏ	0.059
h	h	0.859
h	ç	0.133
j	j	0.444
j	-	0.241
j	ɟ̊	0.062
j	ˈi	0.053
j	d̥	0.051
k	c	0.252
k	k	0.231
k	k_ʏ	0.191
k	kʰ	0.162
k	ɣ	0.039
l	l	0.596
l	l̥	0.28
l	ɡ̊_l	0.052
l	-	0.039
l	l̥_ʏ	0.028
l_ə	l	1.0
m	m	0.58
m	m_ʏ	0.346
m	p	0.042
m	-	0.039
n	n	0.589
n	n̥	0.167
n	-	0.128
n	nː	0.084
n	ŋ	0.026
p	p	0.415
p	v	0.22
p	v_ʏ	0.128
p	p_ʏ	0.098
p_ə	ʰp	1.0
r	r	0.574
r	r̥	0.349
r	-	0.043
r	r_a	0.024
r	ɪ	0.023
s	s	0.978
s	cʰ	0.026
t	t	0.471
t	-	0.138
t	tʰ	0.096
t	r̥	0.078
t	θ	0.056
t_v	tʰ	1.0
v	v	0.735
v	-	0.216
v	ç	0.044
w	v	0.594
w	m	0.392
x	ɡ̊_ʏ	0.171
x	ʰt_ʏ	0.149
x	r̥	0.117
x	ʰt	0.11
x	ɡ̊	0.088
z	s	0.618
z	r	0.149
z	v	0.141
ŋ	ŋ	0.874
ŋ	ɟ̊	0.103
ŋ_k	ʰk	0.467
ə	a	0.489
ə	-	0.204
ə	ɪ	0.091
ə	ʏ	0.08
ə	n̥	0.036
ə_l	l	1.0
ə_n	ʏ	1.0
ɣ	ɡ̊	0.369
ɣ	-	0.212
ɣ	ɟ̊	0.2
ɣ	ɣ	0.137
ɣ	p	0.059
ɪ	-	0.778
ɪ	u	0.158
ɫ	l̥	1.0
ˈa	ˈɛ	0.561
ˈa	ˈaːi̯	0.173
ˈa	ˈɑu̯	0.109
ˈaː	ˈaːi̯	0.297
ˈaː	ˈɛ	0.297
ˈaː	ˈɛi̯	0.173
ˈaː	ˈa	0.101
ˈaːi̯	ˈœ	0.308
ˈaːi̯	ˈɛː	0.308
ˈaːu̯	ˈœː	0.308
ˈaːu̯	ˈoːu̯	0.144
ˈeː	ˈɛːi̯	0.388
ˈeː	ˈɛː	0.149
ˈeː	j_ˈoːu̯	0.127
ˈeː	ˈɑːu̯	0.098
ˈeː	ˈou̯	0.071
ˈeːu̯	ˈɛː	1.0
ˈi	ˈiː	0.501
ˈi	ˈɛː	0.172
ˈi	j	0.146
ˈi	ˈɛ	0.084
ˈi	ˈɪː	0.084
ˈiː	ˈiː	0.366
ˈiː	ˈɪ	0.232
ˈiː	ˈa	0.146
ˈiː	ˈɑːu̯	0.127
ˈiː	ˈɪː	0.065
ˈiːu̯	ˈɪː	0.467
ˈoː	ˈœːy̯	0.286
ˈoː	ˈa	0.128
ˈoː	ˈaːu̯	0.07
ˈoː	ˈoːu̯	0.07
ˈoː	ˈɛː	0.07
ˈoːu̯	ˈoːu̯	0.249
ˈoːu̯	ˈa	0.165
ˈoːu̯	ˈɔ_r	0.132
ˈoːu̯	ˈɪ	0.104
ˈoːu̯	ˈou̯	0.06
ˈu	ˈʏ	0.354
ˈu	ˈiː	0.165
ˈuː	ˈuː	0.373
ˈuː	ˈʏ	0.181
ˈuː	ð_ɪ	0.126
ˈuː	ˈiː	0.1
ˈuː	ˈʏː	0.075
ˈyː	ˈai̯	0.165
ˈyː	ˈi	0.165
ˈœː	ˈou̯	0.467
ˈɔ	ˈa	0.247
ˈɔ	ˈai̯	0.121
ˈɔ	ˈœː	0.121
ˈɔ	ˈʏ	0.121
ˈɔ	ˈʏː	0.121
ˈɔː	ˈɑu̯	0.223
ˈɔː	ˈaː	0.179
ˈɔː	ˈœ	0.144
ˈɔː	ˈa	0.13
ˈɔː	ˈɛː	0.063
ˈɔːɪ̯	ˈɛ	0.218
ˈɛ	ˈɛ	0.425
ˈɛ	ˈaː	0.392
ˈɛ	ˈɑːu̯	0.167
ˈɛɪ̯	r	0.151
ˈɛɪ̯	ˈaːi̯	0.114
ˈɛɪ̯	ˈiː_r̥	0.097
ˈɛɪ̯	ˈai̯	0.075
ˈɛɪ̯	ˈoːu̯	0.075
ˈɛː	ˈaː	0.361
ˈɛː	ˈɪ	0.361
ˈɛː	ˈa	0.183
ˈɪ	ˈi	0.233
ˈɪ	ˈɛ	0.172
ˈɪ	ˈɪ	0.172
ˈɪ	ˈɪː	0.106
ˈɪ	ˈiː	0.076
ˈʊ	ˈu	0.255
ˈʊ	ˈʏ_t	0.164
ˈʊ	j_ˈoːu̯	0.143
ˈʊ	ˈɔ	0.094
ˈʊ	ˈɛ	0.094
