English	Old Norse	probability
b	b	0.926
b	tʰ	0.074
d	d	0.464
d	ð	0.383
d	-	0.078
f	f	0.74
f	v	0.192
h	h	0.913
h	ç	0.068
j	ɡ	0.425
j	ˈɑː	0.35
j	ˈyː	0.103
j	ˈeː	0.075
k	k	0.713
k	c	0.146
k	kː	0.098
kʰ	kʰ	0.763
kʰ	cʰ	0.237
l	l	0.882
l	l̥	0.052
m	m	0.797
m	-	0.098
m	n	0.072
n	n	0.724
n	nː	0.143
n	-	0.068
p	p	0.783
p	-	0.098
p	v	0.066
s	s	0.967
t	t	0.652
t	tː	0.309
tʰ	tʰ	0.955
v	v	0.694
v	-	0.178
v	mː	0.128
w	v	0.491
w	-	0.271
w	w	0.164
w	ç	0.052
z	s	0.941
z	v	0.059
ð	ð	0.892
ð	nː	0.056
ð	θ	0.052
ŋ	ŋ	1.0
ə	r	0.458
ə	i	0.232
ə	-	0.131
ə	rː	0.098
ə	r_i	0.063
əʊ̯	r	0.513
əʊ̯	-	0.244
əʊ̯	a	0.244
ɜː	ˈe	1.0
ɡ	ɡ	0.924
ɡ	ɟ	0.057
ɪ	ɑ	0.435
ɪ	i	0.288
ɪ	u	0.219
ɪ	ˈe	0.059
ɫ	l	0.738
ɫ	lː	0.188
ɫ	ɣ_l	0.074
ɹ	r	0.859
ɹ	-	0.091
ʃ	s	0.91
ʃ	f	0.09
ʤ	ɟː	0.614
ʤ	ɡː	0.386
ʧ	k	0.55
ʧ	cʰ	0.343
ʧ	cː	0.107
ˈaɪ̯	ˈiː	0.389
ˈaɪ̯	ˈɑː	0.138
ˈaɪ̯	ˈi	0.112
ˈaɪ̯	ˈeː	0.085
ˈaɪ̯	ˈu	0.081
ˈaɪ̯	ˈe	0.054
ˈaɪ̯	ˈuː	0.05
ˈaʊ̯	ˈuː	0.499
ˈaʊ̯	ˈu	0.326
ˈaʊ̯	ˈyː	0.114
ˈaʊ̯	ˈo	0.061
ˈe	ˈɛ	0.25
ˈe	ˈu	0.176
ˈe	ˈɑu̯	0.106
ˈe	u	0.104
ˈe	ˈɒu̯	0.09
ˈe	ˈe	0.063
ˈeɪ̯	ˈɑ	0.562
ˈeɪ̯	ˈe	0.282
ˈeɪ̯	ˈa	0.083
ˈeɪ̯	ˈɑː	0.073
ˈiː	ˈøː	0.159
ˈiː	ˈeː	0.134
ˈiː	ˈɑː	0.099
ˈiː	ˈɑu̯	0.083
ˈiː	ˈøy̯	0.082
ˈiː	j_ˈoː	0.067
ˈiː	ˈoː	0.064
ˈiː	ɑː	0.061
ˈiː	ˈi	0.058
ˈuː	r	0.378
ˈuː	ˈɑː	0.25
ˈuː	ˈoː	0.218
ˈuː	ˈɔː	0.107
ˈæ	ˈɑ	0.509
ˈæ	ˈa	0.238
ˈæ	ˈɛ	0.141
ˈæ	ˈɔ	0.112
ˈɐ	ˈu	0.556
ˈɐ	ˈo	0.174
ˈɐ	ˈoː	0.081
ˈɐ	ˈɛi̯	0.053
ˈɐ	ˈɑː	0.052
ˈɑː	ˈɑ	0.92
ˈɑː	ˈɛː	0.08
ˈɒ	ˈɑ	0.652
ˈɒ	ˈɛi̯	0.147
ˈɒ	ˈy	0.141
ˈɒ	ˈu	0.061
ˈɔː	ˈo	0.406
ˈɔː	ˈɑ	0.231
ˈɔː	ˈy	0.22
ˈɔː	ˈe	0.084
ˈɔː	ˈoː	0.058
ˈəʊ̯	ˈɛi̯	0.485
ˈəʊ̯	ˈɑ	0.151
ˈəʊ̯	ˈɑː	0.094
ˈəʊ̯	ˈy	0.065
ˈəʊ̯	ˈu	0.065
ˈəʊ̯	ˈɛː	0.06
ˈɛ	j	0.568
ˈɛ	ˈɑː	0.326
ˈɛ	ˈe	0.106
ˈɜː	ˈo	0.669
ˈɜː	ˈɔ	0.331
ˈɪ	ˈi	0.35
ˈɪ	ˈy	0.115
ˈɪ	j	0.092
ˈɪ	ˈiː	0.071
ˈɪ	-	0.053
ˈɪ	ˈo	0.052
ˈʊ	ˈoː	0.803
ˈʊ	ˈu	0.197
θ	θ	0.603
θ	ð	0.188
θ	nː	0.13
θ	r_ð	0.079
