Portuguese	Portuguese	probability
ˈɐ̃_w̃_#>	ˈa_#>	1.0
ˈɐ̃_w̃	ˈo	1.0
ˈɐ̃_#>	ˈa_n_ɐ_#>	1.0
ˈɐ_ɲ	ˈa_ɲ	1.0
ˈũ	ˈu	1.0
ˈu_ɾ	ˈu_r	1.0
ˈu	ˈu	1.0
ˈo_ɣ	ˈɒ_k	1.0
ˈo_ð	ˈo_t	1.0
ˈĩ	ˈi	1.0
ˈi_ɐ	ˈi_ɐ	1.0
ˈi_u	ˈi_w	1.0
ˈa	ˈa	1.0
ʎ_u_#>	ʎ_#>	1.0
ʎ	ʎ	1.0
ʃ_t	s_t	1.0
ʃ_p	s_p	1.0
ʃ_k	s_k	1.0
ʁ_u	r_o	1.0
ʁ	ɾ	1.0
ɾ_ɨ	ɾ_ɞ	1.0
ɾ_k	r_k	1.0
ɫ_#>	l_#>	1.0
ɫ	l	1.0
ɨ_#>	#>	1.0
ɣ_u	k	1.0
ɡ	ɡ	1.0
ɔ	o	1.0
ɐ̃_j̃	ɞ	1.0
ɐ_ð	a_ð	1.0
ð_ɨ	t	1.0
w_ɾ	r	1.0
v_ˈa	v_ˈa	1.0
v_ɨ	w	1.0
ũ	o	1.0
u_#>	#>	1.0
t_ɾ	t_ɾ	1.0
t	t	1.0
s_ɨ	s_e	1.0
s_u	w	1.0
p_u	s	1.0
p	p	1.0
õ	u_n	1.0
o	o	1.0
n_u_#>	#>	1.0
n	n	1.0
m_ɨ_#>	m_#>	1.0
k	k	1.0
j̃	-	1.0
j_u	ʧ	1.0
j_#>	j_#>	1.0
ĩ	i	1.0
i	i	1.0
f	f	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_i	<#_e	1.0
<#	<#_ʤ	1.0
m	m	0.968
ˈi	ˈi	0.885
ʒ	ʤ	0.867
d	d	0.842
ɣ	ɣ	0.833
s	s	0.818
ð	ð	0.769
β	β	0.75
ˈɔ	ˈɒ	0.696
l	ʎ	0.688
j	-	0.688
v	v	0.686
ˈẽ	ˈe_n	0.667
w	w	0.625
ˈɐ	ˈe	0.6
ˈõ	ˈɒ_n	0.6
ˈɛ	ˈe	0.591
ʃ_#>	s_#>	0.588
ˈɐ̃	ˈa	0.571
z	-	0.571
ɾ	r	0.568
ɐ̃	a	0.5
ɐ̃	-	0.5
ˈe	ˈæ	0.484
u	o	0.478
ɨ	e	0.462
ˈo	ˈɒ	0.452
ˈɐ̃	ˈa_n	0.429
z	z	0.429
ˈɛ	ˈæ	0.409
ɐ	ɐ	0.402
ˈɐ	ˈa	0.4
ˈõ	-	0.4
w	l	0.375
ɲ	ɲ	0.364
ˈɐ_j	ˈæ	0.333
ˈɐ_j	ˈi	0.333
ˈɐ_j	ˈe	0.333
ˈẽ	n	0.333
#>	l_#>	0.333
#>	e_#>	0.333
l	l	0.312
ˈo	ˈo	0.31
ɨ	i	0.308
ɾ	ɾ	0.307
ʃ_#>	w_#>	0.294
ɲ	n	0.273
β	p	0.25
ʃ	ʃ	0.25
ʃ	p_l	0.25
ɨ	-	0.231
ð	t	0.231
ɐ	ɜ	0.228
ˈe	ˈi	0.226
ˈe	ˈe	0.226
j	j	0.188
ɲ	ŋ_ɡ	0.182
ɲ	-	0.182
s	-	0.182
u	e	0.174
u	-	0.174
ɣ	ɡ	0.167
#>	w_#>	0.167
#>	s_#>	0.167
d	-	0.158
ɐ	ɞ	0.152
ʒ	-	0.133
ˈɔ	ˈo	0.13
ɐ	a	0.13
ʃ	s	0.125
ʃ	l	0.125
ʃ	k_l	0.125
ʃ	f_l	0.125
j	ˈi	0.125
ˈo	ˈu	0.119
ʃ_#>	#>	0.118
ˈi	-	0.115
v	w	0.114
v	-	0.114
ˈɔ	z_ˈa	0.087
ˈɔ	-	0.087
u	u	0.087
u	l	0.087
v	β	0.086
ˈo	ˈɒ_n	0.071
ˈe	ˈæ_w	0.065
ɾ	ɾ_ɜ	0.057
