Dutch	East Franconian	probability
χ_ˈɛ	ˈa	1.0
ˈɑu̯	ˈɒ_l	1.0
ˈøː	ˈoː	1.0
ˈyː	ˈaɪ̯	1.0
ˈoː_m	ˈʊ_m	1.0
ˈoː_d̥	ˈuː_d̥	1.0
ˈeː_t	ˈaː_s	1.0
ʋ	v	1.0
ɾ_ə	ɐ	1.0
ɾ_t	ɐ_ʦ	1.0
ɫ_ˈɪ	l_ˈiː	1.0
ɫ_ə	l	1.0
ɫ	l	1.0
ɦ	h	1.0
ə_ɾ	ɐ	1.0
ə_ɫ	l	1.0
ə_v̥	f_a	1.0
ə	-	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
w	-	1.0
v	f	1.0
t_ə	z̥	1.0
s_χ	ʃ	1.0
p_ə	v̥	1.0
n_z̥	n_s	1.0
n_d	n	1.0
n	n	1.0
m	m	1.0
j	j	1.0
i	eː	1.0
d̥	d̥	1.0
d_ɾ	d̥_r	1.0
b	b̥	1.0
ˈɛi̯	ˈaɪ̯	0.881
χ_ə	ŋ	0.877
s	ʃ	0.84
ˈɪ	ˈɪ	0.839
ˈi	ˈiː	0.821
d	d̥	0.815
z	s	0.802
ˈœy̯	ˈaʊ̯	0.786
ŋ	ŋ	0.765
d_ə	d̥	0.764
ˈu	ˈuː	0.723
ˈɑ	ˈɒ	0.696
ˈɔ	ˈʊ	0.647
ɾ	ɐ	0.639
ˈʏ	ˈɪ	0.63
v_ə	m	0.61
ˈɛ	ˈɛ	0.603
χ_t	ç_d̥	0.601
ˈaː	ˈoː	0.598
p	b̥͡v̥	0.592
χ	ɡ̊	0.558
ə_n	n	0.533
v̥	β	0.5
v̥	f	0.5
k	kʰ	0.489
ə_n	a	0.467
p	f	0.408
χ_t	x_d̥	0.399
v_ə	β	0.39
ˈʏ	ˈɛ	0.37
t	d̥	0.356
ˈɔ	ˈɔ	0.353
t	ʦ	0.343
ˈeː	ˈeː	0.326
ɾ	r	0.315
ˈoː	ˈaː	0.304
t	s	0.301
ˈeː	ˈaː	0.285
ˈu	ˈiː	0.277
ˈoː	ˈɔ	0.274
ˈoː	ˈuː	0.253
ˈɛ	-	0.237
d_ə	d̥_n	0.236
ŋ	ç	0.235
ˈœy̯	ˈaɪ̯	0.214
χ	ɡ̊_n	0.209
ˈeː	-	0.209
k	ç	0.199
z	ʃ	0.198
ˈɑ	ˈoː	0.186
d	ɾ	0.185
ˈeː	ˈɛ	0.18
k	x	0.18
ˈi	ˈaɪ̯	0.179
ˈaː	ˈɛ	0.177
ˈoː	ˈeː	0.169
ˈɛ	ˈɪ	0.16
s	ɡ̊_s	0.16
k	-	0.132
χ	ɣ	0.128
χ_ə	ɣ̊	0.123
ˈaː	ˈɒ	0.121
ˈɛi̯	ˈaː	0.119
χ	ç	0.105
ˈɪ	ˈiː	0.099
ˈaː	ˈɛː	0.079
ˈɪ	ˈaɪ̯	0.062
ˈɑ	ˈɛ	0.059
ˈɑ	ˈɔ	0.059
