Logudorese	Logudorese	probability
ˈɛ_n	ˈe_n	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈi_ð	ˈi_t	1.0
ˈa_ð	ˈa	1.0
ʃ	sː	1.0
ɾ_ʦ	l_s	1.0
ɾ_u	r_o	1.0
ɾ_a	r_a	1.0
ɲ	ɲː	1.0
ɛ̆	-	1.0
ɛ_#>	#>	1.0
ɖː	lː	1.0
ɔ̆	i	1.0
ɔ_n	o_n	1.0
z_ă	e	1.0
ŭ	-	1.0
s_ˈɛ	s_e	1.0
s_u	o	1.0
s_k	ʃː	1.0
s	s	1.0
p	p	1.0
o_ɾ	o_r	1.0
n_ʣ	ɲː	1.0
l_ɛ	l_e	1.0
l_a	l_a	1.0
k_i	ʧ	1.0
j_z_ɔ̆_#>	j_#>	1.0
i_ɣ	k	1.0
i_s	s	1.0
i_#>	i_#>	1.0
d_ˈo	d_ˈo	1.0
a_ð	a_t	1.0
a_l	a_l	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_k	1.0
#>	e_#>	1.0
f	f	0.963
l	l	0.941
u	o	0.928
ˈa	ˈa	0.926
a	a	0.892
ɛ	e	0.889
n	n	0.885
d	d	0.867
m	m	0.864
ˈe	ˈɛ	0.826
ð	t	0.818
z	-	0.8
e	e	0.8
ɾ	r	0.747
k	k	0.706
β	p	0.667
ʣ	ʎː	0.667
ɡ	ɡ	0.625
ˈi	ˈi	0.617
ʦ	ʦ	0.6
r	r_n	0.6
nː	n	0.6
ˈu	ˈu	0.59
ɔ	o	0.583
t	t	0.571
ˈɛ	ˈɛ	0.5
ˈo	ˈɔ	0.5
ɛ_ɾ	ˈe_r	0.5
ɛ_ɾ	r	0.5
ŋ	n	0.5
ŋ	-	0.5
ˈɔ	ˈo	0.485
i	i	0.429
ɔ	-	0.417
ʦ	ʧː	0.4
r	rː	0.4
nː	nː	0.4
j	j	0.4
ˈɔ	ˈɔ	0.394
b	b	0.385
ɡ	ʤ	0.375
b	v	0.365
ɣ	ʧ	0.357
β	v	0.333
ˈu	ˈo	0.333
ʣ	-	0.333
j	-	0.333
i	-	0.333
ˈi	ˈe	0.319
t	tː	0.31
ˈo	w_ˈɔ	0.3
j	kː_j	0.267
ˈɛ	ˈe	0.25
ɣ	ɡ	0.214
ɣ	k	0.214
e	-	0.2
ð	-	0.182
ˈe	ˈe	0.174
k	ʧ	0.157
ˈɛ	j_ˈɛ	0.143
ɣ	-	0.143
i	d_i	0.143
z	z	0.133
d	-	0.133
ɾ	j	0.12
n	-	0.115
ˈɛ	ˈi	0.107
ˈo	ˈu	0.1
ˈo	ˈo	0.1
b	ʤ	0.096
b	ɡ	0.096
i	d	0.095
m	ŋ	0.091
k	kː	0.078
ˈu	ˈɔ	0.077
ɣ	ʤː	0.071
t	-	0.071
z	ʣː	0.067
ˈi	e	0.064
ˈɔ	ˈu	0.061
ˈɔ	-	0.061
l	lː	0.059
b	k_w	0.058
a	e	0.054
u	-	0.052
