Occitan	Gascon	probability
d	d	1.0
i	i	1.0
p	p	1.0
t	t	1.0
y	y	1.0
ð	ð	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɥ	w	1.0
ɲ	ɲ	1.0
ʎ	ʎ	1.0
ʒ	ʒ	1.0
ʤ	ʤ	1.0
ʦ	ʦ	1.0
ˈy	ˈy	1.0
β	β	1.0
e	ˈe	0.061
e	e	0.891
k	k	0.941
r	-	0.161
v	-	0.061
w	-	0.111
ɾ	z	0.051
ʧ	t	0.591
j	-	0.332
u	-	0.052
u	u	0.922
ˈa	ˈa	0.872
n	-	0.053
n	ŋ	0.073
ɾ	ɾ	0.793
ˈi	ˈi	0.953
ˈu	ˈu	0.793
l	ʎ	0.104
n	n	0.874
r	r	0.584
s	ʃ	0.084
ʧ	j	0.134
r	a_r	0.255
z	ð	0.135
z	z	0.865
ɾ	r	0.05
ʧ	j_t	0.275
ˈe	ˈe	0.935
ˈɔ	ˈɔ	0.855
ˈɛ	ˈɛ	0.455
ɾ	-	0.106
ˈe	ˈi	0.056
ˈu	ˈu_ŋ	0.106
ˈɛ	-	0.086
a	a	0.97
ˈu	ˈy	0.07
ˈɔ	ˈa	0.077
b	b	0.988
f	h	0.988
j	j	0.668
l	-	0.28
s	s	0.878
ˈa	ˈa_ŋ	0.068
ˈɔ	ˈe	0.068
l	l	0.599
m	m	0.909
v	b	0.939
w	w	0.889
ɔ	ɔ	0.939
ˈɛ	ˈe	0.459
