Fuzhounese	Fuzhounese	probability
⁵⁵_#>	#>	1.0
⁵³_#>	#>	1.0
⁵	-	1.0
ʦ_j	i	1.0
ʔ_⁵	ɡ	1.0
ɥ_ŋ	ŋ	1.0
ɥ	-	1.0
ɛ_j	eː	1.0
ɔ_ɥ	ɯː	1.0
ŋ_⁵⁵_#>	m_#>	1.0
ŋ_⁵³_#>	m_#>	1.0
ŋ_²¹³	n_s	1.0
ø_ɥ	u	1.0
³³_#>	#>	1.0
³³	i_ʔ	1.0
²⁴²_#>	#>	1.0
²⁴_#>	#>	1.0
²¹³_#>	#>	1.0
²¹³	d_s	1.0
w_ŋ	ŋ	1.0
w_²⁴²	ʔ	1.0
w_a	aː	1.0
tʰ_ɛ	r̥ʰ	1.0
t	t	1.0
s	h_l	1.0
pʰ	pʰ	1.0
m	m	1.0
j_²⁴²	ɯ_s	1.0
j_e	i	1.0
h_w	ɢʷ	1.0
a_ŋ	e_ŋ	1.0
a_w	oː	1.0
a_j	l_ɯː	1.0
<#_ŋ	<#_ŋ	1.0
<#_t	<#_d	1.0
<#_s	<#_s	1.0
<#_l̃	<#_r	1.0
<#_k	<#_ɡ	1.0
<#_h	<#	1.0
kʰ	kʰ	0.778
ɔ_ʔ	d	0.75
nˡ	n	0.75
ʔ	ɡ	0.733
k	k	0.727
w_³³	u_ʔ	0.714
w_o	o	0.714
ʦ	ʔ_s	0.667
w	-	0.647
p	p	0.643
ɔ	a	0.6
y	a	0.6
e	e	0.556
ɛ	l	0.5
ɛ	-	0.5
ŋ_³³	n_ʔ	0.5
ŋ_²⁴²	ŋ_s	0.5
ŋ_²⁴²	s	0.5
ŋ	ŋ	0.5
ŋ	n	0.5
ø	oː	0.5
ø	o	0.5
u	ɯ	0.5
u	-	0.5
tʰ	l̥ʰ	0.5
tʰ	lʼ	0.5
ʦʰ	sʰ	0.444
e	-	0.444
o	aː	0.429
ɔ	n	0.4
y	-	0.4
h	h_m	0.4
h	h	0.4
ɑ	r_aː	0.364
ɑ	aː	0.364
p	b	0.357
j	i	0.35
ʦʰ	-	0.333
ʦ	z	0.333
i	ɯ	0.333
i	r_ɯ	0.333
i	i	0.333
a	r	0.294
w_³³	ʔ	0.286
w_o	a	0.286
o	a	0.286
ɑ	-	0.273
k	kʷ	0.273
ʔ	d	0.267
ɔ_ʔ	w	0.25
ŋ_³³	ŋ_ʔ	0.25
ŋ_³³	m_ʔ	0.25
nˡ	n_i	0.25
j	eː	0.25
w	ɡʷ	0.235
a	uː	0.235
a	r_aː	0.235
<#	<#_q	0.235
<#	<#_d	0.235
kʰ	kʰʷ	0.222
h	hʷ	0.2
<#	<#_ɡ	0.176
j	ɯː	0.15
j	-	0.15
o	ɯ	0.143
o	-	0.143
w	u	0.118
a	oː	0.118
a	aː	0.118
<#	<#_ŋ	0.118
<#	<#_r	0.118
<#	<#_n	0.118
ʦʰ	ʦʰ	0.111
ʦʰ	tʰ	0.111
j	l	0.1
