Bellunese	Bellunese	probability
ˈɛ_l	ˈɛː	1.0
ˈɔ_t	ˈo_ʨ	1.0
ˈo_ɡ	j_ˈɛ	1.0
ˈo_s	ˈuɔ̯	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ŋ_ɡ	ŋ	1.0
u	i	1.0
s_ˈa	s_ˈa	1.0
s_e	ʃ_ə	1.0
r_n	r_n	1.0
r_a	r_ə	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_o	k_o	1.0
j_ˈe	ˈiə̯	1.0
f	f	1.0
b	b	1.0
a_#>	#>	1.0
<#_ˈe	<#_ˈe	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ə	1.0
#>	s_#>	1.0
a	ə	0.981
r	r	0.941
v	v	0.923
d	d	0.852
t	t	0.8
o_#>	#>	0.783
ʧ	ʎ	0.714
ŋ	n	0.714
θ	ʧ	0.706
i	-	0.667
ɡ	ɡ	0.636
k	ʨ	0.625
ð	ʥ	0.6
r_o	w_r	0.6
s	s	0.593
z	ʃ	0.571
w	-	0.571
ˈe	ˈa_j	0.533
o	u	0.533
ˈa	ˈa	0.511
ˈo	ˈu	0.5
ˈi	ˈiː	0.5
e_r	ə_r	0.5
e_r	r	0.5
e	-	0.5
ˈɛ	ˈɛ	0.476
z	-	0.429
w	w	0.429
s	ʃ	0.407
ˈa	ˈaː	0.404
ð	ʃ	0.4
r_o	r	0.4
k	k	0.375
e	ə	0.375
ˈu	ˈu	0.364
ˈu	ˈi	0.364
ˈi	ˈi	0.364
j	-	0.357
ˈo	ˈuː	0.333
i	s	0.333
ˈɔ	ˈɔ	0.308
ˈɔ	ˈa	0.308
θ	-	0.294
ˈɛ	ˈɛː	0.286
ʧ	k_l	0.286
j	l	0.286
ˈu	ˈiː	0.273
ˈɔ	ˈɔː	0.231
o_#>	w_#>	0.217
j	ʎ	0.214
ˈe	ˈɛ	0.2
o	ə	0.2
ɡ	ʥ	0.182
ɡ	-	0.182
ŋ	w_n	0.179
ˈo	-	0.167
ˈe	ˈe	0.167
ˈɔ	ˈu	0.154
d	-	0.148
ˈɛ	-	0.143
j	j	0.143
ˈi	-	0.136
t	ʨ	0.133
o	r	0.133
o	o	0.133
e	r	0.125
ŋ	ŋ	0.107
ˈe	ˈeː	0.1
ˈɛ	ˈiə̯	0.095
ˈa	ˈɔ	0.085
v	f	0.077
t	-	0.067
r	ə	0.059
