Zeelandic	Zeelandic	probability
ˈʊə̯_ɾ	ˈɔː	1.0
ˈɒː	-	1.0
ˈɑu̯	ˈəʊ̯_ɫ	1.0
ˈɑ_n	ˈuː	1.0
ˈæi̯	ˈəʊ̯	1.0
ˈoː	-	1.0
ˈiːə̯	ˈiː	1.0
ʋ	w	1.0
ɾ_ə	ˈɔː	1.0
ə_ɾ	ə	1.0
ə_ɫ	ɫ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z_ə	z	1.0
z	s	1.0
x_ə	ʤ	1.0
x_#>	#>	1.0
v̥_#>	f_#>	1.0
v_ə	v	1.0
v	f	1.0
t	t	1.0
s_x	ʃ	1.0
n_#>	#>	1.0
m	m	1.0
l	-	1.0
k_ə	k	1.0
j	j	1.0
iː	ˈiː	1.0
i	ɪ	1.0
d̥_#>	θ_#>	1.0
d̥	d	1.0
d_ə	ð	1.0
b	b	1.0
<#_ɾ	<#_ɹ	1.0
<#_t	<#_tʰ	1.0
<#_k	<#_ʧ	1.0
<#	<#_h	1.0
ə_#>	#>	0.956
n	n	0.86
p	p	0.833
ˈʏ	-	0.75
s	s	0.714
ˈøː	ˈɐ	0.667
ˈæ_ɾ	ˈɑː	0.667
d	d	0.621
ˈu	ˈɐ	0.6
x_ə_#>	#>	0.6
<#_ˈʊə̯	<#_h	0.6
ɫ	l	0.583
ˈyː	ˈaʊ̯	0.571
ˈuː	-	0.571
ˈæ	-	0.556
ˈɪə̯	ˈəʊ̯	0.545
ˈɪ	ˈɪ	0.529
x	ɡ	0.476
ˈuː	ˈiː	0.429
ˈʊə̯	ˈe	0.417
ˈɔ	-	0.412
ˈɛː	-	0.4
ˈɑ	ˈæ	0.4
ˈu	-	0.4
ˈi	ˈɪ	0.4
ˈi	ˈaɪ̯	0.4
ˈeː	ˈe	0.4
x_ə_#>	ˈaɪ̯_#>	0.4
<#_ˈʊə̯	<#	0.4
ɾ	ə	0.39
d	θ	0.379
ˈiː	-	0.375
k	k	0.375
ˈɪ	ˈaɪ̯	0.353
ˈɔ	ˈɐ	0.353
ˈʊə̯	ˈiː	0.333
ˈøː	-	0.333
ˈæ_ɾ	ɜː	0.333
ˈiː	ˈɪ	0.312
ˈiː	ˈiː	0.312
ə	-	0.308
ɫ	ɫ	0.306
ˈɛː	ˈiː	0.3
ˈɛː	ˈeɪ̯	0.3
ˈɑ	-	0.3
ˈeː	ˈɪ	0.3
ˈeː	-	0.3
x	-	0.286
s	ʃ	0.286
ˈɪə̯	-	0.273
ɾ	ɹ	0.268
ˈʏ	ˈɪ	0.25
ˈʊə̯	-	0.25
k	kʰ	0.25
k	-	0.25
ə	ə	0.231
ˈæ	ˈɪ	0.222
ˈæ	ˈe	0.222
ˈyː	ˈɐ	0.214
ˈyː	ˈaɪ̯	0.214
ˈɑ	ˈeɪ̯	0.2
ˈi	ˈiː	0.2
ˈɪə̯	ˈiː	0.182
p	pʰ	0.167
ə	ɫ	0.154
ə	ɪ	0.154
ə	ɡ	0.154
x	ˈaɪ̯	0.143
k	ʧ	0.125
ɾ	ˈɔː	0.122
ˈɪ	ˈe	0.118
ˈɔ	ˈʊ	0.118
ˈɔ	ɹ_ˈe	0.118
ɫ	-	0.111
ˈɑ	ˈɒ	0.1
ɾ	-	0.098
x	ˈuː	0.095
ɾ	ˈɑː	0.073
n	-	0.06
