Old English	Northern Low Saxon	probability
a	-	1.0
b	b	0.893
b	-	0.107
bː	m	1.0
d	d	0.821
d	-	0.12
d	t	0.06
dː	d	1.0
e	ɐ	0.854
e	-	0.122
eo̯	-	1.0
f	f	0.993
h	h	1.0
i	-	0.453
i	ɪ	0.424
i	i	0.123
iː	ɪ	1.0
iːy̯	aɪ̯	1.0
j	ɡ	0.395
j	ç	0.355
j	ʒ	0.104
j	x	0.082
k	ɡ	0.393
k	kʰ	0.305
k	k	0.249
k	f	0.053
kː	ɡ	1.0
l	l	0.985
lː	l	1.0
l̥	l	1.0
m	m	0.921
m	z	0.079
mː	m	1.0
n	n	0.898
n	-	0.07
nː	n	0.748
nː	ˈœː	0.252
o	ɐ	0.724
o	-	0.276
p	b	0.744
p	p	0.205
p	pʰ	0.05
pː	b	1.0
r	ɐ	0.393
r	-	0.308
r	r	0.298
rː	ɐ	0.652
rː	-	0.348
r̥	r	1.0
s	z	0.426
s	s	0.387
s	ʃ	0.186
t	d	0.671
t	tʰ	0.178
t	t	0.137
tː	d	1.0
v	m	0.864
v	v	0.12
w	v	0.776
w	-	0.171
x	ç	0.657
x	x	0.228
x	-	0.116
z	s	0.586
z	z	0.351
z	-	0.063
ç	x	0.776
ç	ç	0.224
ð	-	0.326
ð	l	0.303
ð	n	0.216
ð	d	0.155
ŋ	ŋ	0.891
ŋ	-	0.109
ɑ	-	0.975
ɡ	ɡ	0.575
ɡ	-	0.256
ɡ	ç	0.137
ɣ	ç	0.443
ɣ	x	0.199
ɣ	ɡ	0.179
ɣ	-	0.179
ɫ	l	0.758
ɫ	-	0.181
ɫ	n	0.062
ʃ	ʃ	1.0
ʃː	ʃ	1.0
ʍ	v	1.0
ʤ	ç	0.535
ʤ	ɡ	0.465
ʤː	ŋ	1.0
ʧ	ɡ	0.466
ʧ	kʰ	0.458
ʧ	ç	0.076
ʧː	ɡ	1.0
ˈe	ˈɛ	0.248
ˈe	ˈeɪ̯	0.145
ˈe	ˈuː	0.124
ˈe	ˈœː	0.11
ˈe	ˈeː	0.109
ˈe	-	0.103
ˈe	ˈoː	0.103
ˈe	ˈœ	0.057
ˈeo̯	ˈeː	0.379
ˈeo̯	ˈa	0.215
ˈeo̯	ˈɛɪ̯	0.14
ˈeo̯	ˈaː	0.091
ˈeo̯	ˈaɪ̯	0.055
ˈeː	ˈɔʏ̯	0.421
ˈeː	ˈiː	0.323
ˈeː	ˈɪ	0.137
ˈeːo̯	ˈaɪ̯	0.518
ˈeːo̯	ˈyː	0.099
ˈeːo̯	ˈɪ	0.086
ˈeːo̯	ˈiː	0.084
ˈeːo̯	ˈʏ	0.054
ˈi	ˈɪ	0.729
ˈi	ˈeː	0.072
ˈi	ˈø	0.054
ˈiy̯	ˈa	0.492
ˈiy̯	ˈeː	0.321
ˈiy̯	ˈɪ	0.188
ˈiː	ˈiː	0.814
ˈiː	ˈɪ	0.107
ˈiː	ˈaɪ̯	0.079
ˈiːy̯	ˈɔʏ̯	0.481
ˈiːy̯	ˈyː	0.266
ˈiːy̯	ˈaɪ̯	0.158
ˈiːy̯	ˈiː	0.057
ˈo	ˈaʊ̯	0.563
ˈo	ˈɔ	0.157
ˈo	ˈøː	0.119
ˈo	ˈʊ	0.097
ˈo	ˈoː	0.064
ˈoː	ˈaʊ̯	0.556
ˈoː	ˈoː	0.286
ˈoː	ˈeː	0.069
ˈoː	ˈuː	0.069
ˈu	ˈʊ	0.652
ˈu	ˈʏ	0.102
ˈu	ˈøː	0.095
ˈu	ˈoː	0.076
ˈu	-	0.065
ˈuː	ˈuː	0.858
ˈuː	ˈʊ	0.108
ˈy	ˈʏ	0.429
ˈy	ˈɔː	0.319
ˈy	ˈɔʏ̯	0.252
ˈyː	ˈyː	0.467
ˈyː	ˈɔʏ̯	0.211
ˈyː	ˈuː	0.199
ˈyː	ˈʏ	0.123
ˈæ	ˈa	0.627
ˈæ	ˈoː	0.373
ˈæɑ̯	ˈaː	0.52
ˈæɑ̯	ˈa	0.251
ˈæɑ̯	ˈoː	0.146
ˈæɑ̯	ˈaʊ̯	0.054
ˈæː	ˈoː	0.742
ˈæː	ˈaɪ̯	0.137
ˈæː	ˈeɪ̯	0.099
ˈæːɑ̯	ˈaʊ̯	0.545
ˈæːɑ̯	ˈoː	0.381
ˈæːɑ̯	ˈɔʏ̯	0.074
ˈɑ	ˈa	0.648
ˈɑ	ˈoː	0.339
ˈɑː	ˈaɪ̯	0.441
ˈɑː	ˈɪ	0.175
ˈɑː	ˈaʊ̯	0.144
ˈɑː	ˈɛɪ̯	0.104
ˈɑː	ˈoː	0.082
ˈɑː	-	0.054
ˈɛ	ˈʏ	1.0
θ	d	0.895
θ	-	0.063
