French	Sicilian	probability
a	a	0.304
a	ˈa	0.291
a	ɪ	0.155
a	ɕ_ɪ	0.056
b	b	0.899
b	v	0.101
d	d	0.693
d	t	0.078
d	nː	0.077
e	ˈa	0.478
e	-	0.202
e	ɪ	0.176
e	ʊ	0.062
f	f	0.882
i	ˈi	0.447
i	ˈɛ	0.152
i	ɪ	0.107
i	ʊ	0.096
i	-	0.073
j	ɟː	0.331
j	ˈɛ	0.233
j	-	0.197
j	ˈa	0.105
j	cː	0.095
k	k	0.768
k	s_k	0.126
k	kː	0.066
l	l	0.602
l	-	0.178
l	ɖː	0.149
m	m	0.83
m	mː	0.081
n	n	0.971
o	ˈɛ	0.439
o	w	0.215
o	ˈa	0.174
o	ˈɔ	0.171
p	p	0.783
p	ʃ_p	0.13
p	c	0.066
s	s	0.586
s	ɕ	0.213
s	-	0.07
t	t	0.457
t	tː	0.116
t	ʃː	0.094
t	ʧː	0.081
t	ʈː	0.069
t	ʈ	0.055
u	ˈu	0.575
u	ˈɔ	0.381
v	v	0.743
v	p	0.177
v	bː	0.053
w	ˈi	0.536
w	ˈu	0.257
w	-	0.079
w	ˈɛ	0.065
y	ˈu	0.953
z	z	0.427
z	ɕ	0.409
z	ʤ	0.164
ø	ˈɔ	0.546
ø	ʊ	0.38
ø	ˈu	0.075
œ	ˈɔ	0.48
œ	ˈu	0.459
œ	ɪ	0.061
ɑ̃	ˈɛ	0.341
ɑ̃	ˈa	0.316
ɑ̃	ˈi	0.159
ɑ̃	ŋ	0.127
ɑ̃	a	0.057
ɔ	ˈɔ	0.666
ɔ	w	0.131
ɔ	u	0.111
ɔ	o	0.093
ɔ̃	ˈu	0.48
ɔ̃	ˈo	0.313
ɔ̃	ˈɔ	0.091
ɔ̃	u	0.06
ɔ̃	ɪ	0.056
ə	i	0.596
ə	ˈɛ	0.14
ə	ˈi	0.105
ə	a	0.092
ə	-	0.066
ɛ	ˈa	0.456
ɛ	ˈɛ	0.19
ɛ	ˈi	0.173
ɛ	i	0.065
ɛ̃	n	0.335
ɛ̃	ˈa	0.282
ɛ̃	ɲː	0.154
ɛ̃	ˈi_n	0.11
ɛ̃	ŋ	0.084
ɡ	ɡ	0.746
ɡ	-	0.185
ɡ	ɲː	0.05
ɥ	ˈu	0.394
ɥ	tː	0.301
ɥ	ˈɔ	0.221
ɥ	ʦː	0.084
ɲ	ɲː	1.0
ʁ	ɾ	0.544
ʁ	r	0.151
ʁ	ɪ_ɾ	0.087
ʁ	ɽ	0.08
ʃ	k	0.797
ʃ	kː	0.161
ʒ	j	0.471
ʒ	ʤ	0.246
ʒ	ɕ	0.113
ʒ	-	0.102
