Eastern Lombard	Eastern Lombard	probability
ˈɛ_l	ɛ	1.0
ˈø_m	ˈu_m	1.0
ˈø_k	ˈo_ɣ	1.0
ˈø_f	ˈo_u	1.0
ˈo_r	ˈɔ_ɾ	1.0
ˈe_l	ˈi_l	1.0
ŋ_k	m_b	1.0
ŋ	nː	1.0
ø	-	1.0
w	-	1.0
u	ɔ	1.0
t_a	t_a	1.0
r_n	r	1.0
r_#>	ɾ_u_#>	1.0
p	p	1.0
m	m	1.0
l_s	ɾ_ʦ	1.0
l_#>	#>	1.0
i	i	1.0
d_a	ð_a	1.0
<#_ˈɛ	<#_ˈa	1.0
<#_ˈe	<#_b_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_z	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
f	f	0.92
ˈa	ˈa	0.917
a	a	0.896
r	ɾ	0.889
k	k	0.878
b	b	0.833
ˈy	ˈu	0.818
n	n	0.8
ˈo	ˈu	0.714
ˈu	ˈɔ	0.688
l	l	0.679
ʤ	ɣ	0.667
s	s	0.642
t	t	0.628
d	d	0.611
ʋ	b	0.5
ʋ	-	0.5
z	b	0.5
<#	<#_i	0.5
ˈe	ˈɛ	0.476
ˈɔ	ˈɔ	0.474
o	u	0.471
ˈi	ˈi	0.467
#>	u_#>	0.458
ˈɛ	ˈe	0.432
<#	<#_b	0.409
ɲ	nː	0.375
ɲ	n_ʣ	0.375
j	ɾ	0.375
ˈø	ˈɔ	0.353
ˈɛ	ˈɛ	0.351
ʤ	ɡ	0.333
ˈɔ	ˈo	0.316
ˈu	ˈu	0.312
ɡ	b	0.312
z	-	0.3
e	ɛ	0.3
ˈø	ˈu	0.294
ˈo	ˈa	0.286
ʧ	j_u	0.273
e	e	0.267
#>	ɛ_#>	0.261
ɲ	ɲ	0.25
ɡ	ɣ	0.25
ɡ	ɡ	0.25
l	ɖː	0.25
j	ʣ_u	0.25
j	j	0.25
d	ð	0.222
ˈɛ	ˈi	0.216
t	ð	0.209
ˈi	ˈi_n	0.2
z	ʣ	0.2
ˈe	ˈɛ_n	0.19
ˈe	ˈe	0.19
ɡ	-	0.188
ˈy	ˈu_n	0.182
ʧ	ɔ_z	0.182
ʧ	t_ɛ	0.182
ʧ	t	0.182
ʧ	k_ɾ	0.182
o	ɔ	0.176
e	-	0.167
d	ɛ_ɾ	0.167
b	-	0.167
ˈe	ˈi	0.143
#>	ɾ_ɛ_#>	0.134
e	i	0.133
e	a	0.133
j	-	0.125
ˈø	ˈɔ_ɛ	0.118
ˈø	ˈo	0.118
ˈø	-	0.118
o	ˈɔ	0.118
o	ɛ	0.118
o	o	0.118
ˈɔ	ˈu	0.105
ˈɔ	-	0.105
s	ɣ_ɛ	0.104
s	k	0.104
ˈi	ˈi_ɛ	0.1
ˈi	ɛ	0.1
n	ŋ	0.1
n	nː	0.1
<#	<#_a	0.091
f	ɾ	0.08
a	-	0.078
k	ɣ	0.073
l	ɾ	0.071
t	-	0.07
ˈi	ˈɛ	0.067
ˈi	ˈi_ɾ	0.067
r	r	0.067
s	ʦ	0.06
