Lower Sorbian	Proto-Slavic	probability
ˈɨ	ɨ̌	1.0
ˈu	ûː	1.0
ʨ	t_ĭ	1.0
ʑ	d	1.0
ʐ	ʒ	1.0
ɨ_m	m_ĭ	1.0
ɨ	ŭ	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ɔ_#>	ǒ_#>	1.0
z	z	1.0
x	x	1.0
vʲ	v	1.0
v	v	1.0
s	s	1.0
rʲ	r	1.0
r_ɨ	r_ŭ	1.0
pʲ	p	1.0
p_#>	b_ŭ_#>	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
l	l	1.0
e	ẽ	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
<#_ɕ	<#_t	1.0
<#_vʲ	<#_v	1.0
<#_v	<#	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	<#_v	1.0
r	r	0.857
t	t	0.833
ɔ	o	0.786
w	l	0.778
a	ǎ	0.667
k	k	0.625
ʂ	r	0.6
ɲ	n_ĭ	0.6
i	ŭ	0.6
#>	ŭ_#>	0.581
ʦ	ʦ	0.571
ˈi	ǐ	0.5
ˈi	i	0.5
kʲ	k	0.5
kʲ	j	0.5
ɕ	t	0.467
ˈɛ	o	0.455
ˈe	e	0.429
ʦ	ʧ	0.429
#>	ĭ_#>	0.419
ʂ	ʒ_ĭ	0.4
ɲ	ĭ	0.4
i	ĭ	0.4
ˈa	ĭ̌	0.375
ˈa	aˀ	0.375
ˈɔ	ô	0.333
ɕ	t_i	0.333
a	a	0.333
ˈɪ	ɛ̂ː	0.294
ˈe	ŭ̂	0.286
ˈe	ĭ	0.286
ˈɛ	ǒ	0.273
ˈɛ	ô	0.273
ˈa	ê	0.25
k	ɡ_ŭ	0.25
ɔ	e	0.214
ˈɔ	ǒ	0.208
ˈɔ	ôː	0.208
ɕ	r	0.2
ˈɪ	ɛː	0.176
ˈɪ	ẽ	0.176
t	d_ŭ	0.167
r	oˀ	0.143
k	x	0.125
ˈɪ	ɛ̌	0.118
ˈɪ	ɛˀ	0.118
ˈɪ	ẽ̂ː	0.118
w	l_ŭ	0.111
w	-	0.111
ˈɔ	o	0.083
ˈɔ	l	0.083
ˈɔ	e	0.083
