Czech	Russian	probability
c	tʲ	1.0
m̩	mʲ	1.0
r̝	rʲ	1.0
r̝̊	rʲ	1.0
ɟ	dʲ	1.0
ɦ	ɡ	1.0
ɪ	ˈi	1.0
ʃ	ʂ	1.0
ʒ	ʐ	1.0
ˈl̩	ˈo_ɫ	1.0
ˈou̯	ˈu	1.0
ˈuː	ˈo	1.0
iː	ɨ_j	0.461
l	ɐ_ɫ	0.051
l	ɫ	0.371
n	nʲ	0.151
n	n	0.611
ˈr̩	ˈɵ_r	0.121
ˈu	ʊ	0.21
ˈɛ	ˈo	0.121
d	d	0.62
o	ˈo	0.202
p	p	0.412
ˈa	ˈo	0.22
ˈiː	ˈe	0.642
l	lʲ	0.463
t	t	0.493
v	vʲ	0.353
ɛ	ə	0.3
ʦ	ʦ	0.913
ʧ	ʨ_ɪ	0.713
ˈo	ˈo	0.603
ˈɛ	ˈæ	0.103
ˈɛ	ˈe	0.343
ˈɛː	ˈe	0.493
ˈɪ	ˈi	0.433
a	ˈa	0.724
b	bʲ	0.724
m	mʲ	0.544
r	r	0.84
x	x	0.694
z	zʲ	0.394
ɲ	-	0.344
s	sʲ	0.485
s	s	0.515
ˈaː	ˈo	0.5
ˈaː	ə	0.5
a	ə	0.276
b	b	0.276
k	k	0.816
l	ˈo_ɫ	0.066
m	m	0.456
r	ɐ_r	0.16
x	k	0.306
z	z	0.606
ɲ	nʲ	0.656
t	tʲ	0.507
v	v	0.647
ʦ	ʨ	0.087
ʧ	ʨ	0.287
ˈo	ɐ	0.397
ˈɛː	ˈo	0.507
ˈɪ	ˈɨ	0.567
d	dʲ	0.38
k	kʲ_ɪ	0.138
n	n_ɨ	0.238
o	ə	0.798
p	pʲ	0.588
ɛ	ˈe	0.258
ɛ	ɪ	0.378
ˈa	ˈa	0.78
ˈiː	ˈɨ	0.358
iː	j	0.539
ˈr̩	ˈe_r	0.879
ˈu	ˈu	0.79
ˈɛ	ˈɵ	0.09
ˈɛ	ɪ	0.299
