Standard German	Pennsylvania German	probability
ˈʏ	ˈɪ	1.0
ˈʊ_ɐ	ˈaː	1.0
ˈɪ	ˈɪ	1.0
ˈɛː	ˈɛː	1.0
ˈɔʏ̯	ˈaɪ̯	1.0
ˈɔ_m	ˈʊ_m	1.0
ˈœ	ˈɛ	1.0
ˈøː	ˈeː	1.0
ˈuː	ˈuː	1.0
ˈa	ˈa	1.0
ʃ	ʃ	1.0
ʁ	ɾ	1.0
ɪ	ɪ	1.0
ɡ̊	ɡ̊	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
ç	ç	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
v	ʋ	1.0
tʰ	d	1.0
t_ɐ	d_ɑ	1.0
t_n	d_ə	1.0
s_t	ʃ_d̥	1.0
s_n	s_ə	1.0
s	s	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k_ə	ɡ̊	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b_n	ʋ_ə	1.0
a	ə	1.0
ə	-	0.952
ʦ	ʦ	0.913
k	k	0.898
ˈʊ	ˈʊ	0.89
ˈoː	ˈoː	0.863
t	d̥	0.81
ˈiː	ˈiː	0.791
ˈɛ	ˈɛ	0.784
b	b	0.784
ɐ	ɑ	0.778
ˈyː	ˈiː	0.758
ˈɔ	ˈɔ	0.714
n	n	0.712
ˈeː	ˈeː	0.685
ˈaː	ˈɔː	0.665
ˈaʊ̯	ˈaʊ̯	0.611
ˈa_ɐ	ˈɔː_ɑ	0.564
ˈɔ_ɐ	ˈaː	0.555
p͡f	b	0.536
ˈaɪ̯	ˈeː	0.52
ɡ	ɡ	0.513
ˈaɪ̯	ˈaɪ̯	0.48
p͡f	-	0.464
ˈɔ_ɐ	ˈa	0.445
ˈa_ɐ	ˈaː	0.436
ˈaʊ̯	ˈɔː	0.389
ˈeː	ˈɛ	0.315
n	ə	0.288
ˈɔ	ˈʊ	0.286
ˈyː	-	0.242
ˈɛ	ˈɛː	0.216
ˈaː	ˈoː	0.21
ˈiː	-	0.209
ɡ	ɣ	0.204
t	t	0.19
ɡ	j	0.179
ˈoː	ˈɔ	0.137
ɐ	ɾ_ə	0.133
b	ʋ	0.127
ˈaː	ˈa	0.125
ˈʊ	ˈaː	0.11
ɡ	-	0.103
k	ɡ̊	0.102
ɐ	ɾ	0.089
b	-	0.089
ʦ	-	0.087
