Megleno-Romanian	Megleno-Romanian	probability
ˈɛ	ˈi	1.0
ˈɔ_j	ˈa	1.0
ˈɔ	ˈa	1.0
ˈa_ʦ	dː	1.0
ʧ	-	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʃ_ˈa	s_ˈɛ	1.0
ʃ_t	ʃː	1.0
ʃ	bː	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
w_ə	v_e	1.0
w	-	1.0
v	v	1.0
p_t	tː	1.0
p_#>	p_o_#>	1.0
p	p	1.0
n_#>	n_o_#>	1.0
m_#>	m_o_#>	1.0
m	m	1.0
l_#>	lː_o_#>	1.0
kʲ	p	1.0
i_r	e_r	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
a	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_w_ˈo	<#_ˈɔ	1.0
<#_m	<#	1.0
<#_l	<#_l	1.0
<#	<#_f	1.0
#>	o_#>	0.929
j	-	0.857
<#_n	<#_n	0.846
n	n	0.84
ə	a	0.818
s	s	0.778
e̯ˈa	ˈe	0.778
t	t	0.762
r	r	0.756
u	o	0.75
i	e	0.675
ˈa	ˈa	0.667
o̯ˈa	ˈɔ	0.625
ˈi	ˈi	0.588
ʎ	j	0.571
l	l	0.571
k	k	0.567
ˈe	ˈɛ	0.529
ˈu	ˈo	0.5
ʦ	ʧ	0.5
z	ʤ	0.429
l	j	0.429
ˈi	ˈɛ	0.412
o̯ˈa	ˈo	0.375
ˈe	ˈe	0.353
ˈu	ˈu	0.318
ˈo	ˈɔ	0.286
ˈo	ˈu	0.286
ˈo	w_ˈɔ	0.286
ʎ	ʎː	0.286
z	-	0.286
k	kː	0.267
ˈa	ˈɛ	0.25
e̯ˈa	j	0.222
ʦ	t	0.214
ˈu	ˈɔ	0.182
i	i	0.175
<#_n	<#	0.154
r	l	0.146
ˈo	-	0.143
ʦ	k	0.143
ʎ	l	0.143
z	ʣː	0.143
z	ʣ	0.143
t	tː	0.143
j	ʤː	0.143
u	e	0.125
u	-	0.125
ə	e	0.121
ˈe	-	0.118
s	z	0.111
s	-	0.111
k	ɡ	0.1
t	d	0.095
ˈa	-	0.083
n	ŋ	0.08
n	nː	0.08
i	o	0.075
i	-	0.075
ʦ	ʧː	0.071
ʦ	ʦ	0.071
#>	a_#>	0.071
k	-	0.067
ə	o	0.061
