Swiss German	Old English	probability
ˈɒ_n	ˈoː	1.0
ˈøi̯	-	1.0
ˈø_p͡f	pː	1.0
ˈyə̯	ˈeː	1.0
ˈuː	ˈuː	1.0
ˈiə̯	ˈeːo̯	1.0
ˈau̯	ˈæːɑ̯	1.0
ʋ_ˈø	w	1.0
ʋ	w	1.0
ʃː	ʃ	1.0
ʃ	s	1.0
ɡ̊ː	ʤ	1.0
ɡ̊_r	ɡ_r	1.0
æ	iːy̯_n	1.0
z̥	s	1.0
v̥	f	1.0
tː_ə	d_e	1.0
tː	dː	1.0
s	s	1.0
r_ʦ	r_t	1.0
r_n	r_n	1.0
p͡f	p	1.0
n_ə	nː	1.0
n_d̥	n_d	1.0
lː	ɫː	1.0
j	j	1.0
h	h	1.0
fː	p	1.0
m	m	0.953
ˈi	ˈi	0.943
r	r	0.941
ˈæi̯	ˈɑː	0.857
ˈuə̯	ˈoː	0.833
ˈiː	ˈiː	0.833
b̥	b	0.811
i	i	0.8
f	p	0.731
sː	t	0.714
t	d	0.694
n	n	0.685
l	l	0.678
ʦ	t	0.651
d̥	θ	0.651
ˈu	ˈu	0.637
χː	ʧ	0.635
ˈo	ˈo	0.635
ɣ̊	k	0.618
ʒ̊	s	0.567
ˈøː	ˈiːy̯	0.562
ˈeː	ˈɑː_w	0.545
ˈæː	-	0.535
k͡χ	k	0.515
ŋ	ŋ	0.51
ˈe	ˈe	0.506
ˈe	-	0.494
ŋ	ŋ_ɡ	0.49
ˈæː	ˈiːy̯	0.465
ˈeː	-	0.455
ˈoː	ˈæːɑ̯	0.445
ˈyː	-	0.444
ˈøː	-	0.438
ʒ̊	ʃ	0.433
χ	ç	0.397
ˈyː	ˈeːo̯	0.395
ˈæ	ˈe	0.394
ˈɒ	ˈæɑ̯	0.388
ɣ̊	ʧ	0.382
ˈɒ	ˈɑ	0.376
χ	x	0.357
ʦ	tː	0.349
ɡ̊	ɡ	0.341
ɡ̊	j	0.333
ə	ɑ_n	0.327
t	t	0.306
l	ɫ	0.3
ə	e	0.292
sː	t_e	0.286
ˈæ	ˈeo̯	0.275
χː	-	0.271
f	v	0.269
ˈoː	-	0.26
ˈɒː	ˈæ	0.258
ˈy	ˈy	0.252
ˈɒː	ˈɑ	0.251
ˈɒː	ˈæː	0.251
χ	k	0.246
k͡χ	ʧː	0.243
k͡χ	kː	0.243
ˈɒː	ˈæːɑ̯	0.24
ɡ̊	ɣ	0.237
ˈo	ˈu	0.23
i	iː	0.2
ˈoː	ˈo	0.194
n	nː	0.192
b̥	v	0.189
ˈy	ˈo	0.187
ˈy	ˈi	0.187
ˈy	ˈeːo̯	0.187
ˈy	-	0.187
d̥	ð	0.183
ˈu	ˈy	0.18
ˈuə̯	-	0.167
ˈiː	ˈeːo̯	0.167
d̥	d	0.166
ˈyː	ˈyː	0.16
ə	o	0.158
ˈæi̯	ˈæː	0.143
ˈo	-	0.135
ˈæ	-	0.133
ˈɒ	ˈæ	0.123
n	n_e	0.123
ə	-	0.113
ˈæ	ˈi	0.1
ˈoː	ˈæː	0.1
ˈæ	ˈɛ	0.097
ˈu	-	0.096
χː	xː	0.094
ˈu	ˈo	0.088
ɡ̊	ɣ̊	0.088
r	-	0.059
ˈɒ	ˈiy̯	0.057
ˈɒ	ˈi	0.057
ˈi	ˈeo̯	0.057
