Portuguese	Catalan	probability
f	f	1.0
ĩ	i	1.0
j̃	-	1.0
ɐ̃	ə	1.0
ɔ	u	1.0
ɡ	ɡ	1.0
ɫ	l	1.0
ʎ	ʎ	1.0
ˈa	ˈa	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈũ	ˈu	1.0
j	j	0.291
j	-	0.491
u	ə	0.311
v	-	0.091
ɨ	i	0.1
ɲ	ɲ	0.371
ˈĩ	ŋ	0.671
ˈõ	ˈo	0.191
ˈɛ	ˈɛ	0.491
i	ə	0.732
j	ʧ	0.112
t	-	0.342
v	β	0.252
ʃ	p_l	0.082
ˈe	ˈɛ_w	0.112
ˈo	ˈo	0.212
ˈo	ˈɔ	0.542
s	-	0.073
u	u	0.193
u	-	0.43
ð	-	0.053
ɲ	n	0.53
ʁ	r	0.923
ʃ	-	0.143
ˈɔ	ˈo	0.153
β	β	0.833
b	b	0.984
j	ɾ	0.074
k	k	0.924
l	ʎ	0.744
w	l	0.344
z	z	0.354
ɨ	-	0.34
ʃ	s	0.634
ʒ	ʒ	0.804
ˈẽ	ˈe_n	0.774
m	m	0.945
p	p	0.95
ɾ	r	0.295
ˈɐ	ˈe	0.415
ˈɐ̃	ˈo	0.115
ˈɐ̃	ˈa	0.855
d	d	0.966
k	-	0.076
l	l	0.256
w	w	0.656
z	-	0.646
ɐ	ə	0.916
ɨ	ə	0.56
ʒ	-	0.196
ˈe	ˈi	0.136
ˈe	ˈe	0.306
ˈe	ˈɛ	0.446
ˈẽ	n	0.226
s	s	0.927
ð	ð	0.947
ʁ	-	0.077
ˈɐ	ˈa	0.337
ˈɔ	ˈɔ	0.847
β	p	0.167
i	i	0.268
ɾ	ɾ	0.628
ʃ	ʃ	0.118
ˈo	ˈɔ_n	0.118
ˈo	ˈu	0.128
ˈɐ	ˈɛ	0.248
n	n	0.969
t	t	0.629
u	ˈu	0.059
v	w	0.139
v	b	0.519
ɣ	ɣ	0.99
ɲ	ŋ_ɡ	0.099
ˈĩ	ˈi	0.329
ˈõ	ˈɔ	0.809
ˈɛ	ˈe	0.509
